Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,0,1,1,100.0,50,0,6,6,100.0,0
A Vinatieri,IND,0,1,1,100.0,22,0,1,1,100.0,0
D Akers,SF,8,2,2,100.0,29,0,2,2,100.0,0
P Dawson,CLE,0,1,1,100.0,52,0,1,1,100.0,0
J Feely,ARZ,0,2,2,100.0,45,0,3,3,100.0,0
B Cundiff,BAL,12,3,3,100.0,47,0,3,3,100.0,0
J Brown,STL,7,1,1,100.0,38,0,4,4,100.0,0
L Tynes,NYG,8,2,2,100.0,29,0,2,2,100.0,0
R Bironas,TEN,9,2,2,100.0,51,0,3,3,100.0,0
M Nugent,CIN,0,2,2,100.0,48,0,4,4,100.0,0
M Prater,DEN,4,1,1,100.0,39,0,1,1,100.0,0
D Carpenter,MIA,0,1,1,100.0,40,0,2,2,100.0,0
S Hauschka,SEA,6,2,2,100.0,47,0,0,0,-,0
R Succop,KC,11,3,3,100.0,47,0,2,2,100.0,0
A Henery,PHI,10,2,2,100.0,26,0,4,4,100.0,0
N Novak,SD,0,4,5,80.0,44,0,0,0,-,0
R Lindell,BUF,11,3,4,75.0,44,0,2,2,100.0,0
S Suisham,PIT,11,3,4,75.0,33,0,2,2,100.0,0
R Longwell,MIN,0,1,2,50.0,31,0,3,3,100.0,0
N Rackers,HOU,6,1,2,50.0,39,0,3,3,100.0,0
S Gostkowski,NE,0,1,2,50.0,46,0,2,2,100.0,0
J Kasay,NO,0,0,1,0.0,0,0,3,3,100.0,0
O Mare,CAR,3,0,1,0.0,0,0,3,3,100.0,0
G Gano,WSH,0,0,1,0.0,0,1,0,0,-,0
