Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,0,2,2,100.0,28,0,3,3,100.0,0
J Kasay,NO,0,2,2,100.0,38,0,4,4,100.0,0
R Longwell,MIN,0,1,1,100.0,33,0,2,2,100.0,0
D Akers,SF,15,4,4,100.0,31,0,3,3,100.0,0
P Dawson,CLE,5,1,1,100.0,20,0,2,2,100.0,0
N Rackers,HOU,10,2,2,100.0,29,0,4,4,100.0,0
S Janikowski,OAK,0,3,3,100.0,63,0,2,2,100.0,0
R Lindell,BUF,0,2,2,100.0,38,0,5,5,100.0,0
B Cundiff,BAL,9,2,2,100.0,30,0,3,3,100.0,0
M Bryant,ATL,0,2,2,100.0,48,0,0,0,-,0
M Scifres,SD,6,1,1,100.0,40,0,3,3,100.0,0
J Scobee,JAX,10,3,3,100.0,48,0,1,1,100.0,0
R Gould,CHI,12,3,3,100.0,41,0,3,3,100.0,0
M Nugent,CIN,0,2,2,100.0,47,0,3,3,100.0,0
N Folk,NYJ,9,2,2,100.0,50,0,3,3,100.0,0
C Barth,TB,8,2,2,100.0,38,0,2,2,100.0,0
D Carpenter,MIA,6,1,1,100.0,20,0,3,3,100.0,0
S Hauschka,SEA,0,1,1,100.0,39,0,2,2,100.0,0
D Bailey,DAL,0,1,1,100.0,34,0,3,3,100.0,0
A Henery,PHI,0,1,1,100.0,34,0,4,4,100.0,0
J Brown,STL,7,2,3,66.7,49,0,1,1,100.0,0
M Prater,DEN,8,2,3,66.7,30,0,2,2,100.0,0
S Gostkowski,NE,0,1,2,50.0,20,0,5,5,100.0,0
A Vinatieri,IND,0,0,1,0.0,0,0,1,1,100.0,0
J Feely,ARZ,4,0,1,0.0,0,0,4,4,100.0,0
L Tynes,NYG,0,0,1,0.0,0,1,2,2,100.0,0
R Bironas,TEN,0,0,1,0.0,0,0,2,2,100.0,0
R Succop,KC,1,0,1,0.0,0,0,1,1,100.0,0
G Gano,WSH,4,0,1,0.0,0,0,4,4,100.0,0
