Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Kasay,NO,9,1,1,100.0,43,0,6,6,100.0,0
A Vinatieri,IND,0,2,2,100.0,48,0,1,1,100.0,0
O Mare,CAR,0,1,1,100.0,41,0,2,2,100.0,0
P Dawson,CLE,9,3,3,100.0,49,0,0,0,-,0
N Rackers,HOU,10,3,3,100.0,52,0,1,1,100.0,0
S Janikowski,OAK,14,4,4,100.0,52,0,2,2,100.0,0
J Feely,ARZ,11,3,3,100.0,43,0,2,2,100.0,0
B Cundiff,BAL,0,1,1,100.0,42,0,3,3,100.0,0
M Bryant,ATL,9,1,1,100.0,20,0,6,6,100.0,0
J Brown,STL,9,2,2,100.0,49,0,3,3,100.0,0
J Scobee,JAX,13,4,4,100.0,47,0,1,1,100.0,0
R Gould,CHI,0,1,1,100.0,27,0,2,2,100.0,0
R Bironas,TEN,0,3,3,100.0,43,0,2,2,100.0,0
S Gostkowski,NE,11,2,2,100.0,47,0,5,5,100.0,0
N Folk,NYJ,0,1,1,100.0,31,0,2,2,100.0,0
M Prater,DEN,3,1,1,100.0,38,0,0,0,-,0
C Barth,TB,0,1,1,100.0,41,0,1,1,100.0,0
D Carpenter,MIA,13,4,4,100.0,58,0,1,1,100.0,0
A Henery,PHI,10,2,2,100.0,35,0,4,4,100.0,0
M Nugent,CIN,10,3,4,75.0,46,0,1,1,100.0,0
R Longwell,MIN,7,2,3,66.7,26,1,1,1,100.0,0
D Akers,SF,0,2,3,66.7,42,0,4,4,100.0,0
S Suisham,PIT,0,2,3,66.7,29,0,1,1,100.0,0
S Hauschka,SEA,0,2,3,66.7,43,1,2,2,100.0,0
J Hanson,DET,0,1,2,50.0,30,0,4,4,100.0,0
L Tynes,NYG,7,1,2,50.0,28,0,4,4,100.0,0
N Novak,SD,0,1,2,50.0,51,0,5,5,100.0,0
M Crosby,GB,9,1,2,50.0,22,0,6,6,100.0,0
G Gano,WSH,0,1,2,50.0,27,1,1,1,100.0,0
R Succop,KC,0,0,1,0.0,0,0,1,1,100.0,0
B Coutu,BUF,0,0,1,0.0,0,0,3,3,100.0,0
D Bailey,DAL,0,0,1,0.0,0,0,2,2,100.0,0
