Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
D Akers,SF,0,4,4,100.0,52,0,1,1,100.0,0
P Dawson,CLE,0,2,2,100.0,51,0,0,0,-,0
N Rackers,HOU,12,3,3,100.0,50,0,3,3,100.0,0
S Janikowski,OAK,6,1,1,100.0,48,0,3,3,100.0,0
R Lindell,BUF,3,1,1,100.0,24,0,0,0,-,0
J Feely,ARZ,7,2,2,100.0,38,0,1,1,100.0,0
M Bryant,ATL,0,1,1,100.0,20,0,4,4,100.0,0
L Tynes,NYG,0,1,1,100.0,22,0,3,3,100.0,0
R Gould,CHI,0,3,3,100.0,51,0,3,3,100.0,0
S Suisham,PIT,8,2,2,100.0,36,0,2,2,100.0,0
R Bironas,TEN,5,1,1,100.0,43,0,2,2,100.0,0
M Nugent,CIN,0,1,1,100.0,36,0,3,3,100.0,0
N Novak,SD,8,1,1,100.0,52,0,5,5,100.0,0
M Crosby,GB,0,1,1,100.0,47,0,6,6,100.0,0
C Barth,TB,0,3,3,100.0,48,0,1,1,100.0,0
D Carpenter,MIA,0,1,1,100.0,42,0,4,4,100.0,0
R Succop,KC,3,1,1,100.0,43,0,0,0,-,0
G Gano,WSH,3,1,1,100.0,59,0,0,0,-,0
D Bailey,DAL,11,3,3,100.0,42,0,2,2,100.0,0
A Henery,PHI,6,1,1,100.0,47,0,3,3,100.0,0
B Cundiff,BAL,0,3,4,75.0,51,0,2,2,100.0,0
J Brown,STL,0,3,4,75.0,48,1,0,0,-,0
J Kasay,NO,9,2,3,66.7,34,0,3,3,100.0,0
S Gostkowski,NE,8,2,3,66.7,45,0,2,2,100.0,0
N Folk,NYJ,0,2,3,66.7,50,0,3,3,100.0,0
S Hauschka,SEA,0,2,3,66.7,45,1,1,1,100.0,0
M Prater,DEN,0,1,2,50.0,43,0,5,5,100.0,0
