Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,0,4,4,100.0,53,0,3,3,100.0,0
S Janikowski,OAK,10,2,2,100.0,43,0,4,4,100.0,0
R Lindell,BUF,0,1,1,100.0,37,0,3,3,100.0,0
J Feely,ARZ,9,2,2,100.0,47,0,3,3,100.0,0
S Graham,HOU,0,1,1,100.0,41,0,4,4,100.0,0
B Cundiff,WSH,7,1,1,100.0,36,0,4,4,100.0,0
L Tynes,NYG,0,5,5,100.0,49,0,3,3,100.0,0
N Kaeding,MIA,3,1,1,100.0,41,0,0,0,-,0
J Scobee,JAX,0,3,3,100.0,47,0,1,1,100.0,0
R Gould,CHI,11,3,3,100.0,54,0,2,2,100.0,0
S Suisham,PIT,0,1,1,100.0,33,0,4,4,100.0,0
M Nugent,CIN,0,1,1,100.0,47,0,5,5,100.0,0
S Gostkowski,NE,0,3,3,100.0,49,0,3,3,100.0,0
N Folk,NYJ,0,3,3,100.0,33,0,2,2,100.0,0
M Prater,DEN,11,3,3,100.0,53,0,2,2,100.0,0
M Crosby,GB,0,2,2,100.0,40,0,0,0,-,0
C Barth,TB,0,1,1,100.0,28,0,1,1,100.0,0
R Succop,KC,0,6,6,100.0,45,0,1,1,100.0,0
D Bailey,DAL,10,3,3,100.0,32,0,1,1,100.0,0
A Henery,PHI,0,2,2,100.0,40,0,0,0,-,0
G Zuerlein,STL,0,2,2,100.0,56,0,0,0,-,0
B Walsh,MIN,6,1,1,100.0,52,0,3,3,100.0,0
J Tucker,BAL,7,1,1,100.0,27,0,4,4,100.0,0
D Akers,SF,0,2,3,66.7,29,1,1,1,100.0,0
R Bironas,TEN,14,3,5,60.0,38,0,5,5,100.0,0
A Vinatieri,IND,5,1,2,50.0,37,0,2,2,100.0,0
D Carpenter,MIA,8,2,4,50.0,41,0,2,2,100.0,0
G Hartley,NO,6,1,2,50.0,40,0,3,3,100.0,0
