Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,9,2,2,100.0,53,0,3,3,100.0,0
D Akers,SF,9,2,2,100.0,37,0,3,3,100.0,0
P Dawson,CLE,12,3,3,100.0,34,0,3,3,100.0,0
R Lindell,BUF,6,2,2,100.0,40,0,0,0,-,0
J Brown,CIN,13,4,4,100.0,52,0,1,1,100.0,0
S Suisham,PIT,6,1,1,100.0,49,0,3,3,100.0,0
N Novak,SD,0,2,2,100.0,51,0,4,4,100.0,0
N Folk,NYJ,0,1,1,100.0,44,0,2,2,100.0,0
M Prater,DEN,0,4,4,100.0,43,0,2,2,100.0,0
D Carpenter,MIA,0,2,2,100.0,53,0,1,1,100.0,0
G Hartley,NO,0,2,2,100.0,32,0,3,3,100.0,0
S Hauschka,SEA,16,3,3,100.0,32,0,7,7,100.0,0
G Gano,CAR,12,3,3,100.0,41,0,3,3,100.0,0
D Bailey,DAL,0,2,2,100.0,40,0,2,2,100.0,0
K Forbath,WSH,11,3,3,100.0,49,0,2,2,100.0,0
R Bironas,TEN,0,3,4,75.0,40,0,2,2,100.0,0
J Hanson,DET,0,2,3,66.7,46,0,2,2,100.0,0
M Crosby,GB,9,2,3,66.7,49,0,3,3,100.0,0
L Tynes,NYG,10,1,2,50.0,39,0,7,7,100.0,0
J Scobee,JAX,4,1,2,50.0,31,0,1,1,100.0,0
A Henery,PHI,0,1,3,33.3,28,0,2,2,100.0,0
R Succop,KC,0,0,1,0.0,0,0,1,1,100.0,0
