Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,8,2,2,100.0,25,0,2,2,100.0,0
P Dawson,CLE,8,2,2,100.0,32,0,2,2,100.0,0
S Janikowski,OAK,0,1,1,100.0,55,0,1,1,100.0,0
R Lindell,BUF,0,2,2,100.0,33,0,1,1,100.0,0
J Feely,ARZ,5,1,1,100.0,32,0,2,2,100.0,0
L Tynes,NYG,8,1,1,100.0,43,0,5,5,100.0,0
J Scobee,JAX,6,1,1,100.0,41,0,3,3,100.0,0
N Novak,SD,7,2,2,100.0,47,0,1,1,100.0,0
N Folk,NYJ,5,1,1,100.0,32,0,2,2,100.0,0
D Carpenter,MIA,6,1,1,100.0,43,0,3,3,100.0,0
R Succop,KC,9,3,3,100.0,49,0,0,0,-,0
G Gano,CAR,0,1,1,100.0,23,0,3,4,75.0,0
D Bailey,DAL,11,3,3,100.0,51,0,2,2,100.0,0
A Henery,PHI,10,3,3,100.0,45,0,1,1,100.0,0
K Forbath,WSH,0,1,1,100.0,48,0,5,5,100.0,0
J Tucker,BAL,0,3,3,100.0,43,0,1,1,100.0,0
R Bironas,TEN,0,4,5,80.0,40,0,1,1,100.0,0
C Barth,TB,11,3,4,75.0,48,0,2,2,100.0,0
S Graham,HOU,0,2,3,66.7,45,0,4,4,100.0,0
R Gould,CHI,8,2,3,66.7,47,1,2,2,100.0,0
M Nugent,CIN,10,2,3,66.7,55,0,4,4,100.0,0
J Hanson,DET,7,1,2,50.0,46,0,4,4,100.0,0
M Crosby,GB,0,1,2,50.0,28,0,1,1,100.0,0
G Zuerlein,STL,0,1,2,50.0,19,0,4,4,100.0,0
B Walsh,MIN,0,1,2,50.0,40,1,1,1,100.0,0
D Akers,SF,0,1,3,33.3,27,1,4,4,100.0,0
M Bryant,ATL,0,1,3,33.3,31,0,3,3,100.0,0
M Prater,DEN,0,1,3,33.3,34,0,2,2,100.0,0
S Gostkowski,NE,0,0,1,0.0,0,0,7,7,100.0,0
