Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,15,4,4,100.0,52,0,3,3,100.0,0
R Lindell,BUF,10,2,2,100.0,50,0,4,4,100.0,0
J Feely,ARZ,0,2,2,100.0,48,0,0,0,-,0
S Graham,HOU,0,1,1,100.0,50,0,3,3,100.0,0
M Bryant,ATL,11,3,3,100.0,55,0,2,2,100.0,0
J Scobee,JAX,0,1,1,100.0,36,0,1,1,100.0,0
R Gould,CHI,5,1,1,100.0,46,0,2,2,100.0,0
S Suisham,PIT,0,3,3,100.0,46,0,2,2,100.0,0
R Bironas,TEN,4,1,1,100.0,37,0,1,1,100.0,0
M Nugent,CIN,0,2,2,100.0,24,0,2,2,100.0,0
C Barth,TB,0,3,3,100.0,55,0,2,2,100.0,0
D Carpenter,MIA,10,3,3,100.0,44,0,1,1,100.0,0
G Hartley,NO,0,2,2,100.0,52,0,1,1,100.0,0
S Hauschka,SEA,0,1,1,100.0,31,0,2,2,100.0,0
R Succop,KC,9,2,2,100.0,52,0,3,3,100.0,0
D Bailey,DAL,8,1,1,100.0,39,0,5,5,100.0,0
A Henery,PHI,0,2,2,100.0,43,0,3,3,100.0,0
K Forbath,WSH,5,1,1,100.0,33,0,2,2,100.0,0
J Tucker,BAL,8,2,2,100.0,45,0,2,2,100.0,0
L Tynes,NYG,0,3,4,75.0,40,0,1,1,100.0,0
S Gostkowski,NE,0,3,4,75.0,43,0,2,2,100.0,0
M Crosby,GB,11,3,4,75.0,47,0,2,2,100.0,0
D Akers,SF,0,2,3,66.7,33,0,1,1,100.0,0
P Dawson,CLE,0,2,3,66.7,41,1,2,2,100.0,0
N Novak,SD,7,2,3,66.7,20,0,1,1,100.0,0
G Zuerlein,STL,6,2,3,66.7,54,0,0,0,-,0
S Janikowski,OAK,5,1,2,50.0,51,0,2,2,100.0,0
M Prater,DEN,7,1,2,50.0,31,0,4,4,100.0,0
N Folk,NYJ,1,0,2,0.0,0,0,1,1,100.0,0
B Walsh,MIN,0,0,1,0.0,0,0,2,2,100.0,0
