Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,5,1,1,100.0,38,0,2,2,100.0,0
D Akers,SF,7,2,2,100.0,38,0,1,1,100.0,0
R Lindell,BUF,10,2,2,100.0,42,0,4,4,100.0,0
S Graham,HOU,11,2,2,100.0,33,0,5,5,100.0,0
L Tynes,NYG,9,2,2,100.0,39,0,3,3,100.0,0
J Scobee,JAX,0,3,3,100.0,50,0,2,2,100.0,0
S Suisham,PIT,0,3,3,100.0,47,0,1,1,100.0,0
M Nugent,CIN,5,1,1,100.0,48,0,2,2,100.0,0
S Gostkowski,NE,9,2,2,100.0,48,0,3,3,100.0,0
N Folk,NYJ,0,4,4,100.0,54,0,2,2,100.0,0
D Bailey,DAL,0,4,4,100.0,49,0,1,1,100.0,0
G Zuerlein,STL,8,2,2,100.0,50,0,2,2,100.0,0
K Forbath,WSH,0,3,3,100.0,45,0,2,2,100.0,0
J Tucker,BAL,0,2,2,100.0,54,0,1,1,100.0,0
S Janikowski,OAK,14,4,5,80.0,40,0,2,2,100.0,0
M Crosby,GB,0,3,4,75.0,48,0,3,3,100.0,0
R Gould,CHI,7,2,3,66.7,39,1,1,1,100.0,0
S Hauschka,SEA,0,2,3,66.7,52,0,0,0,-,0
J Feely,ARZ,0,0,1,0.0,0,0,2,2,100.0,0
C Barth,TB,4,0,1,0.0,0,0,4,4,100.0,0
