Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
D Akers,SF,0,1,1,100.0,43,0,3,3,100.0,0
S Janikowski,OAK,0,4,4,100.0,36,0,2,2,100.0,0
J Feely,ARZ,3,1,1,100.0,28,0,0,0,-,0
M Bryant,ATL,0,3,3,100.0,43,0,3,3,100.0,0
L Tynes,NYG,0,5,5,100.0,43,0,2,2,100.0,0
J Scobee,JAX,0,3,3,100.0,38,0,0,0,-,0
S Suisham,PIT,9,2,2,100.0,48,0,3,3,100.0,0
N Novak,SD,0,2,2,100.0,43,0,0,0,-,0
S Gostkowski,NE,0,1,1,100.0,26,0,6,6,100.0,0
M Prater,DEN,10,2,2,100.0,33,0,4,4,100.0,0
J Medlock,CAR,0,5,5,100.0,45,0,1,1,100.0,0
C Barth,TB,0,3,3,100.0,40,0,3,3,100.0,0
D Carpenter,MIA,0,3,3,100.0,42,0,3,3,100.0,0
R Succop,KC,10,3,3,100.0,52,0,1,1,100.0,0
D Bailey,DAL,6,1,1,100.0,51,0,3,3,100.0,0
A Henery,PHI,5,1,1,100.0,33,0,2,2,100.0,0
B Walsh,MIN,5,1,1,100.0,51,0,2,2,100.0,0
K Forbath,WSH,0,2,2,100.0,48,0,0,1,0.0,1
A Vinatieri,IND,0,2,3,66.7,44,1,1,1,100.0,0
R Bironas,TEN,7,2,3,66.7,39,0,1,1,100.0,0
R Gould,CHI,5,1,2,50.0,41,0,2,2,100.0,0
N Folk,NYJ,3,1,2,50.0,38,1,0,0,-,0
M Crosby,GB,6,1,2,50.0,25,0,3,3,100.0,0
S Hauschka,SEA,0,1,2,50.0,23,0,3,3,100.0,0
