Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
P Dawson,CLE,15,5,5,100.0,41,0,0,0,-,0
S Janikowski,OAK,6,1,1,100.0,29,0,3,3,100.0,0
J Feely,ARZ,0,1,1,100.0,20,0,2,2,100.0,0
R Gould,CHI,0,3,3,100.0,40,0,6,6,100.0,0
S Suisham,PIT,0,1,1,100.0,30,0,3,3,100.0,0
R Bironas,TEN,4,1,1,100.0,39,0,1,1,100.0,0
N Novak,SD,7,1,1,100.0,25,0,4,4,100.0,0
M Prater,DEN,0,1,1,100.0,43,0,4,4,100.0,0
D Carpenter,MIA,0,2,2,100.0,37,0,2,2,100.0,0
S Hauschka,SEA,6,1,1,100.0,40,0,3,4,75.0,1
A Henery,PHI,0,2,2,100.0,37,0,1,1,100.0,0
B Walsh,MIN,0,2,2,100.0,55,0,2,2,100.0,0
K Forbath,WSH,7,2,2,100.0,47,0,1,1,100.0,0
J Tucker,BAL,0,1,1,100.0,43,0,2,2,100.0,0
R Lindell,BUF,0,3,4,75.0,39,0,0,0,-,0
M Nugent,CIN,11,3,4,75.0,49,0,2,2,100.0,0
M Bryant,ATL,13,4,6,66.7,46,0,1,1,100.0,0
L Tynes,NYG,8,2,3,66.7,50,0,2,2,100.0,0
R Succop,KC,0,2,3,66.7,49,0,1,1,100.0,0
D Bailey,DAL,0,2,3,66.7,32,0,1,1,100.0,0
A Vinatieri,IND,11,3,5,60.0,47,1,2,2,100.0,0
J Hanson,DET,0,1,2,50.0,42,0,4,4,100.0,0
M Crosby,GB,7,1,2,50.0,33,0,4,4,100.0,0
S Graham,HOU,3,0,1,0.0,0,1,3,3,100.0,0
J Medlock,CAR,0,0,1,0.0,0,1,3,3,100.0,0
C Barth,TB,0,0,2,0.0,0,1,6,6,100.0,0
G Hartley,NO,4,0,1,0.0,0,0,4,4,100.0,0
