Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,8,2,2,100.0,30,0,2,2,100.0,0
D Akers,SF,12,3,3,100.0,37,0,3,3,100.0,0
P Dawson,CLE,0,2,2,100.0,51,0,2,2,100.0,0
S Janikowski,OAK,5,1,1,100.0,40,0,2,2,100.0,0
R Lindell,BUF,13,4,4,100.0,42,0,1,1,100.0,0
J Feely,ARZ,0,4,4,100.0,48,0,1,1,100.0,0
M Bryant,ATL,11,3,3,100.0,51,0,2,2,100.0,0
J Scobee,JAX,0,3,3,100.0,43,0,4,4,100.0,0
S Suisham,PIT,4,1,1,100.0,22,0,1,1,100.0,0
C Barth,TB,0,2,2,100.0,51,0,1,1,100.0,0
G Hartley,NO,0,1,1,100.0,47,0,5,5,100.0,0
R Succop,KC,6,2,2,100.0,34,0,0,0,-,0
D Bailey,DAL,11,3,3,100.0,44,0,2,2,100.0,0
A Henery,PHI,0,2,2,100.0,42,0,0,0,-,0
K Forbath,WSH,7,1,1,100.0,25,0,4,4,100.0,0
M Prater,DEN,12,3,4,75.0,32,0,3,3,100.0,0
J Tucker,BAL,0,2,3,66.7,39,0,1,1,100.0,0
S Graham,HOU,13,3,5,60.0,42,0,4,4,100.0,0
A Vinatieri,IND,0,1,2,50.0,47,0,3,3,100.0,0
S Gostkowski,NE,11,1,2,50.0,31,0,8,8,100.0,0
N Folk,NYJ,0,2,4,50.0,51,1,3,3,100.0,0
M Crosby,GB,0,1,3,33.3,39,0,3,3,100.0,0
M Nugent,CIN,0,0,1,0.0,0,0,4,4,100.0,0
J Medlock,CAR,3,0,1,0.0,0,0,3,3,100.0,0
D Carpenter,MIA,0,0,1,0.0,0,0,2,2,100.0,0
