Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,0,4,4,100.0,46,0,2,2,100.0,0
A Vinatieri,IND,0,3,3,100.0,50,0,0,0,-,0
P Dawson,CLE,10,2,2,100.0,41,0,4,4,100.0,0
S Janikowski,OAK,0,2,2,100.0,52,0,2,2,100.0,0
R Lindell,BUF,0,1,1,100.0,25,0,2,2,100.0,0
S Graham,HOU,6,1,1,100.0,51,0,3,3,100.0,0
R Bironas,TEN,14,4,4,100.0,47,0,2,2,100.0,0
M Nugent,CIN,0,1,1,100.0,44,0,3,3,100.0,0
N Novak,SD,6,1,1,100.0,32,0,3,3,100.0,0
S Gostkowski,NE,0,3,3,100.0,35,0,2,2,100.0,0
D Carpenter,MIA,5,1,1,100.0,42,0,2,2,100.0,0
S Hauschka,SEA,6,1,1,100.0,34,0,3,3,100.0,0
R Succop,KC,0,1,1,100.0,38,0,1,1,100.0,0
A Henery,PHI,11,3,3,100.0,49,0,2,2,100.0,0
B Walsh,MIN,0,4,4,100.0,37,0,0,0,-,0
K Forbath,WSH,8,1,1,100.0,50,0,5,5,100.0,0
J Tucker,BAL,7,1,1,100.0,38,0,4,4,100.0,0
L Tynes,NYG,0,4,5,80.0,34,1,2,2,100.0,0
J Feely,ARZ,10,3,4,75.0,61,1,1,1,100.0,0
M Bryant,ATL,11,3,4,75.0,55,0,2,2,100.0,0
S Suisham,PIT,0,3,4,75.0,52,0,2,2,100.0,0
D Bailey,DAL,0,3,4,75.0,43,0,2,2,100.0,0
C Barth,TB,8,1,2,50.0,27,0,5,5,100.0,0
G Zuerlein,STL,0,2,5,40.0,48,0,0,0,-,0
D Akers,SF,3,1,3,33.3,42,0,0,0,-,0
