Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,6,1,1,100.0,44,0,3,3,100.0,0
J Feely,ARZ,0,2,2,100.0,35,0,1,1,100.0,0
M Bryant,ATL,5,1,1,100.0,28,0,2,2,100.0,0
J Brown,CIN,11,3,3,100.0,47,0,2,2,100.0,0
S Suisham,PIT,6,1,1,100.0,41,0,3,3,100.0,0
R Bironas,TEN,8,1,1,100.0,48,0,5,5,100.0,0
N Novak,SD,6,1,1,100.0,30,0,3,3,100.0,0
M Prater,DEN,8,1,1,100.0,42,0,5,5,100.0,0
M Crosby,GB,0,2,2,100.0,51,0,4,4,100.0,0
C Barth,TB,0,3,3,100.0,48,0,1,1,100.0,0
G Hartley,NO,8,1,1,100.0,53,0,5,5,100.0,0
S Hauschka,SEA,8,2,2,100.0,49,0,2,2,100.0,0
D Bailey,DAL,0,1,1,100.0,48,0,1,1,100.0,0
B Walsh,MIN,13,3,3,100.0,54,0,4,4,100.0,0
O Mare,CHI,0,4,5,80.0,40,0,2,2,100.0,0
S Graham,HOU,0,3,4,75.0,51,0,1,1,100.0,0
N Folk,NYJ,0,3,4,75.0,47,1,0,0,-,0
G Gano,CAR,0,3,4,75.0,42,0,5,5,100.0,0
G Zuerlein,STL,0,2,3,66.7,39,0,1,1,100.0,0
D Akers,SF,9,2,4,50.0,43,0,3,3,100.0,0
P Dawson,CLE,0,1,2,50.0,51,0,1,1,100.0,0
R Succop,KC,0,1,2,50.0,23,0,0,0,-,0
J Tucker,BAL,0,1,2,50.0,49,0,2,2,100.0,0
R Lindell,BUF,4,0,2,0.0,0,0,4,4,100.0,0
N Kaeding,MIA,0,0,1,0.0,0,0,0,0,-,0
A Henery,PHI,0,0,1,0.0,0,0,1,1,100.0,0
K Forbath,WSH,4,0,1,0.0,0,0,4,4,100.0,0
