Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,7,2,2,100.0,40,0,1,1,100.0,0
P Dawson,CLE,0,3,3,100.0,52,0,1,1,100.0,0
S Janikowski,OAK,0,2,2,100.0,38,0,0,0,-,0
J Feely,ARZ,6,1,1,100.0,46,0,3,3,100.0,0
S Graham,HOU,8,1,1,100.0,33,0,5,5,100.0,0
M Bryant,ATL,12,3,3,100.0,41,0,3,3,100.0,0
J Scobee,JAX,4,1,1,100.0,21,0,1,1,100.0,0
R Gould,CHI,0,2,2,100.0,43,0,4,4,100.0,0
M Nugent,CIN,0,2,2,100.0,35,0,3,3,100.0,0
N Novak,SD,0,3,3,100.0,47,0,4,4,100.0,0
M Prater,DEN,13,3,3,100.0,53,0,4,4,100.0,0
C Barth,TB,10,3,3,100.0,57,0,1,1,100.0,0
S Hauschka,SEA,0,2,2,100.0,31,0,1,1,100.0,0
D Bailey,DAL,4,1,1,100.0,39,0,1,1,100.0,0
A Henery,PHI,13,4,4,100.0,48,0,1,1,100.0,0
G Zuerlein,STL,13,4,4,100.0,60,0,1,1,100.0,0
D Carpenter,MIA,0,2,3,66.7,32,0,1,1,100.0,0
G Hartley,NO,0,2,3,66.7,27,0,3,3,100.0,0
B Walsh,MIN,0,2,3,66.7,49,0,2,2,100.0,0
D Akers,SF,0,2,4,50.0,40,0,4,4,100.0,0
L Tynes,NYG,0,1,2,50.0,25,0,2,2,100.0,0
J Tucker,BAL,5,1,2,50.0,45,0,2,2,100.0,0
S Gostkowski,NE,0,1,3,33.3,30,0,7,7,100.0,0
B Cundiff,WSH,0,1,4,25.0,41,0,3,3,100.0,0
