Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,9,2,2,100.0,45,0,3,3,100.0,0
D Akers,SF,0,3,3,100.0,63,0,3,3,100.0,0
P Dawson,CLE,10,3,3,100.0,43,0,1,1,100.0,0
S Janikowski,OAK,6,2,2,100.0,51,0,0,0,-,0
J Feely,ARZ,8,2,2,100.0,31,0,2,2,100.0,0
B Cundiff,WSH,0,4,4,100.0,45,0,4,4,100.0,0
M Bryant,ATL,0,4,4,100.0,41,0,4,4,100.0,0
L Tynes,NYG,5,1,1,100.0,22,0,2,2,100.0,0
N Kaeding,MIA,0,5,5,100.0,45,0,1,1,100.0,0
J Scobee,JAX,0,3,3,100.0,47,0,0,1,0.0,1
R Gould,CHI,11,2,2,100.0,35,0,5,5,100.0,0
S Suisham,PIT,0,2,2,100.0,35,0,1,1,100.0,0
R Bironas,TEN,7,2,2,100.0,28,0,1,1,100.0,0
M Nugent,CIN,0,2,2,100.0,34,0,1,1,100.0,0
S Gostkowski,NE,0,2,2,100.0,31,0,4,4,100.0,0
N Folk,NYJ,12,2,2,100.0,39,0,6,6,100.0,0
M Prater,DEN,5,1,1,100.0,26,0,2,2,100.0,0
J Medlock,CAR,0,1,1,100.0,21,0,1,1,100.0,0
C Barth,TB,10,3,3,100.0,40,0,1,1,100.0,0
D Carpenter,MIA,0,1,1,100.0,39,0,1,1,100.0,0
G Hartley,NO,6,1,1,100.0,21,0,3,3,100.0,0
D Bailey,DAL,0,1,1,100.0,33,0,3,3,100.0,0
G Zuerlein,STL,0,3,3,100.0,48,0,2,2,100.0,0
B Walsh,MIN,14,4,4,100.0,55,0,2,2,100.0,0
J Tucker,BAL,14,3,3,100.0,46,0,5,5,100.0,0
S Graham,HOU,12,3,4,75.0,40,0,3,3,100.0,0
S Hauschka,SEA,0,3,4,75.0,47,1,1,1,100.0,0
R Succop,KC,6,1,2,50.0,39,0,3,3,100.0,0
A Henery,PHI,0,1,2,50.0,42,0,2,2,100.0,0
A Vinatieri,IND,0,0,1,0.0,0,0,3,3,100.0,0
