Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,0,1,1,100.0,27,0,0,0,-,0
P Dawson,SF,0,2,2,100.0,49,0,3,3,100.0,0
J Brown,NYG,7,2,2,100.0,23,0,1,1,100.0,0
S Suisham,PIT,0,2,2,100.0,47,0,3,3,100.0,0
R Bironas,TEN,0,3,3,100.0,33,0,2,2,100.0,0
N Novak,SD,0,2,2,100.0,30,0,5,5,100.0,0
S Gostkowski,NE,10,2,2,100.0,31,0,4,4,100.0,0
N Folk,NYJ,0,1,1,100.0,27,0,0,0,-,0
M Prater,DEN,0,1,1,100.0,27,0,4,4,100.0,0
M Crosby,GB,8,2,2,100.0,27,0,2,2,100.0,0
G Hartley,NO,0,1,1,100.0,41,0,2,2,100.0,0
R Succop,KC,8,1,1,100.0,25,0,5,5,100.0,0
D Bailey,DAL,0,1,1,100.0,35,0,3,3,100.0,0
G Zuerlein,STL,10,2,2,100.0,40,0,4,4,100.0,0
B Walsh,MIN,0,4,4,100.0,47,0,2,2,100.0,0
K Forbath,WSH,6,2,2,100.0,36,0,0,0,-,0
J Tucker,BAL,13,4,4,100.0,53,0,1,1,100.0,0
R Bullock,HOU,6,2,2,100.0,49,0,0,0,-,0
J Feely,ARZ,16,4,5,80.0,50,1,4,4,100.0,0
C Sturgis,MIA,10,3,4,75.0,47,0,1,1,100.0,0
S Janikowski,OAK,13,4,6,66.7,52,0,1,1,100.0,0
M Bryant,ATL,7,2,3,66.7,39,0,1,1,100.0,0
J Scobee,JAX,0,2,3,66.7,53,1,1,1,100.0,0
G Gano,CAR,0,2,3,66.7,52,1,2,2,100.0,0
B Cundiff,CLE,3,1,2,50.0,49,0,0,0,-,0
R Lindell,TB,0,1,3,33.3,38,0,3,3,100.0,0
