Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,8,2,2,100.0,49,0,2,2,100.0,0
D Akers,DET,0,1,1,100.0,53,0,0,0,-,0
P Dawson,SF,10,2,2,100.0,38,0,4,4,100.0,0
S Janikowski,OAK,9,2,2,100.0,50,0,3,3,100.0,0
J Feely,ARZ,8,2,2,100.0,50,0,2,2,100.0,0
B Cundiff,CLE,13,3,3,100.0,44,0,4,4,100.0,0
J Scobee,JAX,0,2,2,100.0,48,0,2,2,100.0,0
R Gould,CHI,4,1,1,100.0,27,0,1,1,100.0,0
M Nugent,CIN,7,2,2,100.0,50,0,1,1,100.0,0
S Gostkowski,NE,0,2,2,100.0,42,0,0,0,-,0
N Folk,NYJ,0,3,3,100.0,43,0,3,3,100.0,0
M Prater,DEN,0,3,3,100.0,50,0,6,6,100.0,0
M Crosby,GB,16,5,5,100.0,52,0,1,1,100.0,0
D Carpenter,BUF,0,1,1,100.0,52,0,3,3,100.0,0
G Hartley,NO,0,4,4,100.0,48,0,2,2,100.0,0
R Succop,KC,0,4,4,100.0,48,0,2,2,100.0,0
G Gano,CAR,0,2,2,100.0,51,0,0,0,-,0
D Bailey,DAL,10,2,2,100.0,48,0,4,4,100.0,0
A Henery,PHI,0,5,5,100.0,41,0,3,3,100.0,0
G Zuerlein,STL,10,2,2,100.0,37,0,4,4,100.0,0
J Tucker,BAL,0,4,4,100.0,50,0,2,2,100.0,0
S Hauschka,SEA,0,4,5,80.0,46,1,2,2,100.0,0
C Sturgis,MIA,11,3,4,75.0,48,0,2,2,100.0,0
R Bironas,TEN,5,1,2,50.0,22,0,2,2,100.0,0
N Novak,SD,0,1,2,50.0,35,1,2,2,100.0,0
R Bullock,HOU,0,1,2,50.0,41,0,0,0,-,0
