Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,0,3,3,100.0,46,0,4,4,100.0,0
D Akers,DET,16,4,4,100.0,43,0,4,4,100.0,0
R Lindell,TB,4,1,1,100.0,50,0,1,1,100.0,0
J Feely,ARZ,0,2,2,100.0,42,0,1,1,100.0,0
M Bryant,ATL,11,3,3,100.0,45,0,2,2,100.0,0
J Scobee,JAX,3,1,1,100.0,53,0,0,0,-,0
R Gould,CHI,0,3,3,100.0,34,0,1,1,100.0,0
S Suisham,PIT,0,2,2,100.0,28,0,3,3,100.0,0
R Bironas,TEN,8,1,1,100.0,26,0,5,5,100.0,0
M Nugent,CIN,0,2,2,100.0,43,0,0,0,-,0
N Novak,SD,12,3,3,100.0,42,0,3,3,100.0,0
S Gostkowski,NE,0,3,3,100.0,49,0,3,3,100.0,0
N Folk,NYJ,0,2,2,100.0,47,0,1,1,100.0,0
M Prater,DEN,10,1,1,100.0,53,0,7,7,100.0,0
D Carpenter,BUF,11,3,3,100.0,27,0,2,2,100.0,0
S Hauschka,SEA,0,3,3,100.0,48,0,2,2,100.0,0
R Succop,KC,7,1,1,100.0,51,0,4,4,100.0,0
G Zuerlein,STL,3,1,1,100.0,40,0,0,0,-,0
J Tucker,BAL,0,2,2,100.0,35,0,2,2,100.0,0
C Sturgis,MIA,0,1,1,100.0,34,0,2,2,100.0,0
R Bullock,HOU,8,2,2,100.0,42,0,2,2,100.0,0
A Henery,PHI,0,2,3,66.7,35,0,2,2,100.0,0
B Walsh,MIN,10,2,3,66.7,54,0,4,4,100.0,0
G Hartley,NO,8,1,2,50.0,29,0,5,5,100.0,0
B Cundiff,CLE,5,1,3,33.3,51,1,2,2,100.0,0
P Dawson,SF,0,0,2,0.0,0,0,5,5,100.0,0
J Brown,NYG,0,0,1,0.0,0,0,1,1,100.0,0
D Bailey,DAL,0,0,1,0.0,0,0,3,3,100.0,0
