Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
D Akers,DET,0,2,2,100.0,32,0,3,3,100.0,0
B Cundiff,CLE,0,1,1,100.0,38,0,3,3,100.0,0
J Scobee,JAX,0,1,1,100.0,33,0,2,2,100.0,0
R Gould,CHI,0,2,2,100.0,47,0,4,5,80.0,1
S Suisham,PIT,11,3,3,100.0,44,0,2,2,100.0,0
S Gostkowski,NE,11,3,3,100.0,53,0,2,2,100.0,0
N Folk,NYJ,9,2,2,100.0,47,0,3,3,100.0,0
M Prater,DEN,13,3,3,100.0,53,0,4,4,100.0,0
M Crosby,GB,0,3,3,100.0,41,0,3,3,100.0,0
D Carpenter,BUF,0,4,4,100.0,43,0,0,0,-,0
G Hartley,NO,7,1,1,100.0,31,0,4,4,100.0,0
S Hauschka,SEA,9,1,1,100.0,21,0,6,6,100.0,0
G Gano,CAR,8,1,1,100.0,53,0,5,5,100.0,0
J Potter,DET,8,2,2,100.0,43,0,2,2,100.0,0
B Walsh,MIN,9,2,2,100.0,43,0,3,3,100.0,0
J Tucker,BAL,12,3,3,100.0,45,0,3,3,100.0,0
C Sturgis,MIA,9,2,2,100.0,50,0,3,3,100.0,0
R Bullock,HOU,0,3,3,100.0,47,0,0,0,-,0
R Succop,KC,0,4,5,80.0,38,0,2,2,100.0,0
M Bryant,ATL,0,3,4,75.0,52,0,2,2,100.0,0
A Vinatieri,IND,0,2,3,66.7,43,0,3,3,100.0,0
R Bironas,TEN,8,2,3,66.7,37,0,2,2,100.0,0
R Lindell,TB,0,1,2,50.0,30,0,0,0,-,0
N Novak,SD,0,1,2,50.0,44,1,2,2,100.0,0
D Bailey,DAL,7,1,2,50.0,19,0,4,4,100.0,0
A Henery,PHI,4,1,2,50.0,29,0,1,1,100.0,0
J Brown,NYG,0,0,1,0.0,0,0,0,0,-,0
M Nugent,CIN,4,0,1,0.0,0,0,4,5,80.0,1
