Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,16,5,5,100.0,49,0,1,1,100.0,0
P Dawson,SF,11,3,3,100.0,43,0,2,2,100.0,0
S Janikowski,OAK,0,1,1,100.0,45,0,3,3,100.0,0
M Bryant,ATL,0,2,2,100.0,49,0,4,4,100.0,0
J Brown,NYG,0,1,1,100.0,39,0,3,3,100.0,0
J Scobee,JAX,0,3,3,100.0,44,0,3,3,100.0,0
M Nugent,CIN,0,1,1,100.0,46,0,2,2,100.0,0
N Novak,SD,4,1,1,100.0,48,0,1,1,100.0,0
N Folk,NYJ,3,1,1,100.0,20,0,0,0,-,0
M Crosby,GB,0,1,1,100.0,54,0,1,1,100.0,0
D Carpenter,BUF,7,1,1,100.0,29,0,4,4,100.0,0
S Hauschka,SEA,10,2,2,100.0,26,0,4,4,100.0,0
G Gano,CAR,9,2,2,100.0,23,0,3,3,100.0,0
D Bailey,DAL,7,1,1,100.0,19,0,4,4,100.0,0
A Henery,PHI,6,1,1,100.0,32,0,3,3,100.0,0
G Zuerlein,STL,0,2,2,100.0,43,0,1,1,100.0,0
K Forbath,WSH,5,1,1,100.0,33,0,2,2,100.0,0
J Tucker,BAL,16,5,5,100.0,48,0,1,1,100.0,0
R Bullock,HOU,7,1,1,100.0,43,0,4,4,100.0,0
B Walsh,MIN,11,3,4,75.0,34,0,2,2,100.0,0
C Sturgis,MIA,0,3,4,75.0,43,0,2,2,100.0,0
R Lindell,TB,0,2,3,66.7,53,0,0,0,-,0
S Gostkowski,NE,0,2,3,66.7,53,0,4,4,100.0,0
D Akers,DET,8,1,2,50.0,27,0,5,5,100.0,0
R Gould,CHI,0,2,4,50.0,40,0,2,2,100.0,0
B Cundiff,CLE,4,0,1,0.0,0,0,4,4,100.0,0
