Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
D Akers,DET,4,1,1,100.0,37,0,1,1,100.0,0
P Dawson,SF,10,2,2,100.0,49,0,4,4,100.0,0
S Janikowski,OAK,0,2,2,100.0,42,0,1,1,100.0,0
R Lindell,TB,0,2,2,100.0,35,0,1,1,100.0,0
J Feely,ARZ,0,3,3,100.0,46,0,0,0,-,0
S Graham,NO,0,2,2,100.0,40,0,1,1,100.0,0
B Cundiff,CLE,0,2,2,100.0,27,0,1,1,100.0,0
M Bryant,ATL,0,1,1,100.0,35,0,3,3,100.0,0
J Brown,NYG,0,3,3,100.0,52,0,2,2,100.0,0
J Scobee,JAX,4,1,1,100.0,36,0,1,2,50.0,1
R Gould,CHI,0,1,1,100.0,50,0,0,0,-,0
S Suisham,PIT,0,1,1,100.0,31,0,5,5,100.0,0
R Bironas,TEN,0,2,2,100.0,52,0,2,2,100.0,0
N Novak,SD,14,4,4,100.0,48,0,2,2,100.0,0
S Gostkowski,NE,0,2,2,100.0,45,0,5,5,100.0,0
M Prater,DEN,0,3,3,100.0,44,0,4,4,100.0,0
M Crosby,GB,7,1,1,100.0,22,0,4,4,100.0,0
D Carpenter,BUF,13,4,4,100.0,45,0,1,1,100.0,0
G Gano,CAR,5,1,1,100.0,40,0,2,2,100.0,0
D Bailey,DAL,0,1,1,100.0,25,0,3,3,100.0,0
A Henery,PHI,10,1,1,100.0,49,0,7,7,100.0,0
G Zuerlein,STL,11,3,3,100.0,54,0,2,2,100.0,0
K Forbath,WSH,11,3,3,100.0,47,0,2,2,100.0,0
R Bullock,HOU,7,2,2,100.0,45,0,1,1,100.0,0
A Vinatieri,IND,0,3,4,75.0,46,0,2,2,100.0,0
N Folk,NYJ,6,1,2,50.0,21,0,3,3,100.0,0
S Hauschka,SEA,4,1,2,50.0,27,0,1,1,100.0,0
R Succop,KC,1,0,1,0.0,0,0,1,1,100.0,0
J Tucker,BAL,1,0,1,0.0,0,0,1,1,100.0,0
