Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
A Vinatieri,IND,13,3,3,100.0,52,0,4,4,100.0,0
P Dawson,SF,0,1,1,100.0,44,0,4,4,100.0,0
R Lindell,TB,0,3,3,100.0,41,0,2,2,100.0,0
J Feely,ARZ,10,3,3,100.0,52,0,1,1,100.0,0
B Cundiff,CLE,0,2,2,100.0,46,0,1,1,100.0,0
M Bryant,ATL,7,1,1,100.0,23,0,4,4,100.0,0
J Brown,NYG,11,3,3,100.0,36,0,2,2,100.0,0
J Scobee,JAX,6,2,2,100.0,30,0,0,0,-,0
S Suisham,PIT,13,4,4,100.0,42,0,1,1,100.0,0
R Bironas,TEN,5,1,1,100.0,31,0,2,2,100.0,0
N Novak,SD,0,1,1,100.0,20,0,3,3,100.0,0
S Gostkowski,NE,0,2,2,100.0,44,0,3,3,100.0,0
N Folk,NYJ,12,3,3,100.0,42,0,3,3,100.0,0
M Prater,DEN,0,2,2,100.0,47,0,3,3,100.0,0
D Carpenter,BUF,0,3,3,100.0,39,0,2,2,100.0,0
S Hauschka,SEA,0,2,2,100.0,51,0,4,4,100.0,0
R Succop,KC,5,1,1,100.0,22,0,2,2,100.0,0
G Gano,CAR,12,3,3,100.0,50,0,3,3,100.0,0
D Bailey,DAL,0,1,1,100.0,38,0,2,2,100.0,0
G Zuerlein,STL,0,2,2,100.0,42,0,1,1,100.0,0
K Forbath,WSH,9,1,1,100.0,38,0,6,6,100.0,0
J Tucker,BAL,0,3,3,100.0,46,0,1,1,100.0,0
R Bullock,HOU,0,3,3,100.0,48,0,1,1,100.0,0
R Gould,CHI,0,2,3,66.7,49,0,5,5,100.0,0
M Nugent,CIN,0,2,3,66.7,54,0,3,3,100.0,0
D Akers,DET,6,1,2,50.0,36,1,3,3,100.0,0
M Crosby,GB,7,1,2,50.0,26,0,4,4,100.0,0
A Henery,PHI,3,1,2,50.0,31,0,0,0,-,0
B Walsh,MIN,0,0,1,0.0,0,0,1,1,100.0,0
C Sturgis,MIA,3,0,1,0.0,0,0,3,3,100.0,0
