Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
M Lynch,SEA,11,128,11.6,3,7,63.6,33,0,0
A Peterson,MIN,31,154,5.0,2,7,22.6,51,0,0
T Richardson,CLE,18,42,2.3,2,3,16.7,8,0,0
D Wilson,NYG,13,100,7.7,2,5,38.5,52,0,0
S Jackson,STL,19,64,3.4,1,4,21.1,12,0,0
M Turner,ATL,7,14,2.0,1,1,14.3,5,0,0
A Rodgers,GB,3,32,10.7,1,2,66.7,27,0,0
D Sproles,NO,5,56,11.2,1,3,60.0,34,0,0
F Gore,SF,12,63,5.3,1,4,33.3,19,0,0
L Washington,SEA,7,38,5.4,1,3,42.9,14,0,0
M Owens,JAX,14,91,6.5,1,4,28.6,32,0,0
J Charles,KC,18,165,9.2,1,6,33.3,80,0,0
R Rice,BAL,20,121,6.1,1,4,20.0,46,0,0
K Moreno,DEN,32,119,3.7,1,7,21.9,18,0,0
M Stafford,DET,3,9,3.0,1,1,33.3,6,0,0
S Greene,NYJ,20,77,3.9,1,5,25.0,14,0,0
A Foster,HOU,15,46,3.1,1,4,26.7,15,0,0
A Dixon,SF,2,9,4.5,1,1,50.0,8,0,0
D Murray,DAL,21,53,2.5,1,5,23.8,7,0,0
D Carter,IND,3,1,0.3,1,1,33.3,3,0,0
S Ridley,NE,18,72,4.0,1,4,22.2,14,1,0
B Powell,NYJ,19,78,4.1,1,5,26.3,13,0,0
C Kaepernick,SF,6,53,8.8,1,1,16.7,50,0,0
C Newton,CAR,9,116,12.9,1,4,44.4,72,0,0
D Harris,GB,7,31,4.4,1,2,28.6,14,0,0
T Yates,HOU,1,1,1.0,1,1,100.0,1,0,0
N Foles,PHI,3,27,9.0,1,3,100.0,14,0,0
D Martin,TB,28,128,4.6,1,6,21.4,14,0,0
A Morris,WSH,23,129,5.6,1,6,26.1,29,1,1
P Manning,DEN,3,-3,-1.0,0,0,0.0,-1,0,0
T Brady,NE,1,6,6.0,0,1,100.0,6,0,0
R Wayne,IND,1,-5,-5.0,0,0,0.0,-5,0,0
D Brees,NO,1,-1,-1.0,0,0,0.0,-1,0,0
C Palmer,OAK,1,-1,-1.0,0,0,0.0,-1,0,0
V Leach,BAL,2,3,1.5,0,1,50.0,2,0,0
E Manning,NYG,2,-3,-1.5,0,0,0.0,-1,0,0
B Roethlisberger,PIT,5,31,6.2,0,2,40.0,10,1,1
P Rivers,SD,3,3,1.0,0,0,0.0,5,0,0
G Jones,JAX,2,4,2.0,0,1,50.0,4,0,0
J Cribbs,CLE,2,15,7.5,0,1,50.0,12,0,0
R Fitzpatrick,BUF,3,5,1.7,0,0,0.0,3,0,0
R Brown,SD,2,17,8.5,0,1,50.0,17,0,0
J Cutler,CHI,2,16,8.0,0,1,50.0,11,0,0
R Bush,MIA,14,65,4.6,0,3,21.4,17,0,0
J Kuhn,GB,1,-5,-5.0,0,0,0.0,-5,0,0
J Campbell,CHI,1,8,8.0,0,0,0.0,8,0,0
D Williams,CAR,17,56,3.3,0,4,23.5,13,0,0
F Jackson,BUF,9,14,1.6,0,1,11.1,14,1,1
B Quinn,KC,1,4,4.0,0,0,0.0,4,0,0
R Grant,GB,1,13,13.0,0,1,100.0,13,0,0
