Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
M Tolbert,CAR,10,25,2.5,3,5,50.0,5,0,0
A Morris,WSH,33,200,6.1,3,12,36.4,32,0,0
D Williams,CAR,21,210,10.0,2,5,23.8,65,0,0
S Ridley,NE,20,74,3.7,2,7,35.0,13,0,0
M Turner,ATL,6,18,3.0,1,1,16.7,17,0,0
F Gore,SF,20,68,3.4,1,4,20.0,9,0,0
B Smith,BUF,2,20,10.0,1,2,100.0,16,0,0
A Peterson,MIN,34,199,5.9,1,10,29.4,28,0,0
A Bradshaw,NYG,16,107,6.7,1,9,56.3,17,0,0
M Forte,CHI,24,103,4.3,1,7,29.2,13,1,0
T Choice,BUF,5,30,6.0,1,1,20.0,13,0,0
C Johnson,TEN,21,56,2.7,1,3,14.3,19,0,0
L Ball,DEN,15,66,4.4,1,4,26.7,22,0,0
K Moreno,DEN,15,44,2.9,1,5,33.3,17,0,0
A Foster,HOU,16,96,6.0,1,3,18.8,39,0,0
T Pryor,OAK,9,49,5.4,1,4,44.4,9,0,0
A Allen,BAL,10,41,4.1,1,2,20.0,20,0,0
T Taylor,BAL,9,65,7.2,1,5,55.6,28,0,0
V Ballard,IND,27,78,2.9,1,5,18.5,20,0,0
R Wilson,SEA,10,58,5.8,1,3,30.0,15,0,0
D Martin,TB,28,142,5.1,1,5,17.9,40,0,0
R Griffin III,WSH,6,63,10.5,1,4,66.7,17,0,0
M Vick,PHI,5,25,5.0,0,1,20.0,11,1,0
S Moss,WSH,1,2,2.0,0,0,0.0,2,0,0
D Carr,NYG,3,-3,-1.0,0,0,0.0,-1,0,0
M Schaub,HOU,2,-1,-0.5,0,0,0.0,0,0,0
S Jackson,STL,11,52,4.7,0,2,18.2,15,0,0
W Welker,NE,1,11,11.0,0,1,100.0,11,0,0
B Roethlisberger,PIT,2,-2,-1.0,0,0,0.0,-1,0,0
P Rivers,SD,3,-3,-1.0,0,0,0.0,-1,0,0
R Brown,SD,5,20,4.0,0,0,0.0,6,0,0
D Sproles,NO,3,1,0.3,0,0,0.0,5,0,0
A Smith,SF,2,-2,-1.0,0,0,0.0,-1,0,0
D Hester,CHI,1,2,2.0,0,0,0.0,2,0,0
J Cutler,CHI,5,29,5.8,0,2,40.0,19,0,0
B Marshall,CHI,1,-2,-2.0,0,0,0.0,-2,0,0
R Bush,MIA,8,26,3.3,0,3,37.5,18,0,0
B Gradkowski,CIN,3,-2,-0.7,0,0,0.0,0,0,0
S Koch,BAL,1,10,10.0,0,1,100.0,10,0,0
J Snelling,ATL,3,8,2.7,0,0,0.0,7,0,0
M Lynch,SEA,18,100,5.6,0,5,27.8,24,1,0
B Quinn,KC,2,4,2.0,0,0,0.0,5,0,0
R Grant,GB,2,2,1.0,0,0,0.0,2,0,0
B Jackson,CLE,8,54,6.8,0,2,25.0,25,0,0
J Battle,SD,19,37,1.9,0,2,10.5,8,0,0
B Leonard,CIN,10,34,3.4,0,2,20.0,9,0,0
R Ventrone,CLE,1,35,35.0,0,1,100.0,35,0,0
E Weddle,SD,1,6,6.0,0,1,100.0,6,0,0
M Ryan,ATL,2,11,5.5,0,0,0.0,6,0,0
F Jones,DAL,5,24,4.8,0,2,40.0,9,0,0
