Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
B Wells,ARZ,17,67,3.9,3,5,29.4,31,0,0
R Wilson,SEA,9,92,10.2,3,5,55.6,25,0,0
M Tolbert,CAR,9,40,4.4,2,5,55.6,13,0,0
D Woodhead,NE,12,61,5.1,2,6,50.0,15,0,0
T Richardson,CLE,11,28,2.5,2,4,36.4,14,0,0
A Morris,WSH,27,87,3.2,2,4,14.8,11,0,0
T Brady,NE,3,11,3.7,1,2,66.7,5,0,0
M Turner,ATL,16,52,3.3,1,3,18.8,14,0,0
M Lynch,SEA,10,113,11.3,1,4,40.0,54,0,0
A Peterson,MIN,24,212,8.8,1,6,25.0,82,0,0
C Johnson,TEN,21,122,5.8,1,1,4.8,94,0,0
B Green-Ellis,CIN,25,106,4.2,1,6,24.0,29,0,0
J Hester,DEN,7,20,2.9,1,1,14.3,7,0,0
K Moreno,DEN,21,115,5.5,1,6,28.6,20,0,0
C Spiller,BUF,17,103,6.1,1,6,35.3,18,0,0
J Dwyer,PIT,9,22,2.4,1,1,11.1,6,0,0
A Dalton,CIN,8,18,2.3,1,3,37.5,11,0,0
D Murray,DAL,14,81,5.8,1,6,42.9,28,1,1
J Locker,TEN,7,43,6.1,1,2,28.6,15,0,0
C Ponder,MIN,4,6,1.5,1,2,50.0,5,0,0
M Ingram,NO,14,90,6.4,1,3,21.4,31,0,0
E Royster,WSH,2,3,1.5,1,1,50.0,4,0,0
M Leshoure,DET,14,55,3.9,1,3,21.4,14,0,0
D Brees,NO,1,11,11.0,0,1,100.0,11,0,0
S Smith,CAR,1,15,15.0,0,1,100.0,15,0,0
C Palmer,OAK,2,4,2.0,0,2,100.0,2,0,0
L McCown,ATL,2,-3,-1.5,0,0,0.0,-1,0,0
T Romo,DAL,4,-4,-1.0,0,0,0.0,4,0,0
S Jackson,STL,13,73,5.6,0,3,23.1,15,0,0
M Moore,IND,4,6,1.5,0,0,0.0,6,1,1
D Henderson,NO,1,13,13.0,0,1,100.0,13,0,0
B Roethlisberger,PIT,2,2,1.0,0,0,0.0,3,0,0
P Rivers,SD,3,4,1.3,0,0,0.0,3,1,0
G Jones,JAX,1,3,3.0,0,1,100.0,3,0,0
J Cribbs,CLE,1,16,16.0,0,1,100.0,16,0,0
A Rodgers,GB,4,14,3.5,0,1,25.0,6,0,0
R Fitzpatrick,BUF,3,8,2.7,0,0,0.0,4,0,0
D Sproles,NO,5,22,4.4,0,2,40.0,15,0,0
F Gore,SF,21,83,4.0,0,3,14.3,15,0,0
J Cutler,CHI,1,9,9.0,0,0,0.0,9,0,0
R Bush,MIA,21,104,5.0,0,4,19.0,53,0,0
L Washington,SEA,2,5,2.5,0,0,0.0,5,0,0
J Kuhn,GB,2,5,2.5,0,0,0.0,4,0,0
M Robinson,SEA,1,29,29.0,0,1,100.0,29,0,0
D Williams,CAR,22,93,4.2,0,6,27.3,12,1,1
M Owens,JAX,11,47,4.3,0,2,18.2,12,0,0
J Snelling,ATL,6,39,6.5,0,2,33.3,11,0,0
R Grant,GB,8,32,4.0,0,0,0.0,14,1,1
J Battle,SD,3,2,0.7,0,1,33.3,3,0,0
B Leonard,CIN,2,6,3.0,0,1,50.0,7,0,0
