Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
W McGahee,DEN,22,113,5.1,2,8,36.4,31,0,0
R Bush,MIA,26,172,6.6,2,5,19.2,65,0,0
J Battle,SD,14,69,4.9,2,6,42.9,16,0,0
C Spiller,BUF,15,123,8.2,2,5,33.3,38,0,0
B Tate,HOU,12,74,6.2,2,6,50.0,25,0,0
R Griffin III,WSH,11,82,7.5,2,6,54.5,15,0,0
M Vick,PHI,10,34,3.4,1,2,20.0,8,1,1
D Brees,NO,2,0,0.0,1,1,50.0,1,0,0
V Leach,BAL,1,5,5.0,1,1,100.0,5,0,0
M Turner,ATL,17,42,2.5,1,2,11.8,15,1,0
F Gore,SF,17,89,5.2,1,5,29.4,16,0,0
D Williams,CAR,14,69,4.9,1,5,35.7,27,0,0
M Lynch,SEA,26,122,4.7,1,4,15.4,36,0,0
K Kolb,ARZ,5,17,3.4,1,3,60.0,6,0,0
M Tolbert,CAR,2,3,1.5,1,1,50.0,2,0,0
L McCoy,PHI,25,81,3.2,1,4,16.0,20,1,1
A Foster,HOU,28,110,3.9,1,7,25.0,18,0,0
I Redman,PIT,12,25,2.1,1,3,25.0,13,0,0
A Brown,NYG,13,71,5.5,1,5,38.5,23,0,0
M Ingram,NO,16,53,3.3,1,3,18.8,12,0,0
C Newton,CAR,13,71,5.5,1,4,30.8,40,1,1
T Richardson,CLE,19,109,5.7,1,2,10.5,32,0,0
L Miller,MIA,10,65,6.5,1,4,40.0,19,0,0
R Tannehill,MIA,3,14,4.7,1,2,66.7,13,0,0
D Martin,TB,20,66,3.3,1,3,15.0,12,0,0
P Manning,DEN,1,-1,-1.0,0,0,0.0,-1,0,0
T Brady,NE,1,-1,-1.0,0,0,0.0,-1,0,0
N Burleson,DET,2,5,2.5,0,0,0.0,3,0,0
M Schaub,HOU,2,-3,-1.5,0,0,0.0,-1,0,0
C Palmer,OAK,2,7,3.5,0,0,0.0,7,0,0
T Romo,DAL,2,-1,-0.5,0,0,0.0,0,1,0
S Jackson,STL,9,58,6.4,0,3,33.3,20,0,0
M Moore,IND,1,-2,-2.0,0,0,0.0,-2,0,0
E Manning,NYG,3,-2,-0.7,0,0,0.0,0,1,0
P Rivers,SD,1,9,9.0,0,0,0.0,9,0,0
C Benson,GB,20,81,4.1,0,4,20.0,11,0,0
A Rodgers,GB,3,-6,-2.0,0,0,0.0,-2,0,0
R Fitzpatrick,BUF,4,34,8.5,0,2,50.0,20,0,0
R Brown,SD,4,8,2.0,0,0,0.0,3,0,0
M Cassel,KC,2,25,12.5,0,1,50.0,21,0,0
S Considine,BAL,1,3,3.0,0,0,0.0,3,0,0
A Smith,SF,4,7,1.8,0,0,0.0,10,0,0
J Cutler,CHI,1,12,12.0,0,1,100.0,12,0,0
B Smith,BUF,2,5,2.5,0,0,0.0,5,1,0
L Washington,SEA,4,11,2.8,0,0,0.0,5,0,0
J Kuhn,GB,2,1,0.5,0,1,50.0,1,0,0
M Robinson,SEA,2,6,3.0,0,2,100.0,4,0,0
M Jones-Drew,JAX,12,60,5.0,0,3,25.0,17,0,0
J Snelling,ATL,1,2,2.0,0,0,0.0,2,0,0
A Peterson,MIN,16,60,3.8,0,2,12.5,6,0,0
