Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
M Bush,CHI,21,60,2.9,2,6,28.6,8,0,0
B Wells,ARZ,17,48,2.8,2,3,17.6,12,0,0
A Foster,HOU,20,102,5.1,2,8,40.0,15,0,0
C Newton,CAR,14,52,3.7,2,7,50.0,14,0,0
B Brown,PHI,19,178,9.4,2,10,52.6,65,2,2
D Martin,TB,21,50,2.4,2,4,19.0,10,0,0
T Brady,NE,3,5,1.7,1,3,100.0,2,0,0
M Turner,ATL,13,17,1.3,1,2,15.4,9,0,0
R Bush,MIA,14,87,6.2,1,3,21.4,22,0,0
A Bradshaw,NYG,10,58,5.8,1,3,30.0,13,0,0
J Forsett,HOU,5,87,17.4,1,1,20.0,81,0,0
B Green-Ellis,CIN,19,129,6.8,1,5,26.3,48,0,0
R Jennings,JAX,16,43,2.7,1,3,18.8,9,0,0
J Bell,DET,5,47,9.4,1,2,40.0,26,0,0
A Brown,NYG,13,64,4.9,1,3,23.1,16,0,0
J Rodgers,ATL,10,49,4.9,1,4,40.0,20,0,0
D Thomas,MIA,9,60,6.7,1,4,44.4,20,0,0
S Ridley,NE,21,97,4.6,1,5,23.8,9,0,0
B Powell,NYJ,12,40,3.3,1,3,25.0,14,0,0
C Kaepernick,SF,6,27,4.5,1,2,33.3,15,0,0
T Richardson,CLE,29,85,2.9,1,2,6.9,15,0,0
M Leshoure,DET,12,32,2.7,1,4,33.3,12,0,0
C Rainey,PIT,5,17,3.4,1,1,20.0,7,0,0
A Morris,WSH,24,113,4.7,1,4,16.7,16,0,0
P Manning,DEN,1,1,1.0,0,0,0.0,1,0,0
D Brees,NO,2,-2,-1.0,0,0,0.0,-1,0,0
M Schaub,HOU,2,-1,-0.5,0,0,0.0,0,0,0
T Copper,KC,1,1,1.0,0,0,0.0,1,0,0
T Romo,DAL,3,7,2.3,0,0,0.0,6,0,0
S Jackson,STL,24,139,5.8,0,5,20.8,46,0,0
E Manning,NYG,2,12,6.0,0,1,50.0,13,0,0
A Rodgers,GB,3,22,7.3,0,1,33.3,11,0,0
R Fitzpatrick,BUF,3,12,4.0,0,0,0.0,6,0,0
R Brown,SD,2,17,8.5,0,1,50.0,13,0,0
B Jacobs,SF,1,1,1.0,0,0,0.0,1,0,0
F Gore,SF,19,83,4.4,0,4,21.1,14,0,0
J Cutler,CHI,3,9,3.0,0,0,0.0,5,0,0
J Kuhn,GB,4,17,4.3,0,1,25.0,7,0,0
D Williams,CAR,11,21,1.9,0,0,0.0,4,0,0
F Jackson,BUF,6,16,2.7,0,1,16.7,7,0,0
M Lynch,SEA,19,46,2.4,0,2,10.5,16,0,0
B Quinn,KC,1,-1,-1.0,0,0,0.0,-1,0,0
J Battle,SD,2,2,1.0,0,1,50.0,2,0,0
A Peterson,MIN,18,108,6.0,0,3,16.7,23,1,1
S Rice,SEA,1,3,3.0,0,0,0.0,3,0,0
P Thomas,NO,1,0,0.0,0,0,0.0,0,0,0
M Ryan,ATL,1,13,13.0,0,0,0.0,13,0,0
M Forte,CHI,14,42,3.0,0,1,7.1,6,1,1
F Jones,DAL,6,14,2.3,0,1,16.7,5,0,0
P Hillis,KC,2,5,2.5,0,0,0.0,3,0,0
