Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
B Brown,PHI,24,169,7.0,2,10,41.7,39,1,1
M Turner,ATL,12,83,6.9,1,5,41.7,35,1,1
R Fitzpatrick,BUF,5,18,3.6,1,2,40.0,11,0,0
F Gore,SF,23,58,2.5,1,3,13.0,23,0,0
M Lynch,SEA,19,87,4.6,1,5,26.3,20,1,1
A Peterson,MIN,21,210,10.0,1,5,23.8,82,0,0
P Hillis,KC,12,19,1.6,1,4,33.3,5,0,0
C Henne,JAX,3,1,0.3,1,1,33.3,1,0,0
R Rice,BAL,12,78,6.5,1,4,33.3,34,0,0
A Foster,HOU,14,38,2.7,1,2,14.3,7,1,0
C Spiller,BUF,14,77,5.5,1,4,28.6,44,0,0
J Starks,GB,15,66,4.4,1,3,20.0,22,0,0
J Dwyer,PIT,16,49,3.1,1,3,18.8,16,0,0
A Dalton,CIN,4,5,1.3,1,2,50.0,6,0,0
D Murray,DAL,23,83,3.6,1,7,30.4,27,0,0
S Ridley,NE,19,71,3.7,1,5,26.3,11,0,0
M Ingram,NO,6,13,2.2,1,1,16.7,5,0,0
T Richardson,CLE,20,72,3.6,1,4,20.0,9,0,0
M Leshoure,DET,21,57,2.7,1,4,19.0,7,0,0
V Ballard,IND,9,41,4.6,1,3,33.3,13,0,0
R Tannehill,MIA,5,19,3.8,1,2,40.0,9,1,0
P Manning,DEN,2,-5,-2.5,0,0,0.0,-2,0,0
T Brady,NE,4,-1,-0.3,0,1,25.0,2,0,0
S Moss,WSH,1,0,0.0,0,0,0.0,0,0,0
M Schaub,HOU,4,5,1.3,0,0,0.0,8,0,0
C Palmer,OAK,1,3,3.0,0,1,100.0,3,0,0
T Romo,DAL,3,14,4.7,0,1,33.3,15,1,0
S Jackson,STL,21,48,2.3,0,1,4.8,9,0,0
E Manning,NYG,1,5,5.0,0,0,0.0,5,0,0
P Rivers,SD,2,20,10.0,0,2,100.0,11,0,0
A Rodgers,GB,4,15,3.8,0,1,25.0,8,0,0
B Jacobs,SF,4,6,1.5,0,1,25.0,3,0,0
J Cutler,CHI,5,27,5.4,0,3,60.0,8,1,0
R Bush,MIA,15,64,4.3,0,3,20.0,16,0,0
B Smith,BUF,2,28,14.0,0,2,100.0,17,0,0
L Washington,SEA,2,8,4.0,0,0,0.0,6,0,0
J Kuhn,GB,4,8,2.0,0,0,0.0,5,0,0
M Robinson,SEA,1,4,4.0,0,1,100.0,4,0,0
D Williams,CAR,12,67,5.6,0,4,33.3,13,0,0
M Owens,JAX,7,29,4.1,0,1,14.3,9,0,0
F Jackson,BUF,25,109,4.4,0,6,24.0,15,0,0
B Quinn,KC,3,12,4.0,0,1,33.3,6,0,0
B Leonard,CIN,1,1,1.0,0,0,0.0,1,0,0
B Fields,MIA,1,0,0.0,0,0,0.0,0,1,0
P Thomas,NO,14,84,6.0,0,3,21.4,13,0,0
A Bradshaw,NYG,24,103,4.3,0,7,29.2,14,0,0
D Ware,TB,1,8,8.0,0,0,0.0,8,0,0
M Ryan,ATL,3,-2,-0.7,0,0,0.0,0,0,0
M Forte,CHI,21,66,3.1,0,2,9.5,10,0,0
F Jones,DAL,7,26,3.7,0,0,0.0,7,0,0
