Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
R Grant,GB,20,80,4.0,2,6,30.0,18,0,0
S Greene,NYJ,14,38,2.7,2,4,28.6,12,0,0
S Jackson,STL,19,81,4.3,1,3,15.8,19,0,0
A Rodgers,GB,4,11,2.8,1,1,25.0,6,0,0
R Bush,MIA,19,65,3.4,1,4,21.1,10,1,0
M Lynch,SEA,26,111,4.3,1,4,15.4,24,0,0
M Forte,CHI,12,88,7.3,1,4,33.3,36,0,0
J Charles,KC,22,226,10.3,1,5,22.7,86,1,1
J Hester,DEN,3,6,2.0,1,1,33.3,4,0,0
J Flacco,BAL,3,-10,-3.3,1,1,33.3,1,0,0
T Gerhart,MIN,8,31,3.9,1,3,37.5,6,0,0
M Ingram,NO,21,53,2.5,1,2,9.5,9,0,0
D Lewis,PHI,1,17,17.0,1,1,100.0,17,0,0
C Newton,CAR,12,60,5.0,1,4,33.3,29,0,0
D Harris,GB,8,29,3.6,1,2,25.0,10,0,0
M Leshoure,DET,15,46,3.1,1,3,20.0,9,1,1
D Wilson,NYG,3,17,5.7,1,1,33.3,14,0,0
A Morris,WSH,22,91,4.1,1,5,22.7,14,0,0
J Feely,ARZ,1,0,0.0,0,0,0.0,0,1,0
S Moss,WSH,1,12,12.0,0,1,100.0,12,0,0
D Brees,NO,1,-1,-1.0,0,0,0.0,-1,0,0
W Welker,NE,1,9,9.0,0,1,100.0,9,0,0
E Manning,NYG,1,8,8.0,0,0,0.0,8,0,0
B Roethlisberger,PIT,2,3,1.5,0,0,0.0,4,0,0
P Rivers,SD,5,4,0.8,0,0,0.0,8,0,0
M Turner,ATL,13,41,3.2,0,3,23.1,22,0,0
G Jones,JAX,1,0,0.0,0,0,0.0,0,0,0
J Cribbs,CLE,1,3,3.0,0,0,0.0,3,0,0
R Fitzpatrick,BUF,4,18,4.5,0,2,50.0,9,0,0
R Brown,SD,5,31,6.2,0,1,20.0,9,0,0
D Sproles,NO,9,48,5.3,0,2,22.2,17,0,0
F Gore,SF,6,28,4.7,0,1,16.7,18,1,0
J Cutler,CHI,3,8,2.7,0,1,33.3,10,0,0
B Smith,BUF,1,1,1.0,0,0,0.0,1,0,0
M Robinson,SEA,1,1,1.0,0,1,100.0,1,0,0
D Williams,CAR,10,19,1.9,0,0,0.0,14,0,0
M Owens,JAX,10,42,4.2,0,3,30.0,14,0,0
B Quinn,KC,5,11,2.2,0,0,0.0,8,0,0
J Battle,SD,19,49,2.6,0,2,10.5,9,0,0
A Peterson,MIN,25,86,3.4,0,5,20.0,21,0,0
P Thomas,NO,7,16,2.3,0,1,14.3,7,0,0
A Bradshaw,NYG,9,39,4.3,0,2,22.2,11,0,0
M Ryan,ATL,2,25,12.5,0,0,0.0,16,0,0
T Choice,BUF,1,-3,-3.0,0,0,0.0,-3,0,0
P Hillis,KC,15,101,6.7,0,7,46.7,16,0,0
M Flynn,SEA,3,-3,-1.0,0,0,0.0,-1,0,0
C Johnson,TEN,11,28,2.5,0,1,9.1,8,0,0
J Forsett,HOU,1,4,4.0,0,0,0.0,4,0,0
D McFadden,OAK,17,33,1.9,0,1,5.9,13,0,0
C Henne,JAX,2,22,11.0,0,2,100.0,15,0,0
