Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
S Greene,NYJ,32,161,5.0,3,9,28.1,21,0,0
R Rice,BAL,16,63,3.9,2,6,37.5,12,0,0
A Foster,HOU,17,29,1.7,2,3,17.6,5,0,0
R Griffin III,WSH,13,138,10.6,2,4,30.8,76,0,0
F Jackson,BUF,16,53,3.3,1,3,18.8,7,1,1
A Bradshaw,NYG,27,116,4.3,1,6,22.2,23,0,0
F Jones,DAL,18,92,5.1,1,6,33.3,22,0,0
D McFadden,OAK,27,70,2.6,1,4,14.8,14,1,1
M Stafford,DET,3,7,2.3,1,1,33.3,3,0,0
C Spiller,BUF,12,88,7.3,1,4,33.3,33,0,0
S Bradford,STL,4,34,8.5,1,2,50.0,21,0,0
L Blount,TB,7,58,8.3,1,2,28.6,35,0,0
M Hardesty,CLE,15,56,3.7,1,3,20.0,14,0,0
J Harper,TEN,2,1,0.5,1,1,50.0,1,0,0
B Batch,PIT,10,22,2.2,1,2,20.0,10,0,0
A Morris,WSH,16,47,2.9,1,3,18.8,15,0,0
P Manning,DEN,3,-3,-1.0,0,0,0.0,-1,0,0
M Hasselbeck,TEN,1,2,2.0,0,0,0.0,2,0,0
M Vick,PHI,9,59,6.6,0,3,33.3,12,1,0
N Burleson,DET,2,22,11.0,0,1,50.0,16,0,0
M Schaub,HOU,1,0,0.0,0,0,0.0,0,1,0
W McGahee,DEN,17,56,3.3,0,3,17.6,9,0,0
S Jackson,STL,12,52,4.3,0,2,16.7,12,0,0
M Moore,IND,3,5,1.7,0,0,0.0,5,0,0
E Manning,NYG,3,-2,-0.7,0,0,0.0,1,0,0
B Roethlisberger,PIT,1,14,14.0,0,1,100.0,14,0,0
M Turner,ATL,11,33,3.0,0,2,18.2,9,0,0
J Cribbs,CLE,1,8,8.0,0,0,0.0,8,0,0
A Rodgers,GB,2,17,8.5,0,2,100.0,15,0,0
R Fitzpatrick,BUF,3,5,1.7,0,0,0.0,4,0,0
R Brown,SD,3,13,4.3,0,0,0.0,6,0,0
F Gore,SF,8,36,4.5,0,2,25.0,13,0,0
A Smith,SF,2,5,2.5,0,0,0.0,4,0,0
R Bush,MIA,12,17,1.4,0,0,0.0,9,0,0
B Smith,BUF,2,19,9.5,0,2,100.0,16,0,0
J Kuhn,GB,2,6,3.0,0,0,0.0,5,0,0
J Ryan,SEA,1,0,0.0,0,0,0.0,0,1,0
J Snelling,ATL,1,-1,-1.0,0,0,0.0,-1,0,0
M Lynch,SEA,15,41,2.7,0,2,13.3,7,0,0
B Quinn,KC,2,11,5.5,0,0,0.0,9,0,0
J Battle,SD,2,3,1.5,0,1,50.0,2,0,0
A Peterson,MIN,17,79,4.6,0,3,17.6,32,0,0
D Ware,TB,1,6,6.0,0,1,100.0,6,0,0
K Kolb,ARZ,5,66,13.2,0,3,60.0,22,0,0
M Ryan,ATL,1,15,15.0,0,1,100.0,15,0,0
C Johnson,TEN,19,91,4.8,0,2,10.5,13,0,0
J Forsett,HOU,7,47,6.7,0,2,28.6,17,0,0
J Charles,KC,12,40,3.3,0,2,16.7,22,0,0
D Avery,IND,1,-1,-1.0,0,0,0.0,-1,0,0
B Green-Ellis,CIN,16,62,3.9,0,3,18.8,20,0,0
