Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
B Powell,NYJ,11,42,3.8,2,2,18.2,11,0,0
B Leftwich,PIT,1,31,31.0,1,1,100.0,31,0,0
M Turner,ATL,15,46,3.1,1,3,20.0,10,0,0
F Jones,DAL,14,43,3.1,1,4,28.6,12,0,0
B Green-Ellis,CIN,25,101,4.0,1,4,16.0,21,0,0
J Stewart,CAR,15,43,2.9,1,4,26.7,11,0,0
L Stephens-Howling,ARZ,22,127,5.8,1,3,13.6,52,0,0
A Dalton,CIN,3,13,4.3,1,2,66.7,11,0,0
D Carter,IND,2,21,10.5,1,2,100.0,20,0,0
S Ridley,NE,13,28,2.2,1,2,15.4,11,0,0
S Vereen,NE,11,40,3.6,1,2,18.2,13,0,0
M Ingram,NO,12,67,5.6,1,2,16.7,27,0,0
K Hunter,SF,5,27,5.4,1,1,20.0,14,0,0
M Leshoure,DET,19,84,4.4,1,4,21.1,15,0,0
W McGahee,DEN,7,55,7.9,0,3,42.9,15,0,0
C Palmer,OAK,1,2,2.0,0,1,100.0,2,0,0
T Romo,DAL,2,10,5.0,0,0,0.0,5,0,0
S Jackson,STL,13,81,6.2,0,3,23.1,21,0,0
A Rodgers,GB,1,3,3.0,0,0,0.0,3,0,0
R Fitzpatrick,BUF,3,15,5.0,0,1,33.3,13,0,0
R Brown,SD,4,9,2.3,0,0,0.0,5,0,0
M Cassel,KC,1,0,0.0,0,0,0.0,0,0,0
F Gore,SF,17,78,4.6,0,5,29.4,14,0,0
R Bush,MIA,10,20,2.0,0,2,20.0,11,0,0
J Kuhn,GB,1,-1,-1.0,0,0,0.0,-1,0,0
J Campbell,CHI,1,13,13.0,0,1,100.0,13,0,0
D Williams,CAR,7,18,2.6,0,0,0.0,5,0,0
J Snelling,ATL,1,-1,-1.0,0,0,0.0,-1,0,0
B Quinn,KC,3,7,2.3,0,0,0.0,5,0,0
J Battle,SD,4,-3,-0.8,0,0,0.0,1,0,0
P Thomas,NO,5,30,6.0,0,1,20.0,14,0,0
D Ware,TB,1,2,2.0,0,0,0.0,2,0,0
M Ryan,ATL,3,-3,-1.0,0,0,0.0,-1,0,0
M Forte,CHI,21,63,3.0,0,4,19.0,8,0,0
T Choice,BUF,6,14,2.3,0,0,0.0,4,0,0
P Hillis,KC,3,9,3.0,0,0,0.0,6,1,1
K Smith,DET,1,4,4.0,0,0,0.0,4,0,0
L Ball,DEN,6,35,5.8,0,2,33.3,14,0,0
J Forsett,HOU,7,59,8.4,0,3,42.9,30,0,0
J Charles,KC,17,87,5.1,0,5,29.4,17,0,0
M Bush,CHI,5,9,1.8,0,1,20.0,6,0,0
C Henne,JAX,2,7,3.5,0,0,0.0,4,0,0
R Mendenhall,PIT,11,33,3.0,0,1,9.1,5,0,0
J Flacco,BAL,1,-1,-1.0,0,0,0.0,-1,0,0
H Nakamura,CAR,1,-4,-4.0,0,0,0.0,-4,0,0
J Parmele,JAX,24,80,3.3,0,3,12.5,28,0,0
R Rice,BAL,20,40,2.0,0,3,15.0,8,1,0
C Peerman,CIN,8,75,9.4,0,3,37.5,32,0,0
M Stafford,DET,2,12,6.0,0,2,100.0,6,0,0
D Brown,IND,4,17,4.3,0,1,25.0,9,0,0
