Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
A Peterson,MIN,17,84,4.9,2,5,29.4,20,0,0
M Bush,CHI,12,42,3.5,2,4,33.3,20,0,0
R Rice,BAL,10,68,6.8,2,5,50.0,16,0,0
A Foster,HOU,26,79,3.0,2,2,7.7,14,0,0
A Morris,WSH,28,96,3.4,2,5,17.9,18,0,0
M Cassel,KC,4,20,5.0,1,2,50.0,13,0,0
F Gore,SF,16,112,7.0,1,4,25.0,23,0,0
A Bradshaw,NYG,17,78,4.6,1,3,17.6,33,0,0
M Ryan,ATL,3,25,8.3,1,2,66.7,11,0,0
M Forte,CHI,16,80,5.0,1,4,25.0,32,0,0
K Smith,DET,13,62,4.8,1,3,23.1,19,0,0
B Green-Ellis,CIN,18,91,5.1,1,7,38.9,14,0,0
K Moreno,DEN,5,13,2.6,1,3,60.0,7,0,0
D Brown,IND,9,48,5.3,1,3,33.3,18,0,0
S Greene,NYJ,27,94,3.5,1,4,14.8,14,2,0
L Stephens-Howling,ARZ,2,4,2.0,1,1,50.0,3,0,0
C Spiller,BUF,14,169,12.1,1,5,35.7,56,0,0
J Bell,DET,1,1,1.0,1,1,100.0,1,0,0
S Draughn,KC,6,29,4.8,1,3,50.0,14,0,0
S Ridley,NE,21,125,6.0,1,10,47.6,17,0,0
P Manning,DEN,4,3,0.8,0,1,25.0,7,0,0
S Lechler,OAK,2,0,0.0,0,0,0.0,0,0,0
T Brady,NE,2,1,0.5,0,1,50.0,2,0,0
M Vick,PHI,7,32,4.6,0,2,28.6,16,2,0
N Burleson,DET,1,6,6.0,0,0,0.0,6,0,0
A Boldin,BAL,1,3,3.0,0,0,0.0,3,0,0
M Schaub,HOU,4,-2,-0.5,0,0,0.0,2,0,0
W McGahee,DEN,16,64,4.0,0,3,18.8,12,1,1
T Romo,DAL,5,12,2.4,0,1,20.0,9,0,0
S Jackson,STL,21,53,2.5,0,3,14.3,9,0,0
B Roethlisberger,PIT,2,4,2.0,0,1,50.0,2,0,0
P Rivers,SD,1,-2,-2.0,0,0,0.0,-2,0,0
M Turner,ATL,11,32,2.9,0,1,9.1,11,0,0
C Benson,GB,9,18,2.0,0,0,0.0,4,0,0
A Rodgers,GB,5,27,5.4,0,2,40.0,9,0,0
R Fitzpatrick,BUF,2,8,4.0,0,0,0.0,9,0,0
R Brown,SD,5,5,1.0,0,0,0.0,4,0,0
A Smith,SF,5,13,2.6,0,0,0.0,5,0,0
D Hester,CHI,1,-4,-4.0,0,0,0.0,-4,0,0
L Vickers,DAL,1,0,0.0,0,0,0.0,0,0,0
J Cutler,CHI,4,-4,-1.0,0,0,0.0,-1,0,0
R Bush,MIA,14,69,4.9,0,5,35.7,13,1,0
L Washington,SEA,2,5,2.5,0,0,0.0,3,0,0
B Gradkowski,CIN,1,0,0.0,0,0,0.0,0,1,0
D Williams,CAR,6,-1,-0.2,0,0,0.0,7,0,0
M Jones-Drew,JAX,19,77,4.1,0,4,21.1,11,0,0
J Snelling,ATL,2,5,2.5,0,0,0.0,3,0,0
F Jackson,BUF,6,15,2.5,0,1,16.7,7,0,0
M Lynch,SEA,21,85,4.0,0,3,14.3,11,1,0
B Leonard,CIN,3,5,1.7,0,0,0.0,3,0,0
