Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
C Johnson,TEN,18,195,10.8,2,5,27.8,83,0,0
A Foster,HOU,19,98,5.2,2,6,31.6,16,0,0
J Harper,TEN,7,8,1.1,2,2,28.6,8,0,0
A Luck,IND,3,12,4.0,2,2,66.7,5,0,0
C Palmer,OAK,6,14,2.3,1,2,33.3,9,1,0
S Jackson,STL,12,57,4.8,1,4,33.3,19,0,0
A Peterson,MIN,23,153,6.7,1,6,26.1,27,0,0
P Thomas,NO,13,32,2.5,1,2,15.4,6,0,0
A Bradshaw,NYG,12,43,3.6,1,2,16.7,15,0,0
M Tolbert,CAR,3,9,3.0,1,2,66.7,4,0,0
C Peerman,CIN,1,5,5.0,1,1,100.0,5,0,0
S Greene,NYJ,16,54,3.4,1,4,25.0,8,0,0
L Stephens-Howling,ARZ,20,104,5.2,1,5,25.0,27,0,0
R Jennings,JAX,21,44,2.1,1,3,14.3,8,0,0
A Brown,NYG,5,17,3.4,1,1,20.0,6,0,0
C Rainey,PIT,4,17,4.3,1,1,25.0,11,0,0
D Martin,TB,16,85,5.3,1,3,18.8,36,0,0
M Hasselbeck,TEN,1,-2,-2.0,0,0,0.0,-2,0,0
D Brees,NO,1,1,1.0,0,0,0.0,1,0,0
M Schaub,HOU,1,-2,-2.0,0,0,0.0,-2,0,0
T Romo,DAL,3,11,3.7,0,1,33.3,10,0,0
V Leach,BAL,1,6,6.0,0,0,0.0,6,0,0
M Moore,IND,3,11,3.7,0,0,0.0,5,0,0
E Manning,NYG,2,4,2.0,0,1,50.0,5,0,0
B Roethlisberger,PIT,1,-1,-1.0,0,0,0.0,-1,0,0
A Rodgers,GB,2,0,0.0,0,0,0.0,1,0,0
R Fitzpatrick,BUF,2,23,11.5,0,0,0.0,13,0,0
D Sproles,NO,5,27,5.4,0,1,20.0,12,0,0
F Gore,SF,16,131,8.2,0,6,37.5,37,0,0
A Smith,SF,5,11,2.2,0,1,20.0,8,0,0
J Cutler,CHI,3,34,11.3,0,2,66.7,24,0,0
B Smith,BUF,1,2,2.0,0,0,0.0,2,0,0
L Washington,SEA,2,4,2.0,0,0,0.0,2,0,0
J Kuhn,GB,3,16,5.3,0,0,0.0,9,0,0
M Robinson,SEA,1,2,2.0,0,1,100.0,2,0,0
J Campbell,CHI,1,5,5.0,0,0,0.0,5,0,0
D Williams,CAR,2,4,2.0,0,0,0.0,3,0,0
M Jones-Drew,JAX,2,6,3.0,0,0,0.0,3,0,0
F Jackson,BUF,9,71,7.9,0,3,33.3,13,0,0
M Lynch,SEA,19,103,5.4,0,4,21.1,15,0,0
D Ware,TB,1,4,4.0,0,1,100.0,4,0,0
M Forte,CHI,22,96,4.4,0,3,13.6,39,0,0
F Jones,DAL,15,44,2.9,0,1,6.7,9,0,0
J Forsett,HOU,6,32,5.3,0,2,33.3,11,0,0
M Bush,CHI,6,36,6.0,0,2,33.3,12,0,0
D McFadden,OAK,19,53,2.8,0,5,26.3,13,0,0
C Henne,JAX,3,4,1.3,0,0,0.0,3,0,0
D Reynaud,TEN,1,-4,-4.0,0,0,0.0,-4,0,0
B Green-Ellis,CIN,18,69,3.8,0,5,27.8,14,0,0
E Doucet,ARZ,2,9,4.5,0,0,0.0,6,0,0
