Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
D Hopkins,HOU,2,77,5,38.5,0,2,100.0,66,0,0
D Thomas,DEN,3,106,6,35.3,0,3,100.0,77,0,0
M Crabtree,SF,2,68,4,34.0,0,1,50.0,60,0,0
R Lockette,SEA,1,33,1,33.0,0,1,100.0,33,0,0
K Martin,HOU,1,27,1,27.0,0,1,100.0,27,0,0
J Jones,OAK,3,79,5,26.3,0,2,66.7,56,0,0
J Gordon,CLE,10,261,15,26.1,2,7,70.0,95,0,0
D Dickerson,DET,1,26,1,26.0,0,1,100.0,26,0,0
J Simpson,MIN,3,76,9,25.3,0,3,100.0,32,0,0
V Jackson,TB,3,75,5,25.0,0,1,33.3,60,0,0
T Ginn Jr.,ARZ,2,47,4,23.5,1,2,100.0,36,0,0
D Heyward-Bey,PIT,1,23,5,23.0,0,1,100.0,23,0,0
K Durham,DET,3,68,7,22.7,0,3,100.0,36,0,0
L Green,SD,2,45,6,22.5,1,2,100.0,30,0,0
S Taylor,ARZ,2,45,3,22.5,0,2,100.0,29,0,0
E Decker,NYJ,8,174,12,21.8,4,7,87.5,42,0,0
A Hawkins,CLE,3,65,3,21.7,0,2,66.7,50,0,0
R Gronkowski,NE,6,127,12,21.2,1,5,83.3,50,0,0
M Robinson,SEA,1,21,1,21.0,0,1,100.0,21,0,0
A Jeffery,CHI,12,249,15,20.8,2,8,66.7,80,0,0
V Davis,SF,4,82,5,20.5,1,4,100.0,23,0,0
J Avant,CAR,1,20,4,20.0,0,1,100.0,20,0,0
K Ogletree,DET,1,20,1,20.0,1,1,100.0,20,0,0
C Owusu,TB,1,20,3,20.0,0,1,100.0,20,0,0
M Floyd,ARZ,5,99,10,19.8,1,5,100.0,34,0,0
R Woods,BUF,2,39,3,19.5,0,1,50.0,33,0,0
A Holmes,OAK,7,136,11,19.4,0,6,85.7,35,0,0
D Baldwin,SEA,4,77,5,19.3,1,4,100.0,52,0,0
R Streater,OAK,3,57,4,19.0,0,3,100.0,27,0,0
D Bowe,KC,3,56,7,18.7,0,2,66.7,24,0,0
M Austin,DAL,1,18,5,18.0,0,1,100.0,18,0,0
K Moreno,MIA,4,72,5,18.0,1,3,75.0,34,0,0
B Bolden,NE,1,18,1,18.0,0,1,100.0,18,0,0
J Witten,DAL,3,53,3,17.7,0,3,100.0,22,0,0
J Wright,MIN,3,53,3,17.7,0,3,100.0,24,0,0
Z Miller,SEA,5,86,8,17.2,1,3,60.0,60,0,0
S Smith Sr.,BAL,3,51,4,17.0,0,3,100.0,18,0,0
G Olsen,CAR,5,85,7,17.0,0,4,80.0,30,0,0
H Nicks,IND,2,34,2,17.0,0,2,100.0,19,0,0
T Underwood,CAR,3,51,4,17.0,0,3,100.0,23,0,0
C Johnson,DET,6,101,10,16.8,1,6,100.0,20,0,0
C Fleener,IND,3,50,5,16.7,0,3,100.0,21,0,0
A Green,CIN,5,83,7,16.6,1,3,60.0,28,0,0
J Cook,STL,3,49,6,16.3,0,2,66.7,20,0,0
N Washington,TEN,5,81,6,16.2,0,4,80.0,31,0,0
R Cooper,PHI,3,48,6,16.0,0,2,66.7,24,0,0
E Dickson,BAL,1,16,2,16.0,0,1,100.0,16,0,0
V Brown,SD,1,16,2,16.0,0,1,100.0,16,0,0
K Thompkins,NE,1,16,3,16.0,0,1,100.0,16,0,0
S Chandler,BUF,4,63,6,15.8,0,2,50.0,23,1,1
