Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
D Baldwin,SEA,1,51,1,51.0,0,1,100.0,51,0,0
A Caldwell,DEN,1,36,1,36.0,0,1,100.0,36,0,0
N Byham,TB,1,34,1,34.0,0,1,100.0,34,0,0
Z Ertz,PHI,2,58,2,29.0,0,2,100.0,31,0,0
G Bernard,CIN,1,27,2,27.0,1,1,100.0,27,0,0
J Simpson,MIN,2,49,5,24.5,0,2,100.0,37,0,0
F Summers,BUF,2,49,2,24.5,0,2,100.0,34,0,0
K Thompkins,NE,2,47,7,23.5,0,1,50.0,38,0,0
L McCoy,PHI,5,114,6,22.8,0,3,60.0,70,0,0
J Nelson,GB,3,66,4,22.0,2,3,100.0,37,0,0
T Benjamin,CLE,1,22,1,22.0,0,1,100.0,22,0,0
T Eifert,CIN,3,66,5,22.0,0,2,66.7,61,0,0
C Clay,MIA,5,109,7,21.8,0,2,40.0,67,0,0
S Hill,NYJ,4,86,8,21.5,0,2,50.0,37,1,1
D Jackson,WSH,9,193,15,21.4,1,7,77.8,61,0,0
C Gates,NYJ,2,42,8,21.0,0,1,50.0,34,0,0
C Givens,STL,5,105,8,21.0,0,5,100.0,47,0,0
J Wright,MIN,1,21,2,21.0,0,1,100.0,21,0,0
A Ellington,ARZ,2,42,2,21.0,1,2,100.0,36,0,0
H Nicks,IND,4,83,7,20.8,0,4,100.0,34,0,0
T Ginn Jr.,ARZ,3,62,8,20.7,1,2,66.7,40,0,0
T Hilton,IND,6,124,12,20.7,0,5,83.3,47,0,0
M Floyd,SD,5,102,6,20.4,0,4,80.0,31,0,0
J Cotchery,CAR,3,59,9,19.7,0,3,100.0,31,0,0
J Morgan,WSH,2,39,6,19.5,0,2,100.0,21,0,0
C Johnson,DET,6,116,8,19.3,2,5,83.3,72,0,0
D Avery,KC,2,38,4,19.0,0,1,50.0,31,0,0
G Tate,DET,1,19,2,19.0,0,1,100.0,19,0,0
J Cameron,CLE,5,95,7,19.0,0,3,60.0,53,0,0
V McDonald,SF,1,19,2,19.0,0,1,100.0,19,0,0
A Dobson,NE,3,56,10,18.7,1,3,100.0,39,0,0
K Martin,HOU,2,37,2,18.5,0,1,50.0,32,0,0
B Bajema,BAL,1,18,1,18.0,0,1,100.0,18,0,0
J Graham,NO,10,179,16,17.9,1,7,70.0,56,0,0
P Garcon,WSH,8,143,13,17.9,1,7,87.5,44,0,0
C Fleener,IND,4,69,8,17.3,1,3,75.0,40,0,0
S Holmes,NYJ,3,51,6,17.0,0,3,100.0,27,0,0
P Peterson,ARZ,1,17,1,17.0,0,1,100.0,17,0,0
R Woods,BUF,4,68,6,17.0,0,3,75.0,28,0,0
K Allen,SD,2,34,3,17.0,0,2,100.0,18,0,0
G Jennings,MIN,5,84,6,16.8,0,4,80.0,22,0,0
D Hopkins,HOU,7,117,13,16.7,1,7,100.0,28,0,0
N Washington,TEN,3,50,5,16.7,0,2,66.7,31,0,0
J Jones,ATL,11,182,14,16.5,1,5,45.5,81,0,0
L Fitzgerald,ARZ,2,33,5,16.5,0,2,100.0,22,0,0
D Paulson,PIT,3,49,4,16.3,0,1,33.3,34,1,1
J Jones,OAK,11,178,12,16.2,0,6,54.5,57,1,1
B Marshall,CHI,7,113,10,16.1,1,5,71.4,34,0,0
M Colston,NO,4,63,7,15.8,0,3,75.0,31,0,0
D Bryant,DAL,9,141,13,15.7,1,7,77.8,53,0,0
