Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
B Quick,STL,2,97,6,48.5,0,2,100.0,73,0,0
D Posey,HOU,1,42,2,42.0,0,1,100.0,42,0,0
A Robinson,WSH,2,75,2,37.5,1,2,100.0,45,0,0
M Lewis,JAX,1,31,3,31.0,0,1,100.0,31,0,0
A Jeffery,CHI,4,105,7,26.3,0,4,100.0,35,0,0
L Hankerson,WSH,1,26,5,26.0,0,1,100.0,26,0,0
A Green,CIN,6,155,8,25.8,1,5,83.3,82,0,0
D Hopkins,HOU,3,76,4,25.3,1,2,66.7,35,0,0
K Ogletree,DET,2,50,2,25.0,0,2,100.0,43,0,0
D Davis,ATL,1,24,1,24.0,0,1,100.0,24,0,0
C Givens,STL,1,24,2,24.0,0,1,100.0,24,0,0
M Brown,JAX,5,120,8,24.0,0,4,80.0,43,0,0
L Willson,SEA,1,23,2,23.0,0,1,100.0,23,0,0
K Allen,SD,3,67,6,22.3,0,3,100.0,36,0,0
A Johnson,HOU,4,89,6,22.3,0,4,100.0,42,0,0
H Douglas,ATL,7,149,7,21.3,1,4,57.1,54,0,0
N Washington,TEN,3,62,10,20.7,0,2,66.7,42,0,0
D Thomas,DEN,4,82,9,20.5,1,3,75.0,31,0,0
T Smith,BAL,3,61,6,20.3,0,2,66.7,41,0,0
D Nelson,NYJ,4,80,7,20.0,0,4,100.0,27,0,0
S Havili,IND,1,20,2,20.0,1,1,100.0,20,0,0
L Green,SD,2,40,3,20.0,0,2,100.0,27,0,0
V McDonald,SF,1,20,2,20.0,0,1,100.0,20,0,0
G Tate,DET,4,77,7,19.3,0,3,75.0,32,0,0
D Williams,CAR,1,19,1,19.0,0,1,100.0,19,0,0
P Peterson,ARZ,1,19,1,19.0,0,1,100.0,19,0,0
D Moye,PIT,1,19,2,19.0,0,1,100.0,19,0,0
E Decker,NYJ,8,150,13,18.8,1,6,75.0,49,0,0
L Smith,BUF,1,18,1,18.0,0,1,100.0,18,0,0
T Graham,BUF,2,36,2,18.0,0,1,50.0,30,0,0
C Johnson,TEN,4,71,4,17.8,1,1,25.0,66,0,0
D McCluster,TEN,4,70,5,17.5,0,2,50.0,43,0,0
T Doss,JAX,2,35,3,17.5,0,2,100.0,22,0,0
D Walker,TEN,3,52,5,17.3,1,2,66.7,26,0,0
E Royal,SD,4,69,4,17.3,1,3,75.0,29,0,0
C Johnson,DET,9,155,15,17.2,2,8,88.9,50,0,0
F Gore,SF,2,34,3,17.0,0,1,50.0,29,0,0
T Ginn Jr.,ARZ,2,34,2,17.0,0,1,50.0,22,0,0
S Hill,NYJ,1,17,5,17.0,0,1,100.0,17,0,0
D Paulson,PIT,1,17,1,17.0,0,1,100.0,17,0,0
J Kearse,SEA,1,17,3,17.0,0,1,100.0,17,0,0
S Rice,SEA,3,50,4,16.7,1,2,66.7,31,0,0
J Gresham,CIN,4,64,5,16.0,0,2,50.0,30,0,0
D Baldwin,SEA,1,16,1,16.0,0,1,100.0,16,0,0
V Davis,SF,4,62,8,15.5,0,3,75.0,24,0,0
M Wallace,MIA,5,76,10,15.2,0,3,60.0,46,0,0
T Gonzalez,ATL,2,30,4,15.0,0,2,100.0,20,0,0
T Eifert,CIN,3,45,4,15.0,1,2,66.7,32,0,0
J Fauria,DET,1,15,4,15.0,0,1,100.0,15,0,0
J Reed,WSH,9,134,9,14.9,1,7,77.8,38,0,0
