Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
D Young,WSH,1,62,2,62.0,1,1,100.0,62,0,0
D Noble,JAX,1,62,1,62.0,1,1,100.0,62,0,0
B Celek,PHI,1,42,1,42.0,0,1,100.0,42,0,0
R Meachem,NO,2,78,2,39.0,0,2,100.0,44,0,0
T Graham,BUF,2,74,4,37.0,1,2,100.0,40,0,0
S Holmes,NYJ,2,71,8,35.5,0,2,100.0,38,0,0
A Holmes,OAK,1,33,3,33.0,0,1,100.0,33,0,0
M Floyd,ARZ,6,193,10,32.2,1,6,100.0,91,0,0
D Baldwin,SEA,2,63,2,31.5,1,2,100.0,44,0,0
A Robinson,WSH,2,60,3,30.0,1,2,100.0,41,0,0
K Thompkins,NE,2,60,2,30.0,0,2,100.0,37,0,0
C Johnson,DET,6,179,13,29.8,2,6,100.0,79,0,0
J Ballard,ARZ,1,29,1,29.0,0,1,100.0,29,0,0
J Jones,OAK,2,55,6,27.5,0,2,100.0,45,0,0
R Lockette,SEA,1,27,1,27.0,0,1,100.0,27,0,0
N Washington,TEN,2,53,3,26.5,0,2,100.0,42,0,0
G Tate,DET,1,26,4,26.0,0,1,100.0,26,0,0
B Bostick,GB,1,26,1,26.0,0,1,100.0,26,0,0
T Ginn Jr.,ARZ,1,25,3,25.0,1,1,100.0,25,0,0
J Gordon,CLE,5,125,15,25.0,1,3,60.0,74,0,0
D Thomas,DEN,5,121,13,24.2,0,4,80.0,70,0,0
M Bennett,CHI,2,48,2,24.0,0,1,50.0,43,0,0
J Wright,MIN,3,69,4,23.0,2,3,100.0,38,0,0
H Douglas,ATL,6,134,9,22.3,1,3,50.0,80,0,0
A Brown,PIT,7,147,13,21.0,2,6,85.7,47,0,0
S Moss,WSH,2,41,7,20.5,0,2,100.0,28,0,0
D Jackson,WSH,4,82,4,20.5,0,4,100.0,26,0,0
L Green,SD,4,81,5,20.3,0,3,75.0,35,0,0
S Chandler,BUF,2,40,3,20.0,0,1,50.0,31,0,0
D Avery,KC,1,20,3,20.0,0,1,100.0,20,0,0
T Underwood,CAR,1,20,1,20.0,0,1,100.0,20,0,0
S McGrath,KC,2,40,3,20.0,0,2,100.0,21,0,0
G Graham,HOU,7,136,13,19.4,1,5,71.4,42,1,1
S Ajirotutu,SD,2,38,2,19.0,0,2,100.0,20,0,0
J Ross,DET,1,19,3,19.0,0,1,100.0,19,0,0
L McCoy,PHI,4,73,4,18.3,0,1,25.0,49,0,0
Z Miller,SEA,4,69,5,17.3,0,2,50.0,34,0,0
K Winslow,NYJ,1,17,1,17.0,0,1,100.0,17,0,0
P Harvin,SEA,1,17,1,17.0,0,1,100.0,17,0,0
V Jackson,TB,10,165,11,16.5,1,7,70.0,53,0,0
J Cotchery,CAR,3,48,5,16.0,1,2,66.7,20,0,0
M Colston,NO,5,80,8,16.0,0,4,80.0,26,0,0
J Bell,DET,3,48,4,16.0,0,2,66.7,37,0,0
E Dickson,BAL,1,16,3,16.0,0,1,100.0,16,0,0
G Salas,NYJ,2,32,2,16.0,0,1,50.0,25,0,0
K Martin,HOU,2,32,5,16.0,0,1,50.0,23,0,0
S Smith Sr.,BAL,4,62,6,15.5,0,3,75.0,42,0,0
D Clark,BAL,2,31,4,15.5,0,2,100.0,17,0,0
Z Ertz,PHI,2,31,3,15.5,0,2,100.0,16,0,0
J Boykin,GB,6,91,8,15.2,0,3,50.0,52,0,0
