Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
K Stills,NO,1,76,1,76.0,1,1,100.0,76,0,0
R Meachem,NO,1,41,1,41.0,1,1,100.0,41,0,0
T Williams,DAL,1,39,2,39.0,0,1,100.0,39,0,0
D Williams,CAR,2,75,2,37.5,0,1,50.0,56,1,1
K Winslow,NYJ,1,34,3,34.0,0,1,100.0,34,0,0
C Polk,PHI,1,34,1,34.0,0,1,100.0,34,0,0
D Williams,TEN,1,32,1,32.0,0,1,100.0,32,0,0
J Cumberland,NYJ,1,30,2,30.0,0,1,100.0,30,0,0
R Cobb,GB,2,55,2,27.5,2,2,100.0,48,0,0
R Woods,BUF,1,27,6,27.0,0,1,100.0,27,0,0
A Jeffery,CHI,3,80,8,26.7,0,1,33.3,67,1,1
H Nicks,IND,2,50,4,25.0,0,2,100.0,35,0,0
C Fleener,IND,1,25,4,25.0,0,1,100.0,25,0,0
A Roberts,WSH,3,74,6,24.7,1,3,100.0,34,0,0
A Hawkins,CLE,3,74,5,24.7,0,3,100.0,38,0,0
B Celek,PHI,3,71,5,23.7,1,3,100.0,35,0,0
M Lewis,JAX,3,70,6,23.3,0,3,100.0,36,0,0
A Jenkins,KC,3,67,7,22.3,0,2,66.7,48,0,0
L Green,SD,1,22,2,22.0,1,1,100.0,22,0,0
M Goodwin,BUF,1,22,1,22.0,0,1,100.0,22,0,0
T Graham,BUF,3,62,5,20.7,1,2,66.7,41,0,0
N Washington,TEN,2,39,6,19.5,0,2,100.0,32,0,0
B Hartline,MIA,2,38,5,19.0,0,2,100.0,25,0,0
F Whittaker,CLE,2,38,5,19.0,1,1,50.0,35,0,0
L Fitzgerald,ARZ,6,113,11,18.8,0,4,66.7,49,0,0
D Thomas,DEN,6,113,6,18.8,2,4,66.7,63,0,0
T Underwood,CAR,5,93,7,18.6,1,2,40.0,48,0,0
S Chandler,BUF,3,55,4,18.3,0,2,66.7,27,0,0
L Moore,PIT,4,73,5,18.3,1,4,100.0,44,0,0
J Dray,CLE,1,18,1,18.0,0,1,100.0,18,0,0
W Saunders,IND,1,18,2,18.0,0,1,100.0,18,0,0
L Thomas,JAX,1,18,2,18.0,0,1,100.0,18,0,0
K Allen,SD,5,89,8,17.8,0,2,40.0,38,0,0
F Jackson,BUF,3,53,6,17.7,0,2,66.7,37,0,0
G Escobar,DAL,1,17,1,17.0,1,1,100.0,17,0,0
Q Patton,SF,2,34,3,17.0,0,1,50.0,29,0,0
A Boldin,SF,9,149,11,16.6,1,6,66.7,63,0,0
R Griffin,HOU,3,49,7,16.3,0,3,100.0,18,0,0
G Tate,DET,8,129,9,16.1,1,6,75.0,47,0,0
J Nelson,GB,10,161,16,16.1,0,8,80.0,34,0,0
D Moore,OAK,4,63,7,15.8,0,3,75.0,24,0,0
R Housler,ARZ,5,78,6,15.6,0,3,60.0,30,0,0
A Quarless,GB,2,31,6,15.5,0,2,100.0,22,0,0
J Wright,MIN,2,31,3,15.5,0,2,100.0,19,0,0
C Patterson,MIN,2,31,5,15.5,1,2,100.0,23,0,0
A Green,CIN,4,61,10,15.3,1,1,25.0,53,0,0
M Floyd,ARZ,6,91,12,15.2,0,3,50.0,44,0,0
D Sproles,PHI,2,30,4,15.0,0,1,50.0,24,0,0
J Avant,CAR,3,45,5,15.0,0,2,66.7,22,0,0
V Davis,SF,3,45,5,15.0,1,3,100.0,26,0,0
