Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
B Roethlisberger,PIT,26,39,66.7,361,9.3,3,0,17,43.6,95,2,7,0,0,121.8
A Rodgers,GB,24,30,80.0,335,11.2,3,0,16,53.3,79,4,28,0,0,146.5
D Brees,NO,31,35,88.6,325,9.3,5,0,19,54.3,57,2,4,0,0,144.9
M Schaub,HOU,18,23,78.3,296,12.9,2,0,13,56.5,78,0,0,0,0,147.7
J Beck,WSH,22,37,59.5,279,7.5,1,1,14,37.8,32,3,18,1,1,80.8
K Kolb,ARZ,18,34,52.9,272,8.0,2,1,15,44.1,73,2,15,0,0,86.9
J Freeman,TB,29,51,56.9,264,5.2,2,4,13,25.5,24,1,14,0,0,51.4
C Newton,CAR,18,23,78.3,256,11.1,1,0,10,43.5,37,4,24,0,0,127.5
J Cutler,CHI,17,32,53.1,226,7.1,1,2,9,28.1,36,2,8,0,0,60.2
C Ponder,MIN,13,32,40.6,219,6.8,2,2,12,37.5,72,2,2,0,0,59.2
M Ryan,ATL,20,34,58.8,218,6.4,1,2,11,32.4,49,3,19,0,0,63.1
M Moore,MIA,22,33,66.7,197,6.0,1,0,9,27.3,29,4,24,1,1,92.6
A Feeley,STL,20,33,60.6,196,5.9,0,1,8,24.2,34,1,1,1,0,64.7
M Stafford,DET,15,32,46.9,183,5.7,1,0,8,25.0,57,3,24,0,0,75.4
P Rivers,SD,16,32,50.0,179,5.6,1,2,9,28.1,30,1,7,0,0,51.4
C McCoy,CLE,20,35,57.1,178,5.1,0,1,12,34.3,19,4,19,0,0,59.0
M Sanchez,NYJ,18,33,54.5,173,5.2,3,1,11,33.3,34,2,17,0,0,87.1
T Romo,DAL,14,24,58.3,166,6.9,2,0,10,41.7,34,2,15,0,0,107.3
M Cassel,KC,15,30,50.0,161,5.4,0,2,9,30.0,21,0,0,0,0,38.3
T Tebow,DEN,13,27,48.1,161,6.0,2,0,8,29.6,42,6,30,0,0,91.7
J Flacco,BAL,21,38,55.3,137,3.6,1,1,8,21.1,20,3,25,1,0,61.0
C Palmer,OAK,8,21,38.1,116,5.5,0,3,5,23.8,30,0,0,0,0,17.3
M Hasselbeck,TEN,14,30,46.7,104,3.5,1,2,6,20.0,17,1,12,0,0,38.8
C Whitehurst,SEA,12,30,40.0,97,3.2,0,1,5,16.7,38,4,28,2,1,35.0
B Gabbert,JAX,9,20,45.0,93,4.7,0,0,5,25.0,24,4,20,0,0,59.0
C Painter,IND,9,17,52.9,67,3.9,0,1,3,17.6,15,1,5,0,0,38.1
K Boller,OAK,7,14,50.0,61,4.4,0,3,3,21.4,21,1,10,0,0,22.3
D Orlovsky,IND,3,5,60.0,35,7.0,0,0,2,40.0,19,0,0,0,0,81.3
J Locker,TEN,1,1,100.0,12,12.0,0,0,0,0.0,12,1,9,0,0,116.7
C Redman,ATL,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
M Spurlock,TB,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
