Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
E Manning,NYG,27,47,57.4,400,8.5,2,1,17,36.2,64,0,0,0,0,90.7
T Brady,NE,22,37,59.5,357,9.6,3,1,14,37.8,50,1,5,0,0,107.6
D Brees,NO,36,47,76.6,337,7.2,2,0,14,29.8,35,2,14,0,0,110.0
T Romo,DAL,21,31,67.7,321,10.4,4,0,12,38.7,74,3,16,0,0,141.3
M Ryan,ATL,22,38,57.9,320,8.4,4,0,14,36.8,75,3,12,1,0,120.5
T Yates,HOU,26,44,59.1,300,6.8,2,1,17,38.6,27,5,32,1,1,85.4
J Skelton,ARZ,19,28,67.9,282,10.1,3,2,10,35.7,60,1,5,0,0,106.5
J Locker,TEN,13,29,44.8,282,9.7,1,0,8,27.6,54,2,12,0,0,91.5
A Rodgers,GB,17,30,56.7,281,9.4,2,1,13,43.3,37,3,20,0,0,96.7
B Roethlisberger,PIT,16,21,76.2,280,13.3,2,1,11,52.4,79,1,5,0,0,129.6
C Newton,CAR,19,39,48.7,276,7.1,2,2,13,33.3,48,2,17,0,0,67.9
R Grossman,WSH,19,32,59.4,252,7.9,2,1,12,37.5,51,2,8,1,1,92.2
C Palmer,OAK,24,42,57.1,247,5.9,1,4,14,33.3,34,1,7,0,0,42.6
P Rivers,SD,24,33,72.7,240,7.3,3,0,15,45.5,26,2,24,1,1,123.3
T Tebow,DEN,21,40,52.5,236,5.9,1,1,13,32.5,23,5,15,1,1,68.3
J Flacco,BAL,23,31,74.2,227,7.3,2,1,13,41.9,26,2,15,0,0,102.5
M Stafford,DET,20,29,69.0,227,7.8,2,0,11,37.9,57,5,19,0,0,115.2
T Jackson,SEA,21,32,65.6,224,7.0,1,0,13,40.6,29,2,10,0,0,96.4
B Gabbert,JAX,19,33,57.6,217,6.6,2,2,10,30.3,62,1,8,1,0,72.4
C McCoy,CLE,18,35,51.4,209,6.0,0,2,11,31.4,33,3,16,1,0,46.0
M Vick,PHI,15,30,50.0,208,6.9,1,1,10,33.3,34,4,20,0,0,69.9
T Palko,KC,16,32,50.0,195,6.1,1,1,10,31.3,24,5,39,0,0,66.5
S Bradford,STL,12,29,41.4,193,6.7,0,1,7,24.1,50,3,26,0,0,49.9
A Dalton,CIN,16,28,57.1,189,6.8,1,0,8,28.6,36,1,5,1,1,89.7
M Sanchez,NYJ,13,21,61.9,181,8.6,2,0,10,47.6,36,3,26,1,1,121.3
J Freeman,TB,16,30,53.3,181,6.0,0,2,7,23.3,28,3,14,2,1,43.9
R Fitzpatrick,BUF,13,34,38.2,176,5.2,0,2,8,23.5,53,1,10,0,0,31.0
A Smith,SF,18,37,48.6,175,4.7,0,0,8,21.6,32,5,32,0,0,62.3
D Orlovsky,IND,17,37,45.9,136,3.7,1,1,9,24.3,13,4,19,3,0,53.4
C Hanie,CHI,12,19,63.2,115,6.1,0,0,5,26.3,19,4,29,0,0,79.9
C Ponder,MIN,11,21,52.4,115,5.5,2,3,8,38.1,28,3,28,2,1,60.7
M Moore,MIA,11,19,57.9,95,5.0,1,1,3,15.8,21,4,22,1,1,66.8
J Webb,MIN,12,23,52.2,84,3.7,1,0,4,17.4,17,1,15,1,1,75.3
J Losman,MIA,6,10,60.0,60,6.0,0,0,3,30.0,25,5,38,0,0,77.1
B Banks,WSH,1,1,100.0,49,49.0,1,0,1,100.0,49,0,0,0,0,158.3
M Hasselbeck,TEN,5,7,71.4,44,6.3,0,0,2,28.6,14,0,0,0,0,87.8
T Thigpen,BUF,2,3,66.7,19,6.3,0,1,2,66.7,13,0,0,0,0,44.4
S Wallace,CLE,1,1,100.0,13,13.0,0,0,1,100.0,13,0,0,0,0,118.8
J Johnson,TB,1,2,50.0,3,1.5,0,1,0,0.0,3,0,0,0,0,16.7
K Kolb,ARZ,1,1,100.0,2,2.0,0,0,0,0.0,2,1,9,1,0,79.2
C Batch,PIT,0,2,0.0,0,0.0,0,0,0,0.0,0,1,6,0,0,39.6
S Lechler,OAK,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
M Lynch,SEA,0,2,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
M Flynn,GB,0,2,0.0,0,0.0,0,0,0,0.0,0,1,6,0,0,39.6
