Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
D Brees,NO,29,45,64.4,383,8.5,1,3,14,31.1,43,0,0,0,0,70.9
S Bradford,STL,29,45,64.4,328,7.3,0,1,14,31.1,45,3,22,0,0,76.9
T Romo,DAL,27,41,65.9,317,7.7,1,1,15,36.6,33,2,17,0,0,87.1
A Rodgers,GB,18,29,62.1,316,10.9,3,1,12,41.4,93,1,7,0,0,119.3
J Flacco,BAL,20,33,60.6,305,9.2,0,1,15,45.5,56,2,16,1,1,78.5
J Freeman,TB,23,41,56.1,303,7.4,2,0,12,29.3,65,0,0,0,0,95.9
M Stafford,DET,28,50,56.0,293,5.9,2,0,14,28.0,41,5,49,1,0,86.5
E Manning,NYG,21,32,65.6,292,9.1,0,0,12,37.5,60,0,0,0,0,94.8
T Brady,NE,27,41,65.9,289,7.0,2,2,16,39.0,45,3,19,0,0,82.3
J Cutler,CHI,21,31,67.7,267,8.6,2,0,11,35.5,48,1,9,1,1,115.9
A Dalton,CIN,25,32,78.1,264,8.3,1,0,12,37.5,32,0,0,0,0,111.5
R Fitzpatrick,BUF,21,30,70.0,244,8.1,2,2,10,33.3,60,3,25,1,0,88.7
M Vick,PHI,18,31,58.1,237,7.6,1,1,9,29.0,59,2,7,0,0,79.6
C Newton,CAR,21,35,60.0,237,6.8,0,3,12,34.3,29,1,8,0,0,44.6
M Schaub,HOU,21,37,56.8,220,5.9,1,0,11,29.7,32,4,20,1,0,83.2
C McCoy,CLE,21,45,46.7,215,4.8,2,0,16,35.6,23,2,12,0,0,75.7
M Moore,MIA,16,34,47.1,204,6.0,0,2,11,32.4,46,4,14,2,0,41.8
M Sanchez,NYJ,14,25,56.0,201,8.0,1,0,7,28.0,38,1,7,0,0,95.6
B Roethlisberger,PIT,12,23,52.2,200,8.7,1,0,8,34.8,48,3,15,1,0,96.3
C Painter,IND,23,34,67.6,188,5.5,1,1,10,29.4,22,1,9,0,0,79.0
D McNabb,MIN,19,24,79.2,177,7.4,0,0,8,33.3,30,5,43,0,0,97.4
M Ryan,ATL,14,22,63.6,163,7.4,1,0,8,36.4,34,1,4,0,0,101.1
R Grossman,WSH,9,22,40.9,143,6.5,0,4,6,27.3,45,1,8,0,0,23.7
A Smith,SF,17,32,53.1,125,3.9,1,1,6,18.8,27,2,14,1,1,60.0
J Beck,WSH,8,15,53.3,117,7.8,0,0,6,40.0,32,1,7,1,0,79.0
B Gabbert,JAX,12,26,46.2,109,4.2,1,0,7,26.9,21,5,33,0,0,70.8
K Boller,OAK,8,14,57.1,100,7.1,0,0,4,28.6,27,2,9,1,0,79.5
C Ponder,MIN,9,17,52.9,99,5.8,0,0,4,23.5,23,0,0,0,0,70.5
J Campbell,OAK,6,9,66.7,52,5.8,0,0,3,33.3,21,0,0,0,0,81.7
S Lechler,OAK,1,1,100.0,35,35.0,1,0,1,100.0,35,0,0,0,0,158.3
L Tomlinson,NYJ,0,0,-,0,-,0,0,0,-,0,1,2,0,0,-
V Young,PHI,0,1,0.0,0,0.0,0,1,0,0.0,0,0,0,0,0,0.0
J Webb,MIN,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
