Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
E Manning,NYG,24,39,61.5,420,10.8,3,3,16,41.0,68,3,25,1,1,91.8
M Schaub,HOU,24,51,47.1,416,8.2,2,2,16,31.4,60,3,13,0,0,72.0
A Rodgers,GB,26,39,66.7,396,10.2,2,0,14,35.9,70,4,27,0,0,117.0
D Brees,NO,32,45,71.1,359,8.0,2,1,20,44.4,30,2,16,0,0,100.1
T Brady,NE,24,33,72.7,321,9.7,1,1,15,45.5,73,4,27,0,0,100.7
M Vick,PHI,26,40,65.0,315,7.9,2,4,16,40.0,35,0,0,0,0,66.1
C Painter,IND,15,27,55.6,277,10.3,2,0,12,44.4,67,0,0,0,0,115.8
M Hasselbeck,TEN,29,49,59.2,262,5.3,1,1,11,22.4,25,3,22,1,0,72.0
M Cassel,KC,21,29,72.4,257,8.9,4,0,14,48.3,41,2,15,0,0,138.9
P Rivers,SD,18,29,62.1,250,8.6,1,1,11,37.9,42,5,38,2,1,86.9
J Cutler,CHI,28,38,73.7,249,6.6,1,0,14,36.8,28,3,12,0,0,99.6
K Kolb,ARZ,21,42,50.0,232,5.5,0,2,13,31.0,22,4,40,1,1,46.9
B Roethlisberger,PIT,24,34,70.6,228,6.7,5,1,14,41.2,40,1,4,0,0,116.2
C Newton,CAR,16,31,51.6,224,7.2,2,1,7,22.6,54,1,5,1,0,83.3
B Gabbert,JAX,15,28,53.6,221,7.9,1,0,7,25.0,74,3,21,0,0,91.5
M Stafford,DET,19,26,73.1,219,8.4,2,1,9,34.6,73,1,5,0,0,107.7
R Fitzpatrick,BUF,21,27,77.8,193,7.1,1,1,10,37.0,49,1,5,0,0,93.4
J Campbell,OAK,15,35,42.9,190,5.4,2,1,6,17.1,34,3,6,0,0,67.6
J Freeman,TB,17,33,51.5,187,5.7,0,2,10,30.3,33,2,6,0,0,43.4
A Dalton,CIN,21,33,63.6,179,5.4,2,1,11,33.3,37,2,17,0,0,85.3
A Smith,SF,11,19,57.9,170,8.9,3,0,9,47.4,26,0,0,0,0,127.2
D McNabb,MIN,10,21,47.6,169,8.0,0,0,7,33.3,60,1,9,0,0,75.3
M Ryan,ATL,18,32,56.3,167,5.2,1,2,11,34.4,23,1,11,0,0,55.1
T Jackson,SEA,15,22,68.2,166,7.5,1,1,7,31.8,25,4,24,0,0,86.6
M Sanchez,NYJ,16,26,61.5,166,6.4,2,0,9,34.6,22,2,8,0,0,105.6
C Whitehurst,SEA,11,19,57.9,149,7.8,1,0,7,36.8,27,2,12,0,0,100.5
T Tebow,DEN,4,10,40.0,79,7.9,1,0,3,30.0,31,0,0,0,0,101.7
C Kaepernick,SF,3,3,100.0,35,11.7,0,0,2,66.7,19,0,0,0,0,115.3
K Orton,KC,6,13,46.2,34,2.6,0,1,2,15.4,10,0,0,0,0,21.0
D Sepulveda,PIT,1,1,100.0,33,33.0,0,0,1,100.0,33,0,0,0,0,118.8
R Bartel,ARZ,2,6,33.3,22,3.7,0,1,2,33.3,12,0,0,0,0,5.6
J Johnson,TB,1,2,50.0,7,3.5,0,0,1,50.0,7,1,2,0,0,58.3
