Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
M Ryan,ATL,34,52,65.4,373,7.2,1,0,17,32.7,40,0,0,0,0,92.9
M Stafford,DET,29,36,80.6,373,10.4,3,0,19,52.8,46,3,20,0,0,137.6
M Hasselbeck,TEN,24,40,60.0,350,8.8,1,2,14,35.0,55,1,8,0,0,76.0
D Brees,NO,23,39,59.0,307,7.9,4,2,17,43.6,41,1,8,0,0,96.8
T Brady,NE,27,46,58.7,304,6.6,1,0,16,34.8,42,4,23,0,0,85.8
K Orton,KC,21,36,58.3,300,8.3,1,2,14,38.9,49,0,0,0,0,71.5
P Rivers,SD,28,53,52.8,299,5.6,1,2,14,26.4,30,0,0,0,0,60.2
J Skelton,ARZ,23,44,52.3,297,6.8,2,3,12,27.3,39,5,40,0,0,60.5
M Vick,PHI,18,32,56.3,293,9.2,2,0,13,40.6,39,2,12,0,0,107.9
R Grossman,WSH,26,41,63.4,284,6.9,2,1,16,39.0,29,3,28,1,1,89.9
A Rodgers,GB,21,29,72.4,283,9.8,5,0,15,51.7,55,0,0,0,0,142.7
M Moore,MIA,16,32,50.0,281,8.8,3,1,13,40.6,47,5,28,1,0,98.6
J Freeman,TB,28,38,73.7,274,7.2,1,1,13,34.2,29,3,16,0,0,91.3
M Sanchez,NYJ,30,59,50.8,258,4.4,1,2,12,20.3,15,5,32,0,0,54.2
D Orlovsky,IND,23,41,56.1,244,6.0,1,0,16,39.0,34,3,19,1,1,81.8
J McCown,CHI,19,28,67.9,242,8.6,1,2,13,46.4,49,0,0,0,0,76.8
C Palmer,OAK,16,26,61.5,237,9.1,1,2,10,38.5,61,0,0,0,0,72.1
E Manning,NYG,9,27,33.3,225,8.3,1,1,5,18.5,99,2,8,0,0,61.5
C Batch,PIT,15,22,68.2,208,9.5,0,1,9,40.9,46,0,0,0,0,79.4
B Gabbert,JAX,21,42,50.0,198,4.7,0,1,12,28.6,22,1,11,0,0,53.5
R Fitzpatrick,BUF,15,27,55.6,196,7.3,0,0,6,22.2,55,1,5,0,0,78.6
T Tebow,DEN,13,29,44.8,185,6.4,1,3,8,27.6,47,4,33,2,1,37.9
S McGee,DAL,24,38,63.2,182,4.8,1,0,11,28.9,19,3,25,0,0,83.4
A Smith,SF,14,26,53.8,179,6.9,0,0,8,30.8,41,2,8,0,0,75.6
C Newton,CAR,12,17,70.6,171,10.1,3,0,6,35.3,91,1,8,0,0,142.4
T Jackson,SEA,15,28,53.6,163,5.8,1,0,7,25.0,44,4,22,1,1,82.9
A Dalton,CIN,18,31,58.1,154,5.0,2,0,8,25.8,19,2,18,0,0,92.7
S Wallace,CLE,19,33,57.6,147,4.5,1,1,10,30.3,23,2,8,0,0,66.1
J Flacco,BAL,11,24,45.8,132,5.5,2,1,6,25.0,42,1,10,0,0,73.6
T Yates,HOU,13,16,81.3,132,8.3,0,0,6,37.5,29,4,20,1,1,101.0
K Clemens,STL,9,24,37.5,91,3.8,0,0,4,16.7,17,3,23,0,0,49.1
J Webb,MIN,4,5,80.0,84,16.8,2,0,4,80.0,36,1,3,0,0,158.3
C Ponder,MIN,8,13,61.5,68,5.2,0,0,4,30.8,14,1,1,0,0,75.2
C Redman,ATL,6,9,66.7,61,6.8,0,0,4,44.4,18,0,0,0,0,85.9
T Romo,DAL,0,2,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
M Flynn,GB,0,0,-,0,-,0,0,0,-,0,1,1,0,0,-
