Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
M Ryan,ATL,29,52,55.8,351,6.8,2,1,17,32.7,46,1,8,0,0,81.5
T Brady,NE,26,39,66.7,329,8.4,3,0,17,43.6,53,0,0,0,0,118.4
M Stafford,DET,33,63,52.4,329,5.2,1,4,17,27.0,40,2,16,0,0,46.3
D Brees,NO,30,43,69.8,322,7.5,2,0,16,37.2,36,0,0,0,0,106.9
J Skelton,ARZ,21,40,52.5,315,7.9,3,2,15,37.5,42,4,33,0,0,82.8
E Manning,NYG,26,40,65.0,311,7.8,2,2,16,40.0,36,1,9,0,0,84.5
M Sanchez,NYJ,20,39,51.3,306,7.8,1,2,13,33.3,38,5,38,0,0,64.7
C Palmer,OAK,14,20,70.0,299,15.0,2,1,11,55.0,55,1,1,1,1,125.0
P Rivers,SD,23,47,48.9,274,5.8,2,1,13,27.7,30,6,35,1,1,72.5
T Romo,DAL,23,26,88.5,270,10.4,3,0,15,57.7,58,0,0,0,0,148.4
J Flacco,BAL,29,52,55.8,255,4.9,1,1,13,25.0,19,1,8,0,0,67.4
A Rodgers,GB,23,30,76.7,250,8.3,4,0,13,43.3,25,3,22,1,0,140.3
B Roethlisberger,PIT,21,33,63.6,245,7.4,1,1,18,54.5,26,5,22,0,0,83.5
M Schaub,HOU,11,15,73.3,242,16.1,2,0,9,60.0,80,1,7,0,0,154.9
A Smith,SF,19,30,63.3,242,8.1,1,1,11,36.7,31,2,14,0,0,85.7
M Hasselbeck,TEN,15,27,55.6,219,8.1,1,1,9,33.3,43,1,8,0,0,79.1
C McCoy,CLE,20,27,74.1,218,8.1,0,0,9,33.3,52,2,9,0,0,97.5
T Jackson,SEA,17,27,63.0,217,8.0,0,0,9,33.3,50,1,9,0,0,88.0
R Grossman,WSH,21,32,65.6,215,6.7,0,2,11,34.4,22,3,30,0,0,58.7
C Newton,CAR,23,40,57.5,212,5.3,0,1,9,22.5,19,5,46,0,0,61.7
M Moore,MIA,20,29,69.0,209,7.2,0,1,13,44.8,28,2,9,2,1,75.2
C Ponder,MIN,16,34,47.1,190,5.6,0,1,8,23.5,33,3,28,1,0,52.3
J Freeman,TB,15,33,45.5,170,5.2,1,3,6,18.2,33,4,29,0,0,33.6
A Dalton,CIN,15,30,50.0,170,5.7,2,2,7,23.3,36,0,0,0,0,61.8
S Bradford,STL,15,25,60.0,155,6.2,1,1,8,32.0,24,1,7,0,0,74.6
R Fitzpatrick,BUF,20,31,64.5,146,4.7,1,3,7,22.6,21,1,10,0,0,46.6
M Vick,PHI,16,34,47.1,128,3.8,0,2,4,11.8,20,2,5,0,0,32.5
J Cutler,CHI,9,19,47.4,123,6.5,0,0,5,26.3,30,2,16,1,0,68.5
B Gabbert,JAX,14,21,66.7,118,5.6,1,1,8,38.1,19,2,8,0,0,77.1
C Painter,IND,13,19,68.4,94,4.9,0,2,5,26.3,29,3,24,0,0,40.1
M Cassel,KC,13,28,46.4,93,3.3,1,0,5,17.9,15,4,16,1,0,66.5
T Tebow,DEN,2,8,25.0,69,8.6,1,0,2,25.0,56,0,0,0,0,102.6
D Orlovsky,IND,7,10,70.0,67,6.7,0,0,3,30.0,13,2,9,1,1,88.3
T Palko,KC,5,6,83.3,47,7.8,0,0,3,50.0,17,0,0,0,0,99.3
M Flynn,GB,2,2,100.0,38,19.0,0,0,2,100.0,31,0,0,0,0,118.8
R Rice,BAL,1,1,100.0,1,1.0,1,0,1,100.0,1,0,0,0,0,118.8
S Lechler,OAK,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
M Forte,CHI,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
J Johnson,TB,0,2,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
