Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
J Flacco,BAL,27,48,56.3,389,8.1,3,0,17,35.4,74,2,4,1,1,103.6
T Brady,NE,30,45,66.7,387,8.6,4,4,21,46.7,33,0,0,0,0,86.1
M Stafford,DET,32,46,69.6,378,8.2,2,0,16,34.8,60,5,40,1,0,108.8
M Schaub,HOU,22,39,56.4,373,9.6,3,1,17,43.6,62,2,9,0,0,103.9
D Brees,NO,31,44,70.5,370,8.4,3,2,20,45.5,44,2,16,0,0,99.6
R Fitzpatrick,BUF,27,40,67.5,369,9.2,2,2,16,40.0,48,0,0,0,0,92.6
M Sanchez,NYJ,27,44,61.4,369,8.4,2,1,15,34.1,74,4,30,0,0,93.8
B Roethlisberger,PIT,25,37,67.6,364,9.8,1,1,14,37.8,81,3,23,2,2,97.1
M Ryan,ATL,26,47,55.3,330,7.0,1,1,18,38.3,49,4,35,2,2,75.7
M Hasselbeck,TEN,27,36,75.0,311,8.6,2,0,14,38.9,58,2,16,1,1,119.1
J Cutler,CHI,21,37,56.8,302,8.2,2,2,11,29.7,40,3,24,0,0,78.9
A Rodgers,GB,28,38,73.7,297,7.8,3,1,17,44.7,25,2,5,1,0,111.4
P Rivers,SD,24,38,63.2,266,7.0,0,2,17,44.7,26,2,8,1,0,62.0
T Romo,DAL,22,36,61.1,255,7.1,0,1,12,33.3,30,1,5,1,0,70.9
C Henne,MIA,19,29,65.5,255,8.8,1,1,10,34.5,38,5,24,0,0,90.4
E Manning,NYG,16,23,69.6,254,11.0,4,0,6,26.1,74,3,22,0,0,145.7
K Kolb,ARZ,25,39,64.1,252,6.5,1,2,13,33.3,28,3,18,1,0,69.6
R Grossman,WSH,22,37,59.5,250,6.8,1,1,16,43.2,36,3,17,1,1,77.5
D McNabb,MIN,22,36,61.1,211,5.9,1,0,10,27.8,24,4,22,1,0,86.7
C McCoy,CLE,19,39,48.7,210,5.4,2,1,13,33.3,33,0,0,0,0,71.5
A Smith,SF,20,30,66.7,201,6.7,0,0,9,30.0,39,5,25,0,0,85.6
J Freeman,TB,22,32,68.8,180,5.6,0,2,10,31.3,24,0,0,0,0,56.8
M Vick,PHI,16,23,69.6,176,7.7,0,1,9,39.1,24,1,6,0,0,73.8
M Cassel,KC,17,24,70.8,176,7.3,2,1,9,37.5,43,1,5,1,0,102.1
K Orton,KC,24,39,61.5,173,4.4,2,2,14,35.9,32,1,1,0,0,67.6
T Jackson,SEA,18,31,58.1,171,5.5,0,1,8,25.8,32,4,32,0,0,60.0
S Bradford,STL,16,32,50.0,166,5.2,1,1,12,37.5,34,5,34,1,1,62.8
C Newton,CAR,18,34,52.9,158,4.6,1,0,10,29.4,18,0,0,0,0,75.4
A Dalton,CIN,17,32,53.1,157,4.9,0,2,9,28.1,22,1,8,0,0,40.8
J Campbell,OAK,18,27,66.7,156,5.8,0,0,8,29.6,28,1,7,0,0,81.7
B Gabbert,JAX,12,21,57.1,139,6.6,1,1,4,19.0,36,2,10,0,0,73.3
K Collins,IND,13,29,44.8,93,3.2,0,0,7,24.1,29,0,0,0,0,52.8
C Painter,IND,5,11,45.5,60,5.5,0,0,3,27.3,27,1,9,1,1,62.7
M Kafka,PHI,4,7,57.1,35,5.0,0,2,2,28.6,19,1,6,0,0,31.0
