Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
D Brees,NO,32,40,80.0,412,10.3,5,0,23,57.5,47,0,0,0,0,149.2
M Stafford,DET,29,52,55.8,391,7.5,4,0,18,34.6,51,2,16,1,1,105.5
C Palmer,OAK,32,40,80.0,367,9.2,1,0,15,37.5,43,3,22,0,0,113.2
B Roethlisberger,PIT,25,44,56.8,330,7.5,0,3,15,34.1,39,3,25,1,1,52.3
T Brady,NE,23,34,67.6,320,9.4,2,0,15,44.1,46,2,10,0,0,117.3
R Fitzpatrick,BUF,31,47,66.0,316,6.7,2,3,14,29.8,28,3,25,0,0,72.7
J Skelton,ARZ,28,46,60.9,313,6.8,1,1,16,34.8,32,4,24,0,0,79.3
K Orton,KC,23,31,74.2,299,9.6,0,0,18,58.1,39,0,0,0,0,104.1
M Vick,PHI,15,22,68.2,274,12.5,1,1,10,45.5,73,0,0,0,0,107.0
P Rivers,SD,17,23,73.9,270,11.7,1,0,14,60.9,58,0,0,0,0,127.1
E Manning,NYG,23,40,57.5,257,6.4,0,3,15,37.5,34,3,24,0,0,45.5
T Romo,DAL,23,30,76.7,249,8.3,3,0,16,53.3,28,2,10,1,1,133.9
A Rodgers,GB,17,35,48.6,235,6.7,1,0,10,28.6,41,4,22,1,0,80.1
K Clemens,STL,25,36,69.4,229,6.4,1,0,13,36.1,25,3,19,1,0,95.7
T Jackson,SEA,19,31,61.3,227,7.3,1,0,11,35.5,43,1,1,1,1,94.4
S Wallace,CLE,18,31,58.1,226,7.3,1,0,7,22.6,76,2,13,1,1,91.6
J Flacco,BAL,23,34,67.6,226,6.6,2,2,11,32.4,36,5,40,0,0,81.3
M Ryan,ATL,19,26,73.1,224,8.6,3,0,11,42.3,29,1,4,0,0,137.3
M Hasselbeck,TEN,27,40,67.5,223,5.6,0,2,10,25.0,27,0,0,0,0,60.7
M Moore,MIA,10,20,50.0,217,10.9,2,0,6,30.0,65,2,23,1,1,122.3
T Yates,HOU,19,30,63.3,212,7.1,0,2,11,36.7,25,2,4,0,0,56.5
T Tebow,DEN,11,22,50.0,194,8.8,0,0,9,40.9,39,4,53,0,0,80.5
A Smith,SF,18,31,58.1,187,6.0,1,0,9,29.0,31,0,0,0,0,86.4
R Grossman,WSH,15,24,62.5,185,7.7,1,2,9,37.5,20,1,8,0,0,65.5
A Dalton,CIN,15,26,57.7,179,6.9,0,1,7,26.9,55,1,6,0,0,62.8
M Sanchez,NYJ,15,26,57.7,150,5.8,2,2,7,26.9,41,4,30,0,0,67.8
C Newton,CAR,13,23,56.5,149,6.5,2,0,7,30.4,26,2,10,0,0,105.2
J Freeman,TB,17,27,63.0,148,5.5,1,0,6,22.2,17,3,16,0,0,89.7
B Gabbert,JAX,12,22,54.5,141,6.4,1,1,8,36.4,22,5,50,2,2,70.5
C Ponder,MIN,14,31,45.2,120,3.9,2,1,7,22.6,16,4,18,0,0,63.9
C Hanie,CHI,10,23,43.5,111,4.8,1,3,6,26.1,25,4,34,0,0,33.3
J Locker,TEN,11,16,68.8,108,6.8,1,0,8,50.0,15,1,9,0,0,108.3
D Orlovsky,IND,11,17,64.7,82,4.8,1,0,2,11.8,18,0,0,0,0,95.7
C Redman,ATL,5,6,83.3,56,9.3,0,0,2,33.3,22,0,0,0,0,105.6
M Brunell,NYJ,1,3,33.3,27,9.0,0,0,1,33.3,27,0,0,0,0,67.4
T Taylor,BAL,1,1,100.0,18,18.0,0,0,1,100.0,18,2,3,0,0,118.8
J McCown,CHI,1,2,50.0,12,6.0,0,1,0,0.0,12,0,0,0,0,29.2
A Edwards,CAR,1,1,100.0,11,11.0,0,0,1,100.0,11,0,0,0,0,112.5
V Young,PHI,0,0,-,0,-,0,0,0,-,0,3,14,1,0,-
D Thomas,DEN,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
J Webb,MIN,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
C Daniel,NO,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
