Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
A Dalton,CIN,24,45,53.3,373,8.3,1,3,13,28.9,49,2,9,0,0,60.7
J Freeman,TB,28,38,73.7,342,9.0,2,2,17,44.7,37,2,8,0,0,96.6
M Stafford,DET,28,36,77.8,335,9.3,5,2,17,47.2,30,2,9,0,0,121.9
M Ryan,ATL,22,32,68.8,316,9.9,1,0,13,40.6,43,0,0,0,0,110.9
A Rodgers,GB,23,34,67.6,299,8.8,3,1,15,44.1,40,2,12,0,0,112.3
R Grossman,WSH,25,38,65.8,292,7.7,2,1,13,34.2,28,3,13,1,0,95.5
T Romo,DAL,23,37,62.2,292,7.9,3,0,13,35.1,59,4,28,0,0,113.8
J Cutler,CHI,18,31,58.1,286,9.2,2,1,15,48.4,42,0,0,0,0,97.0
P Rivers,SD,21,31,67.7,280,9.0,2,2,13,41.9,47,0,0,0,0,90.8
C Newton,CAR,22,38,57.9,280,7.4,1,4,12,31.6,32,1,8,0,0,50.2
J Flacco,BAL,17,27,63.0,270,10.0,2,1,9,33.3,49,1,2,0,0,105.5
A Smith,SF,20,38,52.6,267,7.0,2,1,14,36.8,38,0,0,0,0,81.8
E Manning,NYG,18,35,51.4,264,7.5,1,1,9,25.7,47,3,15,1,1,74.0
V Young,PHI,23,36,63.9,258,7.2,2,3,12,33.3,32,1,3,0,0,69.0
M Sanchez,NYJ,24,40,60.0,252,6.3,0,1,13,32.5,30,3,17,0,0,67.9
T Brady,NE,15,27,55.6,234,8.7,2,0,11,40.7,52,3,11,1,1,109.2
T Palko,KC,24,37,64.9,230,6.2,0,3,11,29.7,28,3,21,0,0,48.3
C Ponder,MIN,19,33,57.6,211,6.4,2,3,9,27.3,42,5,24,1,0,59.0
B Gabbert,JAX,22,41,53.7,210,5.1,0,0,9,22.0,28,1,15,1,0,68.1
R Fitzpatrick,BUF,20,39,51.3,209,5.4,0,2,10,25.6,31,2,11,1,0,45.8
C McCoy,CLE,17,24,70.8,199,8.3,1,1,10,41.7,51,2,13,0,0,92.2
S Bradford,STL,20,40,50.0,181,4.5,1,1,10,25.0,30,5,38,2,2,60.5
C Palmer,OAK,17,23,73.9,164,7.1,1,0,10,43.5,21,4,25,0,0,107.9
M Moore,MIA,14,20,70.0,160,8.0,3,0,8,40.0,46,1,13,0,0,133.3
T Jackson,SEA,14,24,58.3,148,6.2,1,2,7,29.2,35,4,40,0,0,55.6
J Locker,TEN,9,19,47.4,140,7.4,2,0,6,31.6,40,1,7,0,0,107.3
M Hasselbeck,TEN,13,25,52.0,124,5.0,0,1,7,28.0,20,0,0,0,0,49.4
T Tebow,DEN,9,20,45.0,104,5.2,0,0,4,20.0,28,1,0,0,0,61.3
J Skelton,ARZ,6,19,31.6,99,5.2,0,3,4,21.1,45,1,8,1,0,10.5
R Bartel,ARZ,8,16,50.0,64,4.0,1,0,3,18.8,23,1,6,0,0,81.3
S Rice,SEA,1,1,100.0,55,55.0,0,0,1,100.0,55,0,0,0,0,118.8
T Thigpen,BUF,1,5,20.0,6,1.2,0,0,0,0.0,6,0,0,0,0,39.6
A Podlesh,CHI,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
B Scott,CIN,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
E Decker,DEN,0,1,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,39.6
