Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
T Benjamin,CLE,1,69,1,69.0,1,1,100.0,69,0,0
M Hoomanawanui,NE,1,41,1,41.0,0,1,100.0,41,0,0
J Morgan,NO,2,61,3,30.5,1,2,100.0,34,0,0
L Hankerson,WSH,2,56,3,28.0,2,2,100.0,54,0,0
H Douglas,ATL,3,83,3,27.7,0,3,100.0,37,0,0
T Hilton,IND,3,78,6,26.0,1,2,66.7,61,0,0
D Williams,CAR,2,51,2,25.5,1,1,50.0,45,0,0
C Owusu,TB,1,24,2,24.0,0,1,100.0,24,0,0
M Wallace,PIT,4,95,10,23.8,0,3,75.0,60,0,0
J Hanna,DAL,2,45,2,22.5,0,2,100.0,29,0,0
C Givens,STL,1,22,4,22.0,0,1,100.0,22,0,0
G Tate,SEA,3,64,4,21.3,0,1,33.3,44,0,0
C Fleener,IND,1,21,1,21.0,0,1,100.0,21,0,0
C Harkey,STL,1,21,1,21.0,0,1,100.0,21,0,0
M Colston,NO,3,60,3,20.0,0,2,66.7,26,0,0
M Robinson,SEA,1,20,2,20.0,0,1,100.0,20,0,0
G Barnidge,CAR,1,20,1,20.0,0,1,100.0,20,0,0
M Floyd,SD,2,39,2,19.5,0,2,100.0,30,0,0
R Cobb,GB,6,115,8,19.2,0,5,83.3,31,0,0
B Lloyd,NE,10,190,16,19.0,0,8,80.0,53,0,0
S Rice,SEA,4,76,5,19.0,0,3,75.0,41,0,0
J Maclin,PHI,4,73,9,18.3,0,2,50.0,46,1,1
R Moss,SF,2,36,4,18.0,1,2,100.0,24,0,0
J Dreessen,DEN,2,36,3,18.0,0,1,50.0,28,0,0
D Pitta,BAL,7,125,10,17.9,2,3,42.9,61,0,0
F Gore,SF,2,34,2,17.0,0,1,50.0,26,0,0
D Walker,SF,2,34,2,17.0,1,1,50.0,34,1,1
J Jones,BAL,3,51,4,17.0,0,1,33.3,43,0,0
W Johnson,PIT,2,34,2,17.0,0,2,100.0,21,0,0
C Shorts,JAX,6,101,11,16.8,0,5,83.3,30,0,0
E Decker,DEN,8,133,11,16.6,1,6,75.0,51,0,0
M Moore,MIA,2,33,2,16.5,0,2,100.0,20,0,0
D Hixon,NYG,5,80,6,16.0,0,2,40.0,37,0,0
D Ware,TB,2,32,4,16.0,0,1,50.0,23,0,0
M Williams,TB,4,63,7,15.8,0,3,75.0,24,0,0
B Edwards,NYJ,3,47,5,15.7,0,3,100.0,17,0,0
N Washington,TEN,4,62,6,15.5,0,3,75.0,30,0,0
J Blackmon,JAX,6,93,11,15.5,0,4,66.7,38,0,0
M Preston,TEN,2,31,3,15.5,0,1,50.0,21,0,0
B Hartline,MIA,5,77,6,15.4,0,3,60.0,37,0,0
T Underwood,TB,3,46,6,15.3,0,3,100.0,19,0,0
D Posey,HOU,3,46,3,15.3,0,1,33.3,36,0,0
M Crabtree,SF,7,107,12,15.3,2,6,85.7,38,0,0
L Vickers,DAL,1,15,2,15.0,0,1,100.0,15,0,0
M Bennett,NYG,1,15,2,15.0,0,1,100.0,15,0,0
J Morgan,WSH,4,60,4,15.0,0,3,75.0,32,0,0
A Allen,CHI,1,15,1,15.0,0,0,0.0,15,0,0
E Royster,WSH,2,30,4,15.0,0,1,50.0,25,0,0
M Thigpen,MIA,1,15,2,15.0,0,1,100.0,15,0,0
G Little,CLE,5,74,9,14.8,0,3,60.0,30,0,0
