Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
B Quick,STL,1,36,1,36.0,1,1,100.0,36,0,0
T Smith,BAL,2,67,6,33.5,2,2,100.0,47,0,0
M Williams,TB,2,64,4,32.0,0,2,100.0,54,0,0
D Johnson,PHI,1,32,1,32.0,0,1,100.0,32,0,0
D Aromashodu,MIN,1,31,1,31.0,0,1,100.0,31,0,0
E Dickson,BAL,2,59,2,29.5,0,2,100.0,40,0,0
D Bryant,DAL,3,87,5,29.0,1,2,66.7,49,0,0
M Lynch,SEA,1,27,1,27.0,0,1,100.0,27,0,0
S Rice,SEA,2,54,7,27.0,2,2,100.0,31,0,0
J Jones,BAL,2,54,3,27.0,0,1,50.0,47,0,0
D Alexander,SD,5,134,7,26.8,1,5,100.0,80,0,0
J Parmele,JAX,1,26,2,26.0,0,1,100.0,26,0,0
J Cook,TEN,1,26,3,26.0,1,1,100.0,26,0,0
T Doss,BAL,1,26,3,26.0,0,1,100.0,26,0,0
G Tate,SEA,2,51,2,25.5,1,2,100.0,38,0,0
T Moeaki,KC,3,68,6,22.7,0,3,100.0,38,0,0
D Moore,OAK,4,90,8,22.5,1,3,75.0,38,0,0
J Cotchery,PIT,1,22,4,22.0,0,1,100.0,22,0,0
J Wright,MIN,3,65,5,21.7,1,2,66.7,54,0,0
L Brazill,IND,1,21,2,21.0,0,1,100.0,21,0,0
R McLeod,STL,1,21,1,21.0,0,1,100.0,21,0,0
J Graham,NO,7,146,8,20.9,2,7,100.0,46,0,0
M Manningham,SF,1,20,3,20.0,0,1,100.0,20,0,0
S Smith,CAR,1,19,7,19.0,0,1,100.0,19,0,0
O Charles,CIN,1,19,1,19.0,0,1,100.0,19,0,0
J Jones,ATL,4,75,5,18.8,0,3,75.0,52,0,0
K Britt,TEN,2,36,6,18.0,0,2,100.0,28,0,0
C Shorts,JAX,6,105,13,17.5,1,5,83.3,52,0,0
C Johnson,DET,12,207,13,17.3,1,9,75.0,50,1,1
D Williams,CAR,1,17,1,17.0,0,1,100.0,17,0,0
M Tolbert,CAR,2,34,2,17.0,0,1,50.0,26,0,0
D Martin,TB,3,51,3,17.0,0,2,66.7,42,0,0
D Heyward-Bey,OAK,5,82,8,16.4,1,2,40.0,55,0,0
R White,ATL,7,114,13,16.3,0,4,57.1,49,0,0
D Avery,IND,4,65,6,16.3,0,2,50.0,44,0,0
M Austin,DAL,2,32,4,16.0,0,2,100.0,25,0,0
L Kendricks,STL,3,48,6,16.0,0,2,66.7,19,0,0
D Keller,NYJ,3,47,5,15.7,0,2,66.7,32,0,0
B Gibson,STL,3,47,6,15.7,0,3,100.0,24,0,0
J Dreessen,DEN,2,31,3,15.5,0,2,100.0,22,0,0
D Williams,TEN,2,31,2,15.5,0,2,100.0,16,0,0
D Allen,IND,2,31,2,15.5,0,1,50.0,27,0,0
C Spiller,BUF,4,61,4,15.3,0,3,75.0,25,0,0
K Walter,HOU,2,30,3,15.0,0,1,50.0,23,0,0
D Thomas,DEN,9,135,11,15.0,0,5,55.6,46,0,0
E Sanders,PIT,2,30,7,15.0,0,1,50.0,31,0,0
C Clay,MIA,1,15,4,15.0,0,1,100.0,15,0,0
S Johnson,BUF,6,86,9,14.3,0,5,83.3,21,0,0
A Gates,SD,4,57,5,14.3,1,3,75.0,33,0,0
M Crabtree,SF,5,70,6,14.0,1,4,80.0,19,0,0
