Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
A Robinson,WSH,1,68,1,68.0,1,1,100.0,68,0,0
S Vereen,NE,2,91,2,45.5,1,2,100.0,83,0,0
D Amendola,STL,1,38,1,38.0,0,1,100.0,38,0,0
A Green,CIN,3,111,9,37.0,0,3,100.0,48,0,0
L Kendricks,STL,1,37,2,37.0,1,1,100.0,37,0,0
J Nelson,GB,2,71,4,35.5,1,2,100.0,61,0,0
J Morgan,NO,1,33,2,33.0,0,1,100.0,33,0,0
L Murphy,CAR,2,65,2,32.5,0,2,100.0,55,0,0
J Edelman,NE,2,64,3,32.0,1,1,50.0,56,0,0
A Bradshaw,NYG,2,61,3,30.5,0,1,50.0,59,0,0
N Paul,WSH,1,29,1,29.0,1,1,100.0,29,0,0
D Walker,SF,3,81,3,27.0,0,3,100.0,45,0,0
C Shorts,JAX,4,105,7,26.3,1,3,75.0,59,0,0
B LaFell,CAR,3,74,7,24.7,1,3,100.0,43,0,0
J Jones,ATL,6,147,9,24.5,1,5,83.3,80,0,0
D Fells,NE,1,24,2,24.0,0,1,100.0,24,0,0
G Barnidge,CAR,1,24,1,24.0,1,1,100.0,24,0,0
J Shipley,JAX,1,24,1,24.0,0,1,100.0,24,0,0
D Brown,IND,1,23,1,23.0,0,1,100.0,23,0,0
D Williams,TEN,2,46,4,23.0,0,2,100.0,27,0,0
C Givens,STL,5,115,6,23.0,1,5,100.0,37,0,0
P Garcon,WSH,4,86,6,21.5,1,3,75.0,59,0,0
A Boldin,BAL,2,42,8,21.0,0,2,100.0,23,0,0
R Broyles,DET,6,126,12,21.0,0,4,66.7,40,0,0
A Johnson,HOU,9,188,15,20.9,0,9,100.0,43,0,0
T Smith,BAL,7,144,13,20.6,0,7,100.0,54,0,0
D Thomas,DEN,4,82,8,20.5,1,4,100.0,30,0,0
L Moore,NO,3,61,6,20.3,0,2,66.7,43,0,0
T Moeaki,KC,2,40,2,20.0,0,2,100.0,21,0,0
D Moore,OAK,1,20,4,20.0,1,1,100.0,20,0,0
V Jackson,TB,5,96,7,19.2,0,4,80.0,31,0,0
D Bess,MIA,7,129,9,18.4,0,5,71.4,39,0,0
D Bryant,DAL,8,145,11,18.1,2,3,37.5,85,1,1
A Hernandez,NE,2,36,3,18.0,0,1,50.0,28,0,0
D Thomas,MIA,1,18,1,18.0,0,1,100.0,18,0,0
D Harris,DAL,4,71,7,17.8,0,3,75.0,36,0,0
S Johnson,BUF,6,106,15,17.7,0,3,50.0,63,0,0
C Johnson,DET,8,140,17,17.5,1,8,100.0,35,0,0
J Finley,GB,3,51,5,17.0,0,2,66.7,26,0,0
J Kuhn,GB,3,49,3,16.3,0,2,66.7,32,0,0
S Rice,SEA,3,49,3,16.3,0,2,66.7,26,0,0
D Clark,TB,4,65,4,16.3,0,3,75.0,22,0,0
M Floyd,SD,4,65,5,16.3,1,4,100.0,21,0,0
E Decker,DEN,4,64,8,16.0,0,3,75.0,29,0,0
F Jones,DAL,3,47,4,15.7,1,2,66.7,33,0,0
R Turbin,SEA,3,47,3,15.7,0,2,66.7,20,0,0
B Stokley,DEN,4,62,7,15.5,0,2,50.0,31,0,0
H Nicks,NYG,5,77,13,15.4,1,4,80.0,30,0,0
T Underwood,TB,5,77,9,15.4,0,3,60.0,39,0,0
S Smith,CAR,4,60,7,15.0,0,2,50.0,31,0,0
