Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
S Moss,WSH,1,61,1,61.0,1,1,100.0,61,0,0
A Robinson,WSH,1,49,1,49.0,1,1,100.0,49,0,0
J Blackmon,JAX,7,236,13,33.7,1,7,100.0,81,0,0
J Stewart,CAR,1,30,1,30.0,0,1,100.0,30,0,0
K Williams,SF,2,60,2,30.0,0,1,50.0,57,0,0
C Johnson,DET,5,143,11,28.6,1,4,80.0,53,1,1
E Sanders,PIT,3,82,8,27.3,0,3,100.0,37,0,0
C Shorts,JAX,3,81,6,27.0,1,1,33.3,67,0,0
L Moore,NO,2,53,3,26.5,2,2,100.0,38,0,0
B Tate,CIN,1,24,2,24.0,0,1,100.0,24,0,0
T Young,DET,1,24,6,24.0,0,1,100.0,24,0,0
A Pettis,STL,2,46,6,23.0,0,2,100.0,36,0,0
L Brazill,IND,2,46,4,23.0,0,2,100.0,25,0,0
J Stewart,OAK,1,23,1,23.0,0,1,100.0,23,0,0
M Manningham,SF,2,45,2,22.5,0,1,50.0,37,0,0
M Reece,OAK,4,90,5,22.5,0,2,50.0,56,0,0
J Finley,GB,3,66,3,22.0,1,2,66.7,40,0,0
G Olsen,CAR,2,42,6,21.0,0,1,50.0,32,0,0
D Johnson,PHI,1,21,2,21.0,0,1,100.0,21,0,0
R Gronkowski,NE,7,137,7,19.6,2,7,100.0,36,0,0
A Johnson,HOU,14,273,19,19.5,1,10,71.4,48,0,0
R Matthews,MIA,1,19,2,19.0,0,1,100.0,19,0,0
B LaFell,CAR,5,93,7,18.6,1,3,60.0,29,0,0
T Moeaki,KC,4,73,6,18.3,0,3,75.0,22,0,0
W McGahee,DEN,1,18,2,18.0,0,1,100.0,18,0,0
M Bush,CHI,1,18,1,18.0,0,1,100.0,18,0,0
T Underwood,TB,1,18,2,18.0,0,1,100.0,18,0,0
J McKnight,NYJ,1,18,2,18.0,0,1,100.0,18,0,0
D Richardson,STL,1,18,3,18.0,0,1,100.0,18,0,0
K Reuland,NYJ,1,18,1,18.0,0,1,100.0,18,0,0
G Little,CLE,3,53,4,17.7,0,3,100.0,22,0,0
R Broyles,DET,2,35,2,17.5,0,1,50.0,27,0,0
M Colston,NO,4,69,6,17.3,0,4,100.0,24,0,0
D Heyward-Bey,OAK,4,69,5,17.3,0,4,100.0,22,0,0
W Heller,DET,1,17,1,17.0,0,1,100.0,17,0,0
D Hagan,OAK,1,17,2,17.0,0,1,100.0,17,0,0
L Paulsen,WSH,1,17,1,17.0,1,1,100.0,17,0,0
M Floyd,SD,4,67,6,16.8,0,3,75.0,38,0,0
T Hilton,IND,6,100,9,16.7,2,5,83.3,43,0,0
J Jones,GB,2,33,4,16.5,0,1,50.0,20,0,0
V Jackson,TB,6,94,11,15.7,1,5,83.3,24,0,0
R White,ATL,8,123,13,15.4,0,5,62.5,37,1,0
A Green,CIN,6,91,12,15.2,1,5,83.3,40,0,0
S Chandler,BUF,2,30,4,15.0,0,1,50.0,22,1,0
J Nelson,GB,3,45,5,15.0,0,3,100.0,19,0,0
L Hankerson,WSH,2,30,2,15.0,0,2,100.0,21,0,0
J Kerley,NYJ,3,43,3,14.3,0,2,66.7,32,0,0
D Thomas,DEN,3,42,9,14.0,1,3,100.0,17,0,0
V Davis,SF,6,83,8,13.8,1,4,66.7,32,0,0
B Stokley,DEN,4,55,5,13.8,1,1,25.0,31,0,0
