Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
J Morgan,NO,1,80,1,80.0,1,1,100.0,80,0,0
C Givens,STL,1,52,3,52.0,0,1,100.0,52,0,0
D Jones,BUF,2,90,3,45.0,1,2,100.0,68,0,0
T Doss,BAL,1,39,2,39.0,0,1,100.0,39,0,0
K Pilares,CAR,1,36,1,36.0,1,1,100.0,36,0,0
J Jones,ATL,1,30,8,30.0,0,1,100.0,30,0,0
N Paul,WSH,1,30,2,30.0,0,1,100.0,30,0,0
M Williams,TB,4,115,8,28.8,0,4,100.0,65,0,0
B Smith,BUF,2,49,2,24.5,1,2,100.0,35,0,0
R Housler,ARZ,2,48,3,24.0,0,2,100.0,33,0,0
M Turner,ATL,3,68,5,22.7,1,1,33.3,60,0,0
B Myers,OAK,1,22,2,22.0,0,1,100.0,22,0,0
R White,ATL,8,169,12,21.1,2,7,87.5,59,0,0
B Hartline,MIA,12,253,19,21.1,1,6,50.0,80,0,0
R Gronkowski,NE,5,104,11,20.8,1,3,60.0,41,1,1
K Davis,CHI,3,62,4,20.7,0,3,100.0,25,0,0
D Thomas,DEN,5,103,6,20.6,0,4,80.0,40,1,1
P Garcon,WSH,1,20,1,20.0,0,1,100.0,20,0,0
D Young,WSH,2,40,2,20.0,0,2,100.0,24,0,0
B Marshall,CHI,7,138,8,19.7,1,7,100.0,31,0,0
A Gates,SD,3,59,3,19.7,0,1,33.3,33,0,0
A Roberts,ARZ,6,118,9,19.7,2,5,83.3,46,0,0
A Green,CIN,6,117,9,19.5,1,5,83.3,42,0,0
G Little,CLE,4,77,10,19.3,0,3,75.0,43,0,0
L Robinson,JAX,1,19,1,19.0,0,1,100.0,19,0,0
D Hixon,NYG,6,114,11,19.0,0,5,83.3,41,0,0
L Naanee,MIA,1,19,2,19.0,0,0,0.0,19,1,1
B Quick,STL,1,19,3,19.0,0,1,100.0,19,0,0
A Johnson,HOU,3,56,6,18.7,0,2,66.7,33,0,0
D Fells,NE,1,18,2,18.0,0,1,100.0,18,0,0
R Barden,NYG,2,36,4,18.0,0,1,50.0,31,0,0
D Dickerson,BUF,2,36,2,18.0,0,2,100.0,24,0,0
D Moore,OAK,4,71,8,17.8,0,2,50.0,37,0,0
D Bess,MIA,7,123,12,17.6,0,7,100.0,21,0,0
F Davis,WSH,4,70,4,17.5,0,3,75.0,26,0,0
S Smith,CAR,3,52,6,17.3,0,2,66.7,27,0,0
M Colston,NO,9,153,13,17.0,1,7,77.8,27,0,0
Q Johnson,TEN,1,17,1,17.0,0,1,100.0,17,0,0
T Young,DET,1,17,3,17.0,0,1,100.0,17,0,0
D Johnson,PHI,1,17,1,17.0,0,1,100.0,17,0,0
B Lloyd,NE,3,50,7,16.7,1,2,66.7,25,0,0
R Brown,SD,3,50,3,16.7,0,2,66.7,21,0,0
V Jackson,TB,6,100,11,16.7,1,4,66.7,54,0,0
F Jackson,BUF,3,50,3,16.7,0,2,66.7,34,0,0
D Jackson,PHI,6,99,9,16.5,1,5,83.3,32,0,0
T Smith,BAL,6,97,10,16.2,1,5,83.3,34,0,0
B Stokley,DEN,2,32,2,16.0,0,1,50.0,26,0,0
T Scheffler,DET,1,16,3,16.0,0,1,100.0,16,0,0
T Crabtree,GB,1,16,1,16.0,0,1,100.0,16,0,0
J Gordon,CLE,1,16,1,16.0,0,1,100.0,16,0,0
