Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
C Stevens,TEN,1,46,1,46.0,0,1,100.0,46,0,0
S Smith,CAR,3,104,4,34.7,0,2,66.7,66,0,0
L Hankerson,WSH,2,68,3,34.0,1,1,50.0,68,0,0
J Kerley,NYJ,2,67,4,33.5,0,2,100.0,45,0,0
D Ausberry,OAK,1,31,3,31.0,0,1,100.0,31,0,0
L Green,SD,1,31,1,31.0,0,1,100.0,31,0,0
J Bell,DET,2,59,3,29.5,0,2,100.0,50,0,0
K Boss,KC,1,29,1,29.0,0,1,100.0,29,0,0
S Johnson,BUF,2,56,5,28.0,1,2,100.0,49,0,0
A Hawkins,CIN,2,56,3,28.0,1,1,50.0,50,0,0
M Goodson,OAK,3,83,3,27.7,1,2,66.7,64,0,0
B Watson,CLE,1,27,1,27.0,0,1,100.0,27,0,0
T Crabtree,GB,1,27,1,27.0,1,1,100.0,27,0,0
S Chandler,BUF,2,53,5,26.5,1,2,100.0,43,0,0
B Gibson,STL,2,53,4,26.5,1,2,100.0,34,0,0
D Driver,GB,1,26,1,26.0,1,1,100.0,26,0,0
K Ogletree,DAL,1,26,1,26.0,0,1,100.0,26,0,0
W Johnson,PIT,1,26,1,26.0,0,1,100.0,26,0,0
V Jackson,TB,5,128,10,25.6,1,5,100.0,41,0,0
T Smith,BAL,2,51,5,25.5,0,2,100.0,40,0,0
R Barden,NYG,1,24,2,24.0,0,1,100.0,24,0,0
B Wells,ARZ,1,24,1,24.0,0,1,100.0,24,0,0
B Tate,CIN,3,71,3,23.7,1,2,66.7,44,0,0
J Maclin,PHI,1,23,1,23.0,1,1,100.0,23,0,0
E Dickson,BAL,1,23,4,23.0,0,1,100.0,23,0,0
S Draughn,KC,1,23,2,23.0,0,1,100.0,23,0,0
D Moore,OAK,3,67,8,22.3,0,3,100.0,31,0,0
J Jones,BAL,1,21,2,21.0,1,1,100.0,21,0,0
K Davis,CHI,1,21,6,21.0,1,1,100.0,21,0,0
J Baldwin,KC,3,62,6,20.7,0,3,100.0,26,0,0
R Cobb,GB,1,20,2,20.0,0,1,100.0,20,0,0
A Robinson,WSH,2,40,3,20.0,0,2,100.0,28,0,0
H Nicks,NYG,10,199,15,19.9,1,8,80.0,50,0,0
M Williams,TB,3,59,5,19.7,1,2,66.7,41,0,0
B Celek,PHI,8,157,11,19.6,0,6,75.0,28,0,0
W Welker,NE,5,95,11,19.0,0,5,100.0,36,0,0
D Aromashodu,MIN,1,19,3,19.0,0,1,100.0,19,0,0
C Harbor,PHI,1,19,2,19.0,0,1,100.0,19,0,0
M Floyd,SD,6,109,8,18.2,0,6,100.0,27,0,0
M Massaquoi,CLE,5,90,7,18.0,0,5,100.0,22,0,0
L Ball,DEN,1,17,2,17.0,0,1,100.0,17,0,0
J Stewart,CAR,1,17,1,17.0,1,1,100.0,17,0,0
J Avant,PHI,2,33,2,16.5,0,2,100.0,17,0,0
M Colston,NO,3,49,4,16.3,0,3,100.0,29,0,0
L Robinson,JAX,3,49,6,16.3,0,2,66.7,32,0,0
D Jackson,PHI,7,114,9,16.3,0,6,85.7,49,0,0
V Cruz,NYG,11,179,17,16.3,1,7,63.6,80,0,0
B Smith,BUF,1,16,1,16.0,0,0,0.0,16,0,0
C Spiller,BUF,3,47,3,15.7,0,2,66.7,27,0,0
L Moore,NO,2,30,5,15.0,0,2,100.0,17,0,0
