Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
D Stallworth,NE,1,63,2,63.0,1,1,100.0,63,0,0
J Morgan,NO,2,106,2,53.0,0,2,100.0,62,0,0
J Cumberland,NYJ,1,37,2,37.0,0,1,100.0,37,0,0
D Bowe,KC,2,70,2,35.0,0,2,100.0,47,0,0
A McCoy,SEA,3,105,3,35.0,0,3,100.0,67,0,0
J Casey,HOU,1,30,1,30.0,0,1,100.0,30,0,0
D Williams,CAR,2,56,3,28.0,1,1,50.0,53,0,0
D Young,WSH,1,28,1,28.0,0,1,100.0,28,0,0
D Lewis,PHI,1,28,1,28.0,0,1,100.0,28,0,0
G Jennings,GB,1,27,4,27.0,0,1,100.0,27,0,0
A Boldin,BAL,3,78,3,26.0,2,3,100.0,31,0,0
L Moore,NO,1,26,4,26.0,0,1,100.0,26,0,0
J Newsome,KC,1,25,5,25.0,0,1,100.0,25,0,0
T Hilton,IND,2,50,5,25.0,0,2,100.0,36,0,0
R Streater,OAK,4,100,7,25.0,0,3,75.0,58,0,0
V Jackson,TB,6,131,10,21.8,1,6,100.0,40,0,0
T Smith,BAL,1,21,3,21.0,0,1,100.0,21,0,0
D Walker,SF,1,20,1,20.0,0,1,100.0,20,0,0
D Clark,TB,1,19,5,19.0,0,1,100.0,19,0,0
J Avant,PHI,7,133,12,19.0,0,5,71.4,39,0,0
M Willis,DEN,1,19,3,19.0,0,1,100.0,19,0,0
C Stevens,TEN,1,19,1,19.0,0,1,100.0,19,0,0
A Jeffery,CHI,3,57,6,19.0,1,2,66.7,30,0,0
D Posey,HOU,1,19,2,19.0,0,1,100.0,19,0,0
P Burress,PIT,1,18,2,18.0,0,1,100.0,18,0,0
A Caldwell,DEN,1,18,1,18.0,0,1,100.0,18,0,0
E Sanders,PIT,2,36,4,18.0,0,1,50.0,31,0,0
K Britt,TEN,8,143,9,17.9,0,4,50.0,46,0,0
S Rice,SEA,2,35,5,17.5,0,1,50.0,18,0,0
S Moss,WSH,3,52,4,17.3,0,2,66.7,31,0,0
W Welker,NE,3,52,9,17.3,0,3,100.0,25,0,0
G Little,CLE,4,69,7,17.3,0,3,75.0,34,0,0
B Hartline,MIA,2,34,8,17.0,0,2,100.0,28,0,0
D Woodhead,NE,2,34,3,17.0,0,2,100.0,18,1,0
T Underwood,TB,1,17,4,17.0,0,1,100.0,17,0,0
O Charles,CIN,1,17,1,17.0,0,1,100.0,17,0,0
H Nicks,NYG,4,67,6,16.8,1,3,75.0,25,0,0
L Hankerson,WSH,4,67,5,16.8,0,3,75.0,29,0,0
B Gibson,STL,6,100,9,16.7,1,6,100.0,24,0,0
P Garcon,WSH,5,83,9,16.6,1,4,80.0,23,0,0
D Thomas,DEN,5,83,7,16.6,0,5,100.0,22,0,0
D Heyward-Bey,OAK,5,82,6,16.4,1,1,20.0,56,0,0
B Marshall,CHI,10,160,20,16.0,1,9,90.0,39,0,0
M Wallace,PIT,7,112,11,16.0,2,6,85.7,40,0,0
S Smith,CAR,7,109,12,15.6,0,7,100.0,22,0,0
J Witten,DAL,4,62,4,15.5,0,3,75.0,25,0,0
L Jean,HOU,2,31,5,15.5,0,1,50.0,24,0,0
M Colston,NO,4,61,4,15.3,0,3,75.0,30,1,1
V Cruz,NYG,8,121,9,15.1,1,6,75.0,35,0,0
R Moss,SF,2,30,4,15.0,0,2,100.0,17,0,0
