Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
C Givens,STL,1,51,5,51.0,1,1,100.0,51,0,0
D Amendola,STL,1,44,5,44.0,0,1,100.0,44,0,0
J Gordon,CLE,2,82,8,41.0,2,2,100.0,62,0,0
S Moss,WSH,2,80,5,40.0,1,1,50.0,77,0,0
C Gates,NYJ,1,27,3,27.0,0,1,100.0,27,0,0
J Baldwin,KC,1,26,3,26.0,0,1,100.0,26,0,0
J Cumberland,NYJ,2,51,4,25.5,1,2,100.0,27,0,0
D Branch,NE,1,25,2,25.0,0,1,100.0,25,0,0
D Woodhead,NE,1,25,1,25.0,0,1,100.0,25,0,0
K Williams,SF,2,50,2,25.0,1,2,100.0,43,0,0
D Hester,CHI,2,49,4,24.5,0,2,100.0,39,0,0
D Bess,MIA,2,49,6,24.5,0,2,100.0,28,0,0
R Meachem,SD,3,67,4,22.3,2,2,66.7,44,0,0
M Floyd,SD,5,108,8,21.6,0,4,80.0,39,0,0
C Shorts,JAX,2,43,3,21.5,0,2,100.0,34,0,0
V Davis,SF,5,106,7,21.2,0,4,80.0,53,0,0
A Boldin,BAL,4,82,10,20.5,0,2,50.0,43,0,0
R Cobb,GB,4,82,4,20.5,1,3,75.0,31,0,0
P Thomas,NO,2,40,2,20.0,0,2,100.0,36,0,0
D Thomas,DEN,9,180,11,20.0,0,5,55.6,38,1,1
A Morris,WSH,1,20,1,20.0,0,1,100.0,20,0,0
O Daniels,HOU,4,79,5,19.8,1,4,100.0,34,0,0
Z Miller,SEA,3,59,3,19.7,0,2,66.7,30,0,0
S Greene,NYJ,1,19,2,19.0,0,1,100.0,19,0,0
M Crabtree,SF,6,113,7,18.8,1,3,50.0,36,0,0
J Kerley,NYJ,5,94,9,18.8,0,3,60.0,36,0,0
G Olsen,CAR,2,37,3,18.5,0,2,100.0,24,0,0
V Leach,BAL,1,18,2,18.0,0,1,100.0,18,0,0
C Ogbonnaya,CLE,3,54,4,18.0,0,1,33.3,38,0,0
R Ellison,MIN,2,35,2,17.5,0,1,50.0,29,0,0
R White,ATL,4,68,6,17.0,0,4,100.0,20,0,0
H Douglas,ATL,2,34,5,17.0,0,2,100.0,19,0,0
M Floyd,ARZ,1,17,3,17.0,0,1,100.0,17,0,0
R Wayne,IND,13,212,20,16.3,1,11,84.6,30,0,0
D Rosario,SD,1,16,1,16.0,0,1,100.0,16,0,0
R Rice,BAL,1,16,3,16.0,0,1,100.0,16,0,0
A Foster,HOU,1,16,4,16.0,0,1,100.0,16,0,0
E Royal,SD,2,31,5,15.5,0,2,100.0,20,0,0
D Henderson,NO,8,123,10,15.4,1,4,50.0,41,1,0
A Johnson,HOU,1,15,6,15.0,0,1,100.0,15,0,0
Q Johnson,TEN,1,15,1,15.0,0,1,100.0,15,0,0
R Housler,ARZ,3,45,6,15.0,0,2,66.7,25,0,0
B Hartline,MIA,4,59,5,14.8,0,3,75.0,30,0,0
B LaFell,CAR,3,44,3,14.7,0,3,100.0,21,0,0
M Colston,NO,9,131,18,14.6,3,8,88.9,40,0,0
J Nelson,GB,2,29,5,14.5,0,2,100.0,19,0,0
D Jackson,PHI,4,58,8,14.5,0,2,50.0,24,1,0
D Driver,GB,1,14,2,14.0,0,1,100.0,14,0,0
T Graham,BUF,2,28,3,14.0,0,2,100.0,19,0,0
R Randle,NYG,6,82,9,13.7,0,3,50.0,36,0,0
