Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
R Randle,NYG,1,43,4,43.0,0,1,100.0,43,0,0
A Jeffery,CHI,1,35,4,35.0,0,1,100.0,35,0,0
J Tamme,DEN,2,69,3,34.5,0,2,100.0,36,0,0
R Grant,GB,1,34,2,34.0,0,1,100.0,34,0,0
M Moore,IND,1,32,1,32.0,0,1,100.0,32,0,0
J Baldwin,KC,2,64,6,32.0,0,1,50.0,57,0,0
L Kendricks,STL,4,119,5,29.8,1,4,100.0,80,0,0
J Newsome,KC,1,28,2,28.0,0,1,100.0,28,0,0
V Davis,SF,1,27,1,27.0,0,1,100.0,27,0,0
S Chandler,BUF,1,25,1,25.0,0,1,100.0,25,0,0
D Bryant,DAL,9,224,12,24.9,2,6,66.7,58,0,0
B Tate,CIN,1,23,1,23.0,0,1,100.0,23,0,0
D Alexander,SD,3,69,6,23.0,1,3,100.0,37,0,0
M Hoomanawanui,NE,2,46,2,23.0,0,2,100.0,32,0,0
A Gates,SD,2,44,3,22.0,1,2,100.0,34,0,0
T Pryor,OAK,1,22,1,22.0,0,1,100.0,22,0,0
C Gates,NYJ,3,65,6,21.7,0,3,100.0,42,0,0
S Greene,NYJ,2,42,3,21.0,0,1,50.0,30,0,0
N Paul,WSH,1,21,2,21.0,0,1,100.0,21,0,0
R Cobb,GB,3,62,5,20.7,1,3,100.0,31,0,0
M Jenkins,MIN,2,41,3,20.5,0,2,100.0,32,0,0
K Britt,TEN,2,41,6,20.5,1,2,100.0,39,0,0
G Celek,SF,2,41,3,20.5,0,2,100.0,35,0,0
C Johnson,DET,11,225,16,20.5,0,9,81.8,49,1,1
A Brown,PIT,5,97,6,19.4,1,3,60.0,60,0,0
M Owens,JAX,4,77,4,19.3,0,3,75.0,53,0,0
R White,ATL,8,153,10,19.1,2,7,87.5,44,0,0
D Hagan,OAK,1,19,3,19.0,0,1,100.0,19,0,0
D Woodhead,NE,2,38,5,19.0,1,2,100.0,24,0,0
M Williams,TB,7,132,17,18.9,1,7,100.0,61,0,0
R Matthews,MIA,2,37,3,18.5,0,1,50.0,30,0,0
T Underwood,TB,1,18,2,18.0,0,1,100.0,18,0,0
R Cooper,PHI,1,18,2,18.0,0,1,100.0,18,0,0
T Smith,BAL,5,88,11,17.6,1,4,80.0,43,0,0
T Hilton,IND,2,34,4,17.0,0,2,100.0,23,0,0
J Kearse,SEA,1,17,2,17.0,0,1,100.0,17,0,0
A Morris,WSH,1,17,1,17.0,0,1,100.0,17,0,0
T Clemons,JAX,1,17,3,17.0,0,1,100.0,17,0,0
B Gibson,STL,2,33,3,16.5,0,2,100.0,20,0,0
J Shipley,JAX,5,82,10,16.4,0,3,60.0,36,0,0
T Graham,BUF,3,49,7,16.3,0,1,33.3,41,0,0
M Crabtree,SF,4,65,9,16.3,0,3,75.0,35,0,0
R Wayne,IND,5,81,12,16.2,1,5,100.0,33,0,0
E Bennett,CHI,1,16,1,16.0,0,1,100.0,16,0,0
I Redman,PIT,2,32,2,16.0,0,1,50.0,19,1,1
D Harris,DAL,1,16,3,16.0,1,1,100.0,16,0,0
K Durham,DET,2,32,5,16.0,0,2,100.0,18,0,0
H Smith,NYJ,1,16,1,16.0,0,1,100.0,16,0,0
B Watson,CLE,3,47,10,15.7,0,3,100.0,19,0,0
C Schilens,NYJ,2,31,2,15.5,0,1,50.0,24,0,0
