Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
J Morgan,NO,1,48,3,48.0,1,1,100.0,48,0,0
L Stocker,TB,1,33,1,33.0,0,1,100.0,33,0,0
V Jackson,TB,7,216,14,30.9,1,7,100.0,95,0,0
J Gordon,CLE,2,59,10,29.5,1,2,100.0,33,0,0
D Henderson,NO,3,75,3,25.0,0,2,66.7,40,0,0
C Givens,STL,3,73,5,24.3,0,2,66.7,56,0,0
S Moss,WSH,3,67,4,22.3,2,2,66.7,30,1,1
D Heyward-Bey,OAK,4,85,7,21.3,0,2,50.0,59,0,0
R Streater,OAK,2,41,4,20.5,0,2,100.0,23,0,0
J Cotchery,PIT,1,20,1,20.0,0,1,100.0,20,0,0
E Sanders,PIT,2,40,2,20.0,0,1,50.0,31,0,0
C Shorts,JAX,4,79,10,19.8,1,2,50.0,42,1,1
M Austin,DAL,5,97,9,19.4,1,3,60.0,36,1,1
L Paulsen,WSH,4,76,6,19.0,0,3,75.0,23,0,0
V Ballard,IND,1,19,1,19.0,0,1,100.0,19,0,0
V Cruz,NYG,7,131,11,18.7,1,5,71.4,77,0,0
K Walter,HOU,4,74,6,18.5,1,2,50.0,34,0,0
J Cook,TEN,2,37,5,18.5,0,2,100.0,29,0,0
K Williams,SF,1,18,4,18.0,0,1,100.0,18,0,0
T Underwood,TB,2,35,6,17.5,1,2,100.0,22,0,0
J Kerley,NYJ,7,120,11,17.1,0,6,85.7,26,0,0
C Stevens,TEN,1,17,1,17.0,0,1,100.0,17,0,0
A Brown,NYG,1,17,1,17.0,0,1,100.0,17,0,0
R Broyles,DET,3,51,4,17.0,1,3,100.0,23,0,0
B Obomanu,SEA,3,50,4,16.7,0,1,33.3,36,0,0
N Burleson,DET,1,16,3,16.0,0,1,100.0,16,0,0
J Kuhn,GB,1,16,1,16.0,0,1,100.0,16,0,0
S Rice,SEA,2,32,4,16.0,0,1,50.0,27,0,0
L Murphy,CAR,3,48,9,16.0,0,3,100.0,26,0,0
G Graham,HOU,2,32,2,16.0,0,1,50.0,20,0,0
M Bennett,NYG,5,79,7,15.8,0,4,80.0,31,0,0
J Finley,GB,2,31,2,15.5,0,2,100.0,18,0,0
B Quick,STL,2,31,4,15.5,0,1,50.0,22,0,0
J Nelson,GB,8,122,9,15.3,1,7,87.5,52,0,0
T Doss,BAL,1,15,1,15.0,1,1,100.0,15,0,0
A Roberts,ARZ,7,103,9,14.7,1,7,100.0,21,0,0
M Reece,OAK,4,58,6,14.5,0,2,50.0,35,0,0
D Richardson,STL,3,43,3,14.3,0,2,66.7,20,0,0
S Johnson,BUF,5,71,7,14.2,1,5,100.0,27,0,0
R Moss,SF,1,14,4,14.0,0,1,100.0,14,1,0
S Hill,NYJ,4,55,7,13.8,0,3,75.0,21,0,0
A Brown,PIT,7,96,8,13.7,0,6,85.7,23,0,0
B Marshall,CHI,6,81,10,13.5,1,6,100.0,20,0,0
D Thomas,NO,2,27,4,13.5,1,1,50.0,20,0,0
T Young,DET,6,81,8,13.5,0,4,66.7,23,0,0
L Moore,NO,9,121,10,13.4,0,8,88.9,35,0,0
D Keller,NYJ,7,93,7,13.3,1,6,85.7,23,0,0
B LaFell,CAR,4,53,8,13.3,1,3,75.0,32,0,0
J Cooper,CLE,4,53,8,13.3,0,4,100.0,14,0,0
M Lynch,SEA,1,13,2,13.0,0,1,100.0,13,0,0
