Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
R Moss,SF,1,47,1,47.0,1,1,100.0,47,0,0
B Quick,STL,1,39,4,39.0,0,1,100.0,39,0,0
M Moore,MIA,1,37,1,37.0,0,1,100.0,37,0,0
N Paul,WSH,1,37,1,37.0,0,1,100.0,37,0,0
R Randle,NYG,2,68,2,34.0,0,2,100.0,56,0,0
D Heyward-Bey,OAK,1,32,3,32.0,1,1,100.0,32,0,0
J Gaffney,MIA,1,30,2,30.0,0,1,100.0,30,0,0
B LaFell,CAR,3,88,4,29.3,0,2,66.7,62,0,0
D Martin,TB,3,79,6,26.3,1,2,66.7,64,0,0
B Hartsock,CAR,1,25,1,25.0,0,1,100.0,25,0,0
J Jones,ATL,5,123,5,24.6,1,4,80.0,63,0,0
D Bryant,DAL,5,110,11,22.0,0,4,80.0,55,0,0
D Bowe,KC,3,65,6,21.7,0,2,66.7,46,0,0
C Givens,STL,3,63,4,21.0,1,1,33.3,50,0,0
V Jackson,TB,2,40,6,20.0,0,2,100.0,26,0,0
D Thomas,DEN,7,137,9,19.6,1,6,85.7,41,0,0
M Jenkins,MIN,4,78,9,19.5,0,3,75.0,28,0,0
D Moore,OAK,5,96,8,19.2,1,3,60.0,58,0,0
D Walker,SF,2,38,3,19.0,0,2,100.0,23,0,0
E Sanders,PIT,3,56,5,18.7,0,3,100.0,27,0,0
J Simpson,MIN,2,37,7,18.5,0,1,50.0,33,1,1
R Gronkowski,NE,8,146,13,18.3,2,8,100.0,32,0,0
M Mulligan,STL,1,18,2,18.0,0,1,100.0,18,0,0
M Hoomanawanui,NE,1,18,1,18.0,0,1,100.0,18,0,0
V Davis,SF,2,34,2,17.0,0,1,50.0,25,0,0
S Vereen,NE,1,17,1,17.0,0,1,100.0,17,0,0
S Smith,CAR,7,118,16,16.9,0,5,71.4,47,0,0
J Blackmon,JAX,4,67,8,16.8,0,3,75.0,36,0,0
W McGahee,DEN,2,33,2,16.5,0,2,100.0,19,0,0
B Myers,OAK,3,49,3,16.3,0,2,66.7,29,0,0
J Parmele,JAX,1,16,1,16.0,0,1,100.0,16,0,0
L Hankerson,WSH,1,16,4,16.0,0,1,100.0,16,0,0
V Ballard,IND,1,16,1,16.0,1,1,100.0,16,0,0
E Bennett,CHI,3,47,4,15.7,0,3,100.0,24,0,0
C Johnson,DET,3,46,8,15.3,0,3,100.0,25,0,0
B Gibson,STL,3,46,3,15.3,0,3,100.0,22,0,0
J Gordon,CLE,3,46,5,15.3,0,2,66.7,26,0,0
M Tolbert,CAR,1,15,1,15.0,0,1,100.0,15,0,0
J Cook,TEN,3,45,4,15.0,0,2,66.7,29,0,0
D Davis,ATL,2,30,2,15.0,1,2,100.0,15,0,0
M Austin,DAL,9,133,16,14.8,0,8,88.9,25,0,0
V Green,DEN,3,44,3,14.7,0,2,66.7,28,0,0
S Greene,NYJ,2,29,5,14.5,0,1,50.0,21,0,0
C Shorts,JAX,8,116,12,14.5,0,4,50.0,35,0,0
S Hill,NYJ,2,29,7,14.5,0,2,100.0,19,0,0
M Crabtree,SF,5,72,5,14.4,2,3,60.0,30,0,0
J King,ARZ,3,43,3,14.3,0,2,66.7,27,0,0
T Moeaki,KC,4,57,8,14.3,0,4,100.0,20,0,0
B Lloyd,NE,2,28,4,14.0,2,2,100.0,19,0,0
B Watson,CLE,1,14,4,14.0,0,1,100.0,14,0,0
