Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
A Peterson,MIN,29,122,4.2,3,8,27.6,24,0,0
B Green-Ellis,NE,27,136,5.0,2,6,22.2,15,0,0
D McNabb,MIN,4,4,1.0,1,1,25.0,4,0,0
P Rivers,SD,3,10,3.3,1,2,66.7,6,0,0
M Turner,ATL,16,56,3.5,1,4,25.0,15,0,0
F Gore,SF,20,125,6.3,1,6,30.0,21,1,1
B Smith,BUF,4,12,3.0,1,1,25.0,8,0,0
D Williams,CAR,9,115,12.8,1,3,33.3,69,0,0
M Jones-Drew,JAX,19,85,4.5,1,5,26.3,25,0,0
F Jackson,BUF,26,111,4.3,1,6,23.1,22,0,0
M Lynch,SEA,12,98,8.2,1,4,33.3,47,1,1
C Johnson,TEN,14,51,3.6,1,4,28.6,21,0,0
B Scott,CIN,6,20,3.3,1,1,16.7,9,0,0
S Greene,NYJ,21,83,4.0,1,5,23.8,9,0,0
L McCoy,PHI,11,80,7.3,1,4,36.4,32,0,0
B Wells,ARZ,20,60,3.0,1,1,5.0,9,1,0
T Tebow,DEN,6,38,6.3,1,2,33.3,12,0,0
J Best,DET,12,163,13.6,1,5,41.7,88,0,0
A Dixon,SF,2,4,2.0,1,1,50.0,3,0,0
D Carter,IND,12,22,1.8,1,1,8.3,6,0,0
M Ingram,NO,9,32,3.6,1,3,33.3,8,0,0
C Newton,CAR,7,27,3.9,1,4,57.1,13,0,0
M Hasselbeck,TEN,1,3,3.0,0,1,100.0,3,0,0
T Brady,NE,1,3,3.0,0,1,100.0,3,0,0
T Jones,KC,10,55,5.5,0,3,30.0,21,0,0
M Vick,PHI,6,90,15.0,0,3,50.0,53,0,0
L Tomlinson,NYJ,2,13,6.5,0,0,0.0,9,0,0
R Cartwright,OAK,1,35,35.0,0,1,100.0,35,0,0
N Burleson,DET,2,4,2.0,0,0,0.0,2,0,0
M Schaub,HOU,1,0,0.0,0,0,0.0,0,1,0
W McGahee,DEN,16,125,7.8,0,6,37.5,28,0,0
E Manning,NYG,3,5,1.7,0,0,0.0,3,1,0
E Graham,TB,5,30,6.0,0,1,20.0,8,0,0
C Benson,CIN,24,53,2.2,0,1,4.2,8,0,0
K Orton,KC,1,-1,-1.0,0,0,0.0,-1,0,0
M Barber,CHI,1,3,3.0,0,0,0.0,3,0,0
A Rodgers,GB,1,-1,-1.0,0,0,0.0,-1,0,0
R Fitzpatrick,BUF,3,7,2.3,0,1,33.3,10,0,0
M Cassel,KC,5,12,2.4,0,1,20.0,8,0,0
D Sproles,NO,11,51,4.6,0,3,27.3,23,0,0
J Cutler,CHI,2,3,1.5,0,0,0.0,4,0,0
J Addai,IND,6,19,3.2,0,1,16.7,6,0,0
T Jackson,SEA,4,17,4.3,0,2,50.0,11,0,0
L Washington,SEA,3,10,3.3,0,0,0.0,6,0,0
C Whitehurst,SEA,2,6,3.0,0,0,0.0,7,0,0
V Davis,SF,1,-3,-3.0,0,0,0.0,-3,0,0
M Robinson,SEA,3,5,1.7,0,1,33.3,3,1,1
J Snelling,ATL,1,2,2.0,0,0,0.0,2,0,0
R Grant,GB,7,18,2.6,0,1,14.3,9,1,1
J Battle,KC,19,119,6.3,0,7,36.8,24,0,0
