Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
C Benson,CIN,15,41,2.7,2,3,20.0,9,0,0
K Smith,DET,16,140,8.8,2,7,43.8,43,0,0
R Rice,BAL,20,104,5.2,2,3,15.0,59,0,0
C Newton,CAR,7,37,5.3,2,2,28.6,11,0,0
R Grossman,WSH,3,10,3.3,1,1,33.3,6,0,0
C Palmer,OAK,3,5,1.7,1,1,33.3,4,0,0
M Turner,ATL,21,100,4.8,1,5,23.8,35,1,1
M Barber,CHI,7,25,3.6,1,2,28.6,10,0,0
J Cutler,CHI,5,10,2.0,1,2,40.0,11,0,0
R Bush,MIA,15,32,2.1,1,2,13.3,11,0,0
J Kuhn,GB,1,2,2.0,1,1,100.0,2,0,0
M Jones-Drew,JAX,21,87,4.1,1,8,38.1,14,0,0
M Lynch,SEA,27,88,3.3,1,6,22.2,12,1,0
A Peterson,MIN,6,26,4.3,1,1,16.7,12,0,0
J Forsett,SEA,4,31,7.8,1,1,25.0,22,0,0
M Bush,OAK,30,109,3.6,1,6,20.0,28,1,1
B Raji,GB,1,1,1.0,1,1,100.0,1,0,0
C Ogbonnaya,CLE,21,115,5.5,1,5,23.8,40,0,0
T Tebow,DEN,8,68,8.5,1,4,50.0,20,0,0
L Blount,TB,18,107,5.9,1,5,27.8,54,0,0
S Vereen,NE,8,39,4.9,1,2,25.0,19,0,0
M Hasselbeck,TEN,1,17,17.0,0,1,100.0,17,0,0
R Williams,BAL,5,3,0.6,0,1,20.0,3,0,0
T Brady,NE,2,10,5.0,0,1,50.0,8,0,0
T Jones,KC,8,48,6.0,0,1,12.5,26,0,0
S Smith,CAR,1,5,5.0,0,0,0.0,5,0,0
D Stallworth,WSH,1,-1,-1.0,0,0,0.0,-1,0,0
M Morris,DET,7,29,4.1,0,2,28.6,16,0,0
C Taylor,ARZ,1,34,34.0,0,1,100.0,34,0,0
W McGahee,DEN,12,18,1.5,0,1,8.3,6,1,1
T Romo,DAL,2,-2,-1.0,0,0,0.0,-1,0,0
S Jackson,STL,15,42,2.8,0,0,0.0,19,0,0
J Cribbs,CLE,1,2,2.0,0,0,0.0,2,0,0
A Rodgers,GB,5,28,5.6,0,2,40.0,11,0,0
R Fitzpatrick,BUF,7,16,2.3,0,2,28.6,8,2,0
R Brown,PHI,1,6,6.0,0,1,100.0,6,0,0
C Kluwe,MIN,1,-12,-12.0,0,0,0.0,-12,0,0
B Jacobs,NYG,12,21,1.8,0,1,8.3,9,0,0
F Gore,SF,24,88,3.7,0,3,12.5,14,0,0
A Smith,SF,7,17,2.4,0,2,28.6,11,0,0
V Young,PHI,6,5,0.8,0,1,16.7,5,0,0
T Jackson,SEA,2,10,5.0,0,0,0.0,8,0,0
L Washington,SEA,6,-3,-0.5,0,0,0.0,1,0,0
D Williams,CAR,10,73,7.3,0,3,30.0,29,0,0
M Owens,JAX,2,10,5.0,0,1,50.0,8,0,0
J Snelling,ATL,7,11,1.6,0,0,0.0,4,0,0
F Jackson,BUF,7,17,2.4,0,0,0.0,6,0,0
R Grant,GB,4,16,4.0,0,0,0.0,5,0,0
J Battle,KC,8,33,4.1,0,1,12.5,19,0,0
B Leonard,CIN,2,6,3.0,0,0,0.0,3,0,0
