Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
L McCoy,PHI,18,102,5.7,3,6,33.3,33,1,1
M Lynch,SEA,20,42,2.1,2,4,20.0,15,0,0
T Tebow,DEN,12,93,7.8,2,5,41.7,30,2,1
R Mathews,SD,26,90,3.5,2,6,23.1,24,1,0
T Brady,NE,6,2,0.3,1,2,33.3,2,1,0
M Vick,PHI,5,32,6.4,1,2,40.0,11,1,0
T Romo,DAL,3,-1,-0.3,1,1,33.3,1,0,0
M Turner,ATL,19,61,3.2,1,3,15.8,16,0,0
C Benson,CIN,22,76,3.5,1,5,22.7,15,3,0
A Rodgers,GB,3,32,10.7,1,2,66.7,19,0,0
F Gore,SF,18,65,3.6,1,4,22.2,13,0,0
R Bush,MIA,25,203,8.1,1,6,24.0,76,1,1
D Williams,CAR,15,61,4.1,1,3,20.0,24,0,0
J Battle,KC,10,37,3.7,1,2,20.0,15,0,0
P Thomas,NO,8,44,5.5,1,3,37.5,10,0,0
A Bradshaw,NYG,10,58,5.8,1,5,50.0,17,0,0
P Hillis,CLE,26,99,3.8,1,7,26.9,18,0,0
L Ball,DEN,11,64,5.8,1,4,36.4,32,1,1
B Green-Ellis,NE,10,17,1.7,1,2,20.0,7,0,0
M Tolbert,SD,8,40,5.0,1,2,25.0,22,0,0
B Scott,CIN,7,20,2.9,1,2,28.6,11,0,0
D Brown,IND,16,161,10.1,1,5,31.3,80,0,0
L Murphy,OAK,2,16,8.0,1,1,50.0,12,0,0
D Woodhead,NE,7,40,5.7,1,2,28.6,10,0,0
B Wells,ARZ,15,51,3.4,1,3,20.0,8,0,0
A Foster,HOU,16,109,6.8,1,5,31.3,22,1,1
C Spiller,BUF,12,91,7.6,1,4,33.3,24,0,0
D Young,WSH,4,14,3.5,1,4,100.0,6,0,0
R Brockel,CAR,1,7,7.0,1,1,100.0,7,0,0
M Hasselbeck,TEN,1,-1,-1.0,0,0,0.0,-1,0,0
K Faulk,NE,1,1,1.0,0,0,0.0,1,0,0
R Williams,BAL,3,20,6.7,0,2,66.7,8,0,0
S Morris,DAL,12,53,4.4,0,3,25.0,15,0,0
T Jones,KC,15,48,3.2,0,2,13.3,9,0,0
C Redman,ATL,2,-2,-1.0,0,0,0.0,-1,0,0
D Brees,NO,2,4,2.0,0,0,0.0,4,1,1
L Tomlinson,NYJ,3,9,3.0,0,0,0.0,8,0,0
C Taylor,ARZ,2,3,1.5,0,0,0.0,3,0,0
R Grossman,WSH,1,-1,-1.0,0,0,0.0,-1,0,0
W McGahee,DEN,7,70,10.0,0,3,42.9,29,0,0
S Jackson,STL,18,71,3.9,0,2,11.1,18,0,0
M Moore,PIT,1,21,21.0,0,1,100.0,21,0,0
B Roethlisberger,PIT,1,0,0.0,0,0,0.0,0,1,0
K Orton,KC,4,-5,-1.3,0,0,0.0,-1,0,0
M Barber,CHI,11,33,3.0,0,2,18.2,6,0,0
D Orlovsky,IND,3,-3,-1.0,0,0,0.0,-1,0,0
R Fitzpatrick,BUF,2,7,3.5,0,2,100.0,5,0,0
R Brown,PHI,6,18,3.0,0,1,16.7,8,0,0
B Jacobs,NYG,8,33,4.1,0,1,12.5,11,1,0
V Jackson,SD,1,9,9.0,0,0,0.0,9,0,0
