Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
R Bush,MIA,14,47,3.4,2,2,14.3,18,0,0
R Mendenhall,PIT,16,44,2.8,2,3,18.8,9,0,0
D Ward,HOU,11,36,3.3,1,3,27.3,9,0,0
M Jones-Drew,JAX,25,114,4.6,1,6,24.0,15,0,0
M Lynch,SEA,32,109,3.4,1,6,18.8,8,0,0
A Peterson,MIN,14,51,3.6,1,4,28.6,13,0,0
M Forte,CHI,18,64,3.6,1,2,11.1,40,0,0
M Flynn,GB,4,0,0.0,1,1,25.0,3,0,0
C Johnson,TEN,27,130,4.8,1,7,25.9,25,0,0
M Bush,OAK,30,157,5.2,1,7,23.3,44,0,0
M Sanchez,NYJ,5,11,2.2,1,2,40.0,4,0,0
L McCoy,PHI,14,81,5.8,1,5,35.7,29,0,0
A Foster,HOU,17,84,4.9,1,5,29.4,17,0,0
T Tebow,DEN,9,43,4.8,1,3,33.3,19,0,0
D Murray,DAL,20,135,6.8,1,6,30.0,25,1,0
K Hunter,SF,6,40,6.7,1,3,50.0,17,0,0
B Tate,HOU,13,63,4.8,1,4,30.8,14,0,0
J Kitna,DAL,2,-1,-0.5,0,0,0.0,0,0,0
M Hasselbeck,TEN,1,21,21.0,0,1,100.0,21,0,0
K Faulk,NE,5,8,1.6,0,0,0.0,6,0,0
R Williams,BAL,3,8,2.7,0,1,33.3,7,0,0
T Brady,NE,3,2,0.7,0,1,33.3,3,1,0
T Jones,KC,4,4,1.0,0,0,0.0,4,0,0
M Vick,PHI,8,79,9.9,0,3,37.5,16,0,0
L Tomlinson,NYJ,7,38,5.4,0,3,42.9,15,0,0
M Morris,DET,10,44,4.4,0,1,10.0,13,0,0
N Burleson,DET,1,10,10.0,0,1,100.0,10,0,0
M Schaub,HOU,1,1,1.0,0,0,0.0,1,0,0
W McGahee,DEN,4,17,4.3,0,2,50.0,12,0,0
C Palmer,OAK,3,-8,-2.7,0,0,0.0,-1,0,0
T Romo,DAL,2,0,0.0,0,0,0.0,1,0,0
S Jackson,STL,27,128,4.7,0,7,25.9,22,0,0
M Moore,PIT,2,7,3.5,0,0,0.0,5,0,0
E Manning,NYG,2,4,2.0,0,0,0.0,3,0,0
B Roethlisberger,PIT,3,-2,-0.7,0,0,0.0,0,0,0
P Rivers,SD,1,4,4.0,0,0,0.0,4,0,0
M Turner,ATL,22,96,4.4,0,7,31.8,21,1,0
C Benson,CIN,15,57,3.8,0,1,6.7,16,0,0
J Cribbs,CLE,3,21,7.0,0,0,0.0,15,0,0
M Barber,CHI,13,27,2.1,0,2,15.4,8,0,0
A Rodgers,GB,6,21,3.5,0,1,16.7,9,0,0
R Fitzpatrick,BUF,3,20,6.7,0,2,66.7,12,0,0
R Brown,PHI,1,4,4.0,0,0,0.0,4,0,0
M Cassel,KC,2,16,8.0,0,1,50.0,9,0,0
B Jacobs,NYG,18,55,3.1,0,3,16.7,15,0,0
D Sproles,NO,2,1,0.5,0,0,0.0,1,0,0
F Gore,SF,6,0,0.0,0,0,0.0,3,0,0
A Smith,SF,6,27,4.5,0,1,16.7,14,0,0
N Washington,TEN,1,2,2.0,0,0,0.0,2,0,0
J Cutler,CHI,4,18,4.5,0,0,0.0,10,1,1
