Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
F Jackson,BUF,15,117,7.8,2,4,26.7,43,0,0
A Peterson,MIN,25,120,4.8,2,8,32.0,19,1,0
P Hillis,CLE,27,94,3.5,2,6,22.2,24,1,1
L McCoy,PHI,18,95,5.3,2,8,44.4,23,0,0
L Blount,TB,13,71,5.5,2,3,23.1,27,0,0
W McGahee,DEN,28,101,3.6,1,5,17.9,12,0,0
M Turner,ATL,21,114,5.4,1,4,19.0,61,0,0
B Jacobs,NYG,16,50,3.1,1,3,18.8,9,0,0
F Gore,SF,20,47,2.4,1,2,10.0,9,0,0
J Kuhn,GB,1,1,1.0,1,1,100.0,1,0,0
J Campbell,OAK,3,3,1.0,1,2,66.7,2,0,0
M Bush,OAK,4,23,5.8,1,2,50.0,22,0,0
D McFadden,OAK,20,72,3.6,1,4,20.0,14,1,1
B Green-Ellis,NE,17,70,4.1,1,4,23.5,16,0,0
R Mendenhall,PIT,19,66,3.5,1,3,15.8,11,0,0
J Ringer,TEN,5,21,4.2,1,2,40.0,12,0,0
S Greene,NYJ,16,49,3.1,1,3,18.8,12,0,0
B Wells,ARZ,14,93,6.6,1,6,42.9,25,0,0
I Redman,PIT,10,49,4.9,1,2,20.0,20,0,0
J Best,DET,16,57,3.6,1,4,25.0,12,0,0
R Mathews,SD,12,64,5.3,1,3,25.0,14,0,0
K Williams,DET,9,25,2.8,1,2,22.2,14,1,0
C Newton,CAR,10,53,5.3,1,4,40.0,12,0,0
K Collins,IND,1,-1,-1.0,0,0,0.0,-1,0,0
R Williams,BAL,4,2,0.5,0,1,25.0,3,1,1
D McNabb,MIN,4,12,3.0,0,1,25.0,13,0,0
T Brady,NE,2,3,1.5,0,0,0.0,4,0,0
T Jones,KC,12,40,3.3,0,1,8.3,12,0,0
M Vick,PHI,6,25,4.2,0,2,33.3,10,3,2
D Brees,NO,1,2,2.0,0,0,0.0,2,0,0
L Tomlinson,NYJ,6,8,1.3,0,0,0.0,4,0,0
C Taylor,ARZ,1,0,0.0,0,0,0.0,0,0,0
R Grossman,WSH,4,-5,-1.3,0,0,0.0,-1,0,0
L Johnson,MIA,1,2,2.0,0,0,0.0,2,0,0
O Mughelli,ATL,1,1,1.0,0,0,0.0,1,0,0
M Schaub,HOU,2,2,1.0,0,0,0.0,3,0,0
L McCown,JAX,1,4,4.0,0,0,0.0,4,0,0
E Manning,NYG,4,-12,-3.0,0,0,0.0,-1,0,0
B Roethlisberger,PIT,5,8,1.6,0,0,0.0,7,0,0
P Rivers,SD,2,12,6.0,0,1,50.0,11,0,0
E Graham,TB,3,18,6.0,0,0,0.0,7,0,0
C Benson,CIN,16,59,3.7,0,2,12.5,14,0,0
K Orton,KC,1,-2,-2.0,0,0,0.0,-2,0,0
A Rodgers,GB,5,13,2.6,0,0,0.0,8,0,0
R Fitzpatrick,BUF,3,23,7.7,0,3,100.0,13,0,0
R Brown,PHI,3,10,3.3,0,1,33.3,11,0,0
D Sproles,NO,4,17,4.3,0,1,25.0,7,0,0
A Smith,SF,3,21,7.0,0,0,0.0,12,0,0
C Williams,STL,13,36,2.8,0,1,7.7,9,0,0
J Norwood,STL,3,8,2.7,0,0,0.0,7,0,0
